osmid,y,x,highway,street_count,dc,cc,bc,vul,sub,eff,time,ref,geometry
461895016,-23.539664,-46.6166931,,3,0.0008488964346349745,0.028579267531578488,0.010281301819908032,1.012218360448405e-06,3.480199886276684,0.05142758830976092,86487.33069705963,,POINT (-46.6166931 -23.539664)
461895316,-23.5288055,-46.6077054,,3,0.0008488964346349745,0.02212511879267426,0.0011759695097245898,-0.00012024941784803957,3.626924296145532,0.05142758830976092,86487.33069705963,,POINT (-46.6077054 -23.5288055)
461895318,-23.5280323,-46.6085479,,4,0.0011318619128466328,0.021757229762373605,0.00218806683202504,-0.00013916145201940908,5.054517883822044,0.05142758830976092,86487.33069705963,,POINT (-46.6085479 -23.5280323)
461895320,-23.526621,-46.6100775,,1,0.0005659309564233164,0.021754409294556777,0.0,-0.00016607333312123563,1.7144871135125053,0.05142758830976092,86487.33069705963,,POINT (-46.6100775 -23.526621)
461984333,-23.5263372,-46.6144414,turning_circle,1,0.0005659309564233164,0.02360178629706068,0.0,-0.00013971476816547268,1.649120544147535,0.05142758830976092,86487.33069705963,,POINT (-46.6144414 -23.5263372)
461984336,-23.5277584,-46.6210531,,4,0.001697792869269949,0.030057602589721788,0.0006622170341356093,-5.490422274579857e-05,5.034790225915121,0.05142758830976092,86487.33069705963,,POINT (-46.6210531 -23.5277584)
461984340,-23.5257517,-46.6169885,,1,0.0005659309564233164,0.024189840721116802,0.0,-0.00014775072529334772,1.6454868422244004,0.05142758830976092,86487.33069705963,,POINT (-46.6169885 -23.5257517)
461984347,-23.5288624,-46.6161106,,3,0.0008488964346349745,0.027971664239001194,0.032767439533269035,0.00012468587277397,3.4491333040666134,0.05142758830976092,86487.33069705963,,POINT (-46.6161106 -23.5288624)
462008350,-23.5525962,-46.6075417,,3,0.0008488964346349745,0.029710785430077838,0.00027615764757254384,0.0004770934023383043,3.087372211145123,0.05142758830976092,86487.33069705963,,POINT (-46.6075417 -23.5525962)
462008351,-23.5522485,-46.6080159,,3,0.0008488964346349745,0.029673707453887133,1.2814740026568159e-06,-1.3910905514129207e-05,3.3924502898143016,0.05142758830976092,86487.33069705963,,POINT (-46.6080159 -23.5522485)
462008592,-23.5592579,-46.6064706,,3,0.0002829654782116582,0.027097888885281324,0.0,-0.00012931530435962395,1.643156025171815,0.05142758830976092,86487.33069705963,,POINT (-46.6064706 -23.5592579)
462034066,-23.519176,-46.6123978,,4,0.0002829654782116582,0.019707747747389124,0.0,-0.00021108026035015275,1.643166969700836,0.05142758830976092,86487.33069705963,,POINT (-46.6123978 -23.519176)
462046979,-23.5437497,-46.610353,traffic_signals,4,0.0011318619128466328,0.026025837626965836,0.010167393018196153,0.0007909813036249811,4.402726868538545,0.05142758830976092,86487.33069705963,,POINT (-46.610353 -23.5437497)
