u,v,key,osmid,oneway,name,highway,reversed,length,ebc,vulnerability,lanes,geometry,maxspeed,bridge,ref,junction
1437681479,1437681453,0,130653078,False,Rua Pernambuco,residential,False,183.346,0.00022596228767336762,,,"LINESTRING (-45.869431 -23.1913822, -45.8678315 -23.1906358)",,,,
1437681479,1437658990,0,665146352,False,Rua Água Marinha,residential,True,47.688,0.015965404394576905,,,"LINESTRING (-45.869431 -23.1913822, -45.8698476 -23.1915753)",,,,
1437681480,1437681479,0,130575674,True,Rua Martins Pereira,residential,False,122.476,0.0015869305490623866,,,"LINESTRING (-45.8699379 -23.1903842, -45.8699024 -23.19045, -45.8698812 -23.1904892, -45.869431 -23.1913822)",,,,
1437689817,1437668258,0,772038456,True,Rodovia Presidente Dutra,motorway,False,163.548,0.00152459612487663,,3,"LINESTRING (-45.8650608 -23.1919238, -45.8664561 -23.1926438)",100,,SP-060;BR-116,
1437689817,1437698178,0,130576407,True,,motorway_link,False,84.258,6.233442418575659e-05,0.9996049361619179,,"LINESTRING (-45.8650608 -23.1919238, -45.8654289 -23.1920428, -45.8655356 -23.1920428, -45.8656513 -23.1919938, -45.8657402 -23.1919161, -45.8657795 -23.1918548)",,,,
1437698178,1437698184,0,130576761,False,Avenida Deputado Benedito Matarazzo,residential,False,60.511,1.8180873720845672e-05,0.9997954751078308,,"LINESTRING (-45.8657795 -23.1918548, -45.865258 -23.1915972)",,,,
1437698178,1438333450,0,312157331,True,Rua Rio Grande do Norte,residential,False,196.996,0.003986805880214015,0.9998290483629805,,"LINESTRING (-45.8657795 -23.1918548, -45.86673 -23.1903136)",,,,
1437698184,1437698186,0,130576761,False,Avenida Deputado Benedito Matarazzo,residential,False,62.218,0.003173861098124773,0.9963092229043051,,"LINESTRING (-45.865258 -23.1915972, -45.8647237 -23.1913291)",,,,
1437698184,1437698178,0,130576761,False,Avenida Deputado Benedito Matarazzo,residential,True,60.511,0.003947846865097917,,,"LINESTRING (-45.865258 -23.1915972, -45.8657795 -23.1918548)",,,,
1437698184,1437698195,0,130576762,False,Rua Ceará,residential,True,185.914,0.002371305386733157,0.9999281889138666,,"LINESTRING (-45.865258 -23.1915972, -45.8661401 -23.190135)",,,,
1437698186,1437698184,0,130576761,False,Avenida Deputado Benedito Matarazzo,residential,True,62.218,0.003163472027427147,,,"LINESTRING (-45.8647237 -23.1913291, -45.865258 -23.1915972)",,,,
