u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ebc,junction,bridge
1454012726,1454008413,0,132119316,False,Rua dos Macucos,residential,True,61.342,"LINESTRING (-45.8528867 -23.2106666, -45.8529603 -23.2112141)",0.05558936789706024,,
1454012726,1454012743,0,132119547,False,Rua dos Mutuns,residential,False,249.349,"LINESTRING (-45.8528867 -23.2106666, -45.8525652 -23.2107238, -45.8522111 -23.2108292, -45.8516416 -23.2110249, -45.8505721 -23.2113665)",0.05442729228443513,,
1454012726,1454012689,0,132119547,False,Rua dos Mutuns,residential,True,226.243,"LINESTRING (-45.8528867 -23.2106666, -45.8530982 -23.2106677, -45.8534105 -23.210675, -45.8536814 -23.2107169, -45.8539188 -23.210781, -45.8541079 -23.210845, -45.8543023 -23.2109227, -45.8545437 -23.2110558, -45.8547369 -23.2111754, -45.8549289 -23.2113075)",0.02928593232164661,,
1454012743,1454012745,0,132119547,False,Rua dos Mutuns,residential,False,130.025,"LINESTRING (-45.8505721 -23.2113665, -45.8493341 -23.2116363)",0.02937848857491714,,
1454012743,1454012659,0,312091245,False,Rua das Jacutingas,residential,False,60.836,"LINESTRING (-45.8505721 -23.2113665, -45.8503877 -23.2108463)",0.05110838896553183,,
1454012743,1454012796,0,312091245,False,Rua das Jacutingas,residential,True,59.552,"LINESTRING (-45.8505721 -23.2113665, -45.8507258 -23.2118831)",0.09812240034080696,,
1454012743,1454012726,0,132119547,False,Rua dos Mutuns,residential,True,249.349,"LINESTRING (-45.8505721 -23.2113665, -45.8516416 -23.2110249, -45.8522111 -23.2108292, -45.8525652 -23.2107238, -45.8528867 -23.2106666)",0.06557066458165364,,
1454012745,3179135113,0,132119547,False,Rua dos Mutuns,residential,False,30.6,"LINESTRING (-45.8493341 -23.2116363, -45.849041 -23.2116926)",0.007271280306994593,,
1454012745,1454012743,0,132119547,False,Rua dos Mutuns,residential,True,130.025,"LINESTRING (-45.8493341 -23.2116363, -45.8505721 -23.2113665)",0.04657524531837721,,
1454012745,2061117199,0,132119551,False,,residential,False,60.613,"LINESTRING (-45.8493341 -23.2116363, -45.8491996 -23.2111054)",0.026665685504971205,,
1454012747,8863783287,0,132119310,False,Rua dos Jaburus,residential,True,34.847,"LINESTRING (-45.8487518 -23.2117717, -45.8490605 -23.2119048)",0.0515939181392478,,
1454012747,1454011096,0,"[312091244, 132119310]",False,Rua dos Jaburus,residential,False,85.254,"LINESTRING (-45.8487518 -23.2117717, -45.8482788 -23.211547, -45.8482452 -23.2115051, -45.8482124 -23.2114256, -45.8481896 -23.2112869)",0.07261698949198948,,
1454012747,3179135113,0,132119547,False,Rua dos Mutuns,residential,True,30.853,"LINESTRING (-45.8487518 -23.2117717, -45.8488912 -23.2117286, -45.849041 -23.2116926)",0.004181929181929182,,
1454012796,1454017543,0,132120143,False,Rua dos Uiramirins,residential,False,79.444,"LINESTRING (-45.8507258 -23.2118831, -45.8503858 -23.2125256)",0.038602834131680294,,
1454012796,1454012743,0,312091245,False,Rua das Jacutingas,residential,False,59.552,"LINESTRING (-45.8507258 -23.2118831, -45.8505721 -23.2113665)",0.0696917929953644,,
1454012796,1454006788,0,312091253,False,Avenida das Curruiras,residential,False,117.292,"LINESTRING (-45.8507258 -23.2118831, -45.8496187 -23.2121613)",0.0096046645153788,,
1454012796,1454017538,0,312091253,False,Avenida das Curruiras,residential,True,70.254,"LINESTRING (-45.8507258 -23.2118831, -45.8513896 -23.2117188)",0.0635875716164178,,
1454012811,1454012823,0,132119122,False,Avenida dos Tangarás,residential,True,119.564,"LINESTRING (-45.850216 -23.2103089, -45.8490845 -23.2105823)",0.016608596430025012,,
1454012811,1454012659,0,312091245,False,Rua das Jacutingas,residential,True,62.279,"LINESTRING (-45.850216 -23.2103089, -45.8503877 -23.2108463)",0.04218007978996987,,
1454012811,1454008414,0,132119122,False,Avenida dos Tangarás,residential,False,270.861,"LINESTRING (-45.850216 -23.2103089, -45.851216 -23.210002, -45.8518983 -23.2097838, -45.8524344 -23.2096519, -45.8527484 -23.2096016)",0.03648531972707795,,
1454012823,1454012811,0,132119122,False,Avenida dos Tangarás,residential,False,119.564,"LINESTRING (-45.8490845 -23.2105823, -45.850216 -23.2103089)",0.06173212776234756,,
1454012823,1454008399,0,132119122,False,Avenida dos Tangarás,residential,True,99.711,"LINESTRING (-45.8490845 -23.2105823, -45.8481288 -23.2107629)",0.023572191697191706,,
1454012823,2061117199,0,132119551,False,,residential,True,59.344,"LINESTRING (-45.8490845 -23.2105823, -45.8491996 -23.2111054)",0.0644206617558266,,
1454017530,1454017532,0,132119125,False,Rua dos Canindés,residential,False,56.768,"LINESTRING (-45.8535937 -23.2120341, -45.8530963 -23.2118068)",0.00951792255363684,,
