osmid,y,x,street_count,dc,cc,nbc,com,ref,highway,geometry
1453957511,-23.1959281,-45.8649342,3,0.007326007326007326,0.03523195815474736,0.013662894437722593,23.964523608431257,,,POINT (-45.8649342 -23.1959281)
1453957515,-23.196521,-45.8648213,3,0.007326007326007326,0.03604734925919436,0.02628457104531179,23.808160176434228,,,POINT (-45.8648213 -23.196521)
1453957518,-23.1983083,-45.8634198,3,0.007326007326007326,0.035594912782370605,0.021983101782845224,21.94541470913932,,,POINT (-45.8634198 -23.1983083)
1453958821,-23.1971269,-45.8633836,3,0.007326007326007326,0.033666892870364916,0.014441385188852882,20.542645853085766,,,POINT (-45.8633836 -23.1971269)
1453958828,-23.1979287,-45.8625623,3,0.007326007326007326,0.03436734205964975,0.0083320929985269,15.407736230483215,,,POINT (-45.8625623 -23.1979287)
1453960044,-23.1960891,-45.863782,3,0.007326007326007326,0.03164450952804816,0.0035237378758161166,14.860531299542673,,,POINT (-45.863782 -23.1960891)
1453960046,-23.1955296,-45.8622353,1,0.002442002442002442,0.03065868398323451,0.0,6.196031141670376,,turning_circle,POINT (-45.8622353 -23.1955296)
1453960056,-23.196516,-45.8636128,3,0.007326007326007326,0.03226782416048759,0.005313309993715027,13.98340080911158,,,POINT (-45.8636128 -23.196516)
1453960060,-23.195913,-45.862102,1,0.002442002442002442,0.031243408341137858,0.0,6.0225620644737665,,turning_circle,POINT (-45.862102 -23.195913)
1453960064,-23.1969251,-45.863447,3,0.007326007326007326,0.03295320129271235,0.009185685015234663,15.121563403785983,,,POINT (-45.863447 -23.1969251)
1453960077,-23.1962916,-45.8619327,1,0.002442002442002442,0.031885525538557974,0.0,6.254804688075317,,turning_circle,POINT (-45.8619327 -23.1962916)
1453960082,-23.1973073,-45.8631433,3,0.007326007326007326,0.03256664949947795,0.0027007028753448597,15.140159652533862,,,POINT (-45.8631433 -23.1973073)
1453960083,-23.1967154,-45.861713,1,0.002442002442002442,0.03152347873463411,0.0,6.257504761686571,,turning_circle,POINT (-45.861713 -23.1967154)
1453960087,-23.1976844,-45.8628366,3,0.007326007326007326,0.033236970353663624,0.0038590405338571232,14.09369761029057,,,POINT (-45.8628366 -23.1976844)
1453960093,-23.1970962,-45.8615041,1,0.002442002442002442,0.0321511302819714,0.0,6.0408097284391955,,turning_circle,POINT (-45.8615041 -23.1970962)
1453961350,-23.1985889,-45.8640501,3,0.007326007326007326,0.03687042480145928,0.05101077809483912,21.44600063120603,,,POINT (-45.8640501 -23.1985889)
1453962116,-23.1956396,-45.8665464,3,0.003663003663003663,0.025462246701184754,0.13707917998871544,20.45984572022659,,,POINT (-45.8665464 -23.1956396)
1453969481,-23.2000549,-45.863017,3,0.007326007326007326,0.038809069856744954,0.14904477989454584,22.719955229833058,,,POINT (-45.863017 -23.2000549)
1453969483,-23.2005558,-45.8624817,4,0.009768009768009768,0.039999965433462216,0.0987965928549343,28.784195431387513,,,POINT (-45.8624817 -23.2005558)
1453969491,-23.2015007,-45.8613897,3,0.007326007326007326,0.04085291802144342,0.08674412292756728,23.00984581373844,,,POINT (-45.8613897 -23.2015007)
1453969497,-23.2020445,-45.8610896,3,0.006105006105006105,0.039603549538981736,0.0035550159453167406,21.592578050639442,,,POINT (-45.8610896 -23.2020445)
1453969499,-23.2029493,-45.8606957,4,0.009768009768009768,0.04205140923890924,0.05826545644699476,31.708152875296477,,mini_roundabout,POINT (-45.8606957 -23.2029493)
1453969511,-23.1994463,-45.8614324,3,0.007326007326007326,0.03864227955847412,0.059651238191115834,21.44483779023229,,,POINT (-45.8614324 -23.1994463)
1453969527,-23.2005985,-45.8633634,3,0.003663003663003663,0.03639220477597812,0.011606671067900547,25.064796802374783,,traffic_signals,POINT (-45.8633634 -23.2005985)
1453969529,-23.2006684,-45.863259,3,0.003663003663003663,0.0377788061611591,0.011603685734841865,22.026532500149173,,,POINT (-45.863259 -23.2006684)
1453969532,-23.2002814,-45.8617754,3,0.007326007326007326,0.03852375072979776,0.00380703164413222,22.603748082845154,,,POINT (-45.8617754 -23.2002814)
1453969533,-23.1999856,-45.861014,3,0.007326007326007326,0.03746930512096019,0.0018661025247116824,20.93949222597702,,,POINT (-45.861014 -23.1999856)
1453969534,-23.1998786,-45.8607385,3,0.007326007326007326,0.03612140224785739,0.0007050610351343851,20.433145611383498,,,POINT (-45.8607385 -23.1998786)
