u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,ref,bridge,junction
1454012726,1454012743,0,132119547,False,,Rua dos Mutuns,residential,,False,249.349,"LINESTRING (-45.8528867 -23.2106666, -45.8525652 -23.2107238, -45.8522111 -23.2108292, -45.8516416 -23.2110249, -45.8505721 -23.2113665)",0.007737329490674666,0.9997720263126831,,,
1454012726,1454012689,0,132119547,False,,Rua dos Mutuns,residential,,True,226.243,"LINESTRING (-45.8528867 -23.2106666, -45.8530982 -23.2106677, -45.8534105 -23.210675, -45.8536814 -23.2107169, -45.8539188 -23.210781, -45.8541079 -23.210845, -45.8543023 -23.2109227, -45.8545437 -23.2110558, -45.8547369 -23.2111754, -45.8549289 -23.2113075)",0.0012123563281831917,,,,
1454012743,1454012745,0,132119547,False,,Rua dos Mutuns,residential,,False,130.025,"LINESTRING (-45.8505721 -23.2113665, -45.8493341 -23.2116363)",0.0031588551439350526,0.9998819351231601,,,
1454012743,1454012659,0,312091245,False,,Rua das Jacutingas,residential,,False,60.836,"LINESTRING (-45.8505721 -23.2113665, -45.8503877 -23.2108463)",0.00960653584071841,,,,
1454012743,1454012796,0,312091245,False,,Rua das Jacutingas,residential,,True,59.552,"LINESTRING (-45.8505721 -23.2113665, -45.8507258 -23.2118831)",0.010766804179084584,0.9985170404202158,,,
1454012743,1454012726,0,132119547,False,,Rua dos Mutuns,residential,,True,249.349,"LINESTRING (-45.8505721 -23.2113665, -45.8516416 -23.2110249, -45.8522111 -23.2108292, -45.8525652 -23.2107238, -45.8528867 -23.2106666)",0.005820429573910131,,,,
1454012745,3179135113,0,132119547,False,,Rua dos Mutuns,residential,,False,30.6,"LINESTRING (-45.8493341 -23.2116363, -45.849041 -23.2116926)",0.000715532428232251,0.9998804830931133,,,
1454012745,1454012743,0,132119547,False,,Rua dos Mutuns,residential,,True,130.025,"LINESTRING (-45.8493341 -23.2116363, -45.8505721 -23.2113665)",0.002580169667766498,,,,
1454012745,2061117199,0,132119551,False,,,residential,,False,60.613,"LINESTRING (-45.8493341 -23.2116363, -45.8491996 -23.2111054)",0.0032300713233217662,0.9998896262023145,,,
1454012747,8863783287,0,132119310,False,,Rua dos Jaburus,residential,,True,34.847,"LINESTRING (-45.8487518 -23.2117717, -45.8490605 -23.2119048)",0.005147865484091189,0.9996289706540359,,,
1454012747,1454011096,0,"[312091244, 132119310]",False,,Rua dos Jaburus,residential,,False,85.254,"LINESTRING (-45.8487518 -23.2117717, -45.8482788 -23.211547, -45.8482452 -23.2115051, -45.8482124 -23.2114256, -45.8481896 -23.2112869)",0.009380149223843715,,,,
1454012747,3179135113,0,132119547,False,,Rua dos Mutuns,residential,,True,30.853,"LINESTRING (-45.8487518 -23.2117717, -45.8488912 -23.2117286, -45.849041 -23.2116926)",0.000371054535885797,0.9999245950778435,,,
1454012796,1454017543,0,132120143,False,,Rua dos Uiramirins,residential,,False,79.444,"LINESTRING (-45.8507258 -23.2118831, -45.8503858 -23.2125256)",0.004353456713667365,0.9997514533670318,,,
1454012796,1454012743,0,312091245,False,,Rua das Jacutingas,residential,,False,59.552,"LINESTRING (-45.8507258 -23.2118831, -45.8505721 -23.2113665)",0.011580336442001054,,,,
