osmid,y,x,highway,street_count,dc,cc,nbc,com,geometry
1454021548,-23.2175643,-45.849561,,3,0.011650485436893204,0.05523815970815612,0.01772340531934704,20.722228180295787,POINT (-45.849561 -23.2175643)
1454021549,-23.2180769,-45.849302,,3,0.011650485436893204,0.057486515641855446,0.032382292462845616,22.26536132711285,POINT (-45.849302 -23.2180769)
1454021550,-23.217082,-45.8498884,,3,0.011650485436893204,0.05505223322053909,0.009346717178102195,20.13941302906899,POINT (-45.8498884 -23.217082)
1454021551,-23.2171159,-45.8499569,,3,0.011650485436893204,0.05415262928133772,0.006451447912972786,20.141205808664036,POINT (-45.8499569 -23.2171159)
1454021553,-23.2176163,-45.849665,,3,0.011650485436893204,0.05368816899207593,0.01550034057718978,20.22029766810887,POINT (-45.849665 -23.2176163)
1454021561,-23.2165992,-45.8501732,,3,0.011650485436893204,0.05572994811619752,0.022909872813566295,20.235620059257442,POINT (-45.8501732 -23.2165992)
1454021562,-23.2168068,-45.8493325,,3,0.011650485436893204,0.05460166572917995,0.00847655745190344,20.22496647236481,POINT (-45.8493325 -23.2168068)
1454021563,-23.2172949,-45.8490372,,3,0.011650485436893204,0.05563211191147301,0.009964334281713175,20.717619464012465,POINT (-45.8490372 -23.2172949)
1454021572,-23.2162609,-45.8495231,,3,0.011650485436893204,0.05517804635555175,0.015375688553168447,19.973288381964405,POINT (-45.8495231 -23.2162609)
1454021582,-23.2167481,-45.8492139,,3,0.011650485436893204,0.05537087124180026,0.014299563911779903,20.152404633895667,POINT (-45.8492139 -23.2167481)
1454021589,-23.2185536,-45.8502746,,3,0.005825242718446602,0.0519712041780612,0.007736992942123084,20.111455382036024,POINT (-45.8502746 -23.2185536)
1454021591,-23.2173348,-45.8477721,,3,0.011650485436893204,0.06064964927765132,0.1586485076060032,17.25837353456773,POINT (-45.8477721 -23.2173348)
1454021600,-23.2110361,-45.8481239,,3,0.011650485436893204,0.06786655975922434,0.10448877908352094,21.64152582213281,POINT (-45.8481239 -23.2110361)
1454021601,-23.2189427,-45.8482063,turning_circle,1,0.003883495145631068,0.057162465384573286,0.0,6.730535034521128,POINT (-45.8482063 -23.2189427)
1454021602,-23.2181361,-45.8503974,,3,0.007766990291262136,0.05072847103163232,0.013424973263033347,20.09632961872899,POINT (-45.8503974 -23.2181361)
1454021608,-23.2185482,-45.8505594,,3,0.005825242718446602,0.0519712041780612,0.04610775034854751,20.120652521136453,POINT (-45.8505594 -23.2185482)
1454021610,-23.2184971,-45.8509403,,3,0.007766990291262136,0.054181563150370274,0.08866277145337145,20.977278811941016,POINT (-45.8509403 -23.2184971)
1454021634,-23.2192015,-45.8507253,,3,0.007766990291262136,0.058575677906788935,0.07338058808901735,20.62407338222958,POINT (-45.8507253 -23.2192015)
1454021651,-23.2164465,-45.8512923,,4,0.007766990291262136,0.05144911902193455,0.020524467404072454,32.00888752038974,POINT (-45.8512923 -23.2164465)
1454021656,-23.2162393,-45.8516256,,3,0.005825242718446602,0.05155898596310403,0.022508933993606362,21.130108691519478,POINT (-45.8516256 -23.2162393)
1454021673,-23.2165742,-45.8552113,,3,0.005825242718446602,0.05059180482550041,0.059996613141144954,23.455573664087243,POINT (-45.8552113 -23.2165742)
1454034399,-23.2229597,-45.8475276,,3,0.009708737864077669,0.04872019486510666,0.033192928110007174,20.12106577610299,POINT (-45.8475276 -23.2229597)
1454036969,-23.2206477,-45.8550799,,4,0.009708737864077669,0.047824096204599605,0.03755052699180235,28.26598981657007,POINT (-45.8550799 -23.2206477)
1454044923,-23.2102514,-45.8572045,,3,0.005825242718446602,0.04462516000362304,0.09514234642296138,20.20218883748551,POINT (-45.8572045 -23.2102514)
1454044940,-23.210246,-45.8569939,,3,0.005825242718446602,0.06119129470928856,0.08375088526279743,21.254239817191678,POINT (-45.8569939 -23.210246)
1454044963,-23.2153668,-45.8561979,,3,0.007766990291262136,0.062105716310774745,0.06546589688624994,25.124257197699748,POINT (-45.8561979 -23.2153668)
1454044968,-23.2143757,-45.8567663,,3,0.005825242718446602,0.05847434759095434,0.002914420273039139,25.333524198422992,POINT (-45.8567663 -23.2143757)
1454044977,-23.2136871,-45.8565488,,4,0.013592233009708738,0.06225059152377717,0.010189147556413723,37.66682550822753,POINT (-45.8565488 -23.2136871)
1454044978,-23.2107636,-45.8564079,,4,0.015533980582524271,0.061750221405573624,0.060302750274880856,32.92078715624507,POINT (-45.8564079 -23.2107636)
1454044981,-23.2136478,-45.8571112,,3,0.007766990291262136,0.06046161077524029,0.0077387577298096396,28.109672174948283,POINT (-45.8571112 -23.2136478)
1454044982,-23.2137576,-45.8547733,,3,0.011650485436893204,0.0608607691707076,0.0,13.7857840539145,POINT (-45.8547733 -23.2137576)
1454044989,-23.2122034,-45.8570548,,3,0.007766990291262136,0.060584426808599004,0.006509474725861941,26.908886193850286,POINT (-45.8570548 -23.2122034)
1454044991,-23.2122635,-45.8555472,,3,0.011650485436893204,0.06606267986464691,0.052968567068638124,25.178843573293417,POINT (-45.8555472 -23.2122635)
1454045008,-23.2122748,-45.8553104,,3,0.011650485436893204,0.06322083141660412,0.00483278058246892,19.565946586526277,POINT (-45.8553104 -23.2122748)
1454045031,-23.2112148,-45.85539,,3,0.011650485436893204,0.06825943295115308,0.053001101924092374,25.637324679063124,POINT (-45.85539 -23.2112148)
1454047338,-23.2117146,-45.8445979,,3,0.007766990291262136,0.06190855530661356,0.3093762985909108,19.1208461699187,POINT (-45.8445979 -23.2117146)
1454047376,-23.2126211,-45.8433694,,3,0.005825242718446602,0.05004254519948332,0.1587624192512561,19.08829296773695,POINT (-45.8433694 -23.2126211)
1454047425,-23.2124044,-45.8438039,,3,0.007766990291262136,0.04610211565386116,0.18969438253182727,19.06562490474645,POINT (-45.8438039 -23.2124044)
1454052675,-23.2127277,-45.8435389,,3,0.005825242718446602,0.05605030598730545,0.1584790903252616,20.241149672276197,POINT (-45.8435389 -23.2127277)
