u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1437650652,1437658993,0,665146346,False,,,Rua Turmalina,tertiary,,False,75.141,"LINESTRING (-45.8747648 -23.1926963, -45.8741053 -23.1923977)",0.0037859246307272885,0.9997611183629143,,
1437650652,2061117165,0,130572201,False,,,Rua Sardônica,residential,,False,137.174,"LINESTRING (-45.8747648 -23.1926963, -45.8747197 -23.1926022, -45.8742234 -23.1915675)",0.0013585551553205275,0.9997006388843801,,
1437650652,2061127777,0,665146346,False,,,Rua Turmalina,tertiary,,True,55.653999999999996,"LINESTRING (-45.8747648 -23.1926963, -45.8752117 -23.1929157, -45.8752451 -23.1929321)",0.008342942868604866,0.9997364390232343,,
1437650653,1437658996,0,665146346,False,,,Rua Turmalina,tertiary,,False,114.78,"LINESTRING (-45.8739269 -23.19231, -45.8729236 -23.1918463)",0.009611591113532825,0.9993552425543955,,
1437650653,1437658993,0,665146346,False,,,Rua Turmalina,tertiary,,True,20.678,"LINESTRING (-45.8739269 -23.19231, -45.8741053 -23.1923977)",0.006409986896408288,0.9997434628616838,,
1437650653,1437650703,0,130572200,False,,,Rua Granada,residential,,False,64.319,"LINESTRING (-45.8739269 -23.19231, -45.873869 -23.1921892, -45.8736731 -23.1917807)",0.0032361458259453635,0.9997064319211781,,
1437650655,1437658996,0,665146346,False,,,Rua Turmalina,tertiary,,True,88.196,"LINESTRING (-45.8721561 -23.1914838, -45.8729236 -23.1918463)",0.009322971112311656,0.9990706883009594,,
1437650655,1437650678,0,130572198,False,,,Praça Platina,residential,,False,106.46,"LINESTRING (-45.8721561 -23.1914838, -45.8721114 -23.1913847, -45.8719446 -23.1910147, -45.8718456 -23.1907813, -45.8718063 -23.1906886, -45.8717669 -23.1905958)",0.000964771124028387,0.9998956475644429,,
1437650655,1437650656,0,665146346,False,,,Rua Turmalina,tertiary,,False,101.022,"LINESTRING (-45.8721561 -23.1914838, -45.8717181 -23.1912602, -45.8715262 -23.1911621, -45.8714074 -23.1911015, -45.8713624 -23.1910785, -45.8712921 -23.1910426)",0.03473829027472889,0.9991739833964027,,
1437650656,2061117167,0,973344609,True,,,Rua Ceci,secondary,,False,127.722,"LINESTRING (-45.8712921 -23.1910426, -45.8704132 -23.1918591)",0.04099942972344766,0.9988519910802771,,
1437650656,1437650655,0,665146346,False,,,Rua Turmalina,tertiary,,True,101.022,"LINESTRING (-45.8712921 -23.1910426, -45.8713624 -23.1910785, -45.8714074 -23.1911015, -45.8715262 -23.1911621, -45.8717181 -23.1912602, -45.8721561 -23.1914838)",0.010749726652633618,,,
1437650668,1437646813,0,320807040,True,,,Rua Ceci,secondary,,False,17.217,"LINESTRING (-45.8736688 -23.1888445, -45.8736081 -23.1889184, -45.8735531 -23.1889547)",0.008990198792996227,,,
1437650668,8234497506,0,320807041,True,,,Avenida Santos Dumont,secondary,,False,44.736,"LINESTRING (-45.8736688 -23.1888445, -45.8734942 -23.1885178, -45.8734758 -23.1884834)",0.001172721604059551,0.9992419186049362,,
1437650673,1437650675,0,448345146,True,,,Rua Ceci,secondary,,False,63.273,"LINESTRING (-45.8731551 -23.189311, -45.8727173 -23.1897133)",0.009037654245149594,0.9998892109353221,,
1437650673,2061117157,0,130572201,False,,,Rua Sardônica,residential,,True,148.774,"LINESTRING (-45.8731551 -23.189311, -45.8731906 -23.1893856, -45.8737444 -23.1905344)",0.0027502936212535113,0.9998000378829109,,
1437650675,2061117160,0,130572200,False,,,Rua Granada,residential,,True,125.421,"LINESTRING (-45.8727173 -23.1897133, -45.8727525 -23.1897893, -45.8731977 -23.1907512)",0.0024139139157307705,0.999964794036885,,
1437650675,1437650677,0,448345146,True,,,Rua Ceci,secondary,,False,70.21000000000001,"LINESTRING (-45.8727173 -23.1897133, -45.8726397 -23.1897869, -45.8722338 -23.1901618)",0.007834982830031185,0.9998309655661359,,
1437650677,1437681463,0,448345146,True,,,Rua Ceci,secondary,,False,31.383,"LINESTRING (-45.8722338 -23.1901618, -45.8720165 -23.1903612)",0.00847562157546554,0.9995595811291729,,
1437650677,1437650697,0,130572199,False,,,Rua Jacinto,residential,,True,100.369,"LINESTRING (-45.8722338 -23.1901618, -45.8722671 -23.1902286, -45.8722871 -23.1902686, -45.8726433 -23.1909822)",0.0026368730721356894,0.9998768596764306,,
1437650678,1437650655,0,130572198,False,,,Praça Platina,residential,,True,106.46000000000001,"LINESTRING (-45.8717669 -23.1905958, -45.8718063 -23.1906886, -45.8718456 -23.1907813, -45.8719446 -23.1910147, -45.8721114 -23.1913847, -45.8721561 -23.1914838)",0.003472299839026196,,,
1437650678,1437681462,0,973344609,True,,,Rua Ceci,secondary,,False,56.778,"LINESTRING (-45.8717669 -23.1905958, -45.8714205 -23.190931, -45.8713843 -23.190966)",0.0033932479865856065,0.9999385659951113,,
1437650697,1437650677,0,130572199,False,,,Rua Jacinto,residential,,False,100.369,"LINESTRING (-45.8726433 -23.1909822, -45.8722871 -23.1902686, -45.8722671 -23.1902286, -45.8722338 -23.1901618)",0.0032659210415096397,,,
1437650697,1437658996,0,130572199,False,,,Rua Jacinto,residential,,True,103.11500000000001,"LINESTRING (-45.8726433 -23.1909822, -45.8729357 -23.1916256, -45.8729625 -23.19176, -45.8729236 -23.1918463)",0.020949918785196465,0.9995778116147918,,
1437650697,2061117160,0,130572203,False,,,Rua Cristal,residential,,True,62.221,"LINESTRING (-45.8726433 -23.1909822, -45.8727148 -23.1909524, -45.873122 -23.1907799, -45.8731977 -23.1907512)",0.005998456273374993,0.9997578852307147,,
1437650703,2061117160,0,130572200,False,,,Rua Granada,residential,,False,124.361,"LINESTRING (-45.8736731 -23.1917807, -45.8731977 -23.1907512)",0.0002706386185592842,0.9999357550333895,,
1437650703,1437650653,0,130572200,False,,,Rua Granada,residential,,True,64.319,"LINESTRING (-45.8736731 -23.1917807, -45.873869 -23.1921892, -45.8739269 -23.19231)",0.004187522990079916,,,
1437650703,2061117165,0,130572202,False,,,Rua Jaspe,residential,,True,61.037000000000006,"LINESTRING (-45.8736731 -23.1917807, -45.8737488 -23.1917514, -45.8741512 -23.1915955, -45.8742234 -23.1915675)",0.0023863637095377275,0.9997735756108541,,
1437650711,2061117165,0,130572202,False,,,Rua Jaspe,residential,,False,67.80799999999999,"LINESTRING (-45.8748266 -23.1913137, -45.8747549 -23.1913416, -45.874462 -23.1914664, -45.8743017 -23.1915343, -45.8742234 -23.1915675)",0.0026875781393286362,0.9997147704148336,,
1437650711,2905769457,0,130700215,True,3,,Avenida Nair Toledo de Mira,secondary,,False,47.791,"LINESTRING (-45.8748266 -23.1913137, -45.8747448 -23.191129, -45.8746457 -23.1909174)",0.0013213963712209414,0.9998783096664532,,
1437650725,2905769444,0,130700215,True,3,,Avenida Nair Toledo de Mira,secondary,,False,73.821,"LINESTRING (-45.8743428 -23.1902793, -45.874053 -23.1896712)",0.0044056435055200285,0.9997978505021806,,
1437650725,2061117157,0,130572203,False,,,Rua Cristal,residential,,False,67.42099999999999,"LINESTRING (-45.8743428 -23.1902793, -45.8743023 -23.1902969, -45.8742617 -23.1903144, -45.874061 -23.1904002, -45.8740101 -23.1904219, -45.8738239 -23.1905007, -45.8737444 -23.1905344)",0.011983007727164527,0.9997445382773111,,
1437658976,1437658984,0,129005031,True,2,,Avenida Deputado Benedito Matarazzo,secondary,,False,27.033,"LINESTRING (-45.8728885 -23.1954235, -45.8731253 -23.1955318)",0.0004034555967028105,0.9999140426492877,,
1437658976,1437659007,0,218648967,False,,,Avenida Deputado Benedito Matarazzo,secondary,,True,116.523,"LINESTRING (-45.8728885 -23.1954235, -45.8718961 -23.1949077)",0.0010139393047924414,0.9994643038966061,,
1437658976,1437658980,0,884654249,False,,,Rua Genésia Berardineli Tarantino,tertiary,,True,30.738,"LINESTRING (-45.8728885 -23.1954235, -45.8730872 -23.195216)",0.004169298996045866,0.9997572466764347,,
1437658977,2061117173,0,130573170,False,,,Rua Água Marinha,tertiary,,False,140.274,"LINESTRING (-45.8744457 -23.1937843, -45.8732234 -23.1932106)",0.008745297726341096,0.9997366063648118,,
1437658977,1437658978,0,665146343,True,,,Rua Genésia Berardineli Tarantino,tertiary,,False,87.335,"LINESTRING (-45.8744457 -23.1937843, -45.8738864 -23.1943781)",0.0013651008280857037,0.999409711813443,,
1437658978,1437658994,0,130573172,False,,,Rua Turquesa,residential,,False,137.878,"LINESTRING (-45.8738864 -23.1943781, -45.8729401 -23.1934944)",0.0004853641656673804,0.999979137207043,,
1437658978,1437658979,0,665146343,True,,,Rua Genésia Berardineli Tarantino,tertiary,,False,63.048,"LINESTRING (-45.8738864 -23.1943781, -45.8734803 -23.1948049)",0.0013983652473142536,0.9994243423835423,,
