u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ebc,geometry,junction,ref,bridge
1446748375,1446674039,0,312071891,True,,,tertiary_link,,False,39.298,0.006321537330673107,"LINESTRING (-45.8558256 -23.2223495, -45.8558619 -23.2222359, -45.8558868 -23.2221294, -45.8558943 -23.2220035)",,,
1446748375,3178886311,0,877791480,True,,,residential,,False,18.209,8.750743813224124e-05,"LINESTRING (-45.8558256 -23.2223495, -45.8558707 -23.2223141, -45.8559236 -23.2222891, -45.8559812 -23.2222758)",circular,,
1446748386,1446674020,0,312071889,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,460.52500000000003,0.007378627183310582,"LINESTRING (-45.8562105 -23.2223571, -45.8567545 -23.2225915, -45.8569069 -23.2226352, -45.8601819 -23.2236463, -45.8604088 -23.2237109, -45.8604587 -23.2237295)",,,
1446748386,1446674017,0,448352067,True,,,unclassified,,False,45.724,0.001837656200777066,"LINESTRING (-45.8562105 -23.2223571, -45.8562501 -23.2224152, -45.85627 -23.2224812, -45.8562685 -23.2225498, -45.8562457 -23.222615, -45.8562034 -23.2226715, -45.8561454 -23.2227145)",circular,,
1453950122,1454899416,0,885743517,False,,Rua Teodomiro Costa,residential,,False,48.334,9.880006467216381e-05,"LINESTRING (-45.8642372 -23.1948681, -45.8642615 -23.1953022)",,,
1453950122,1453960044,0,132112940,False,,Rua José Martins Xavier,residential,,False,143.519,0.002697295936821313,"LINESTRING (-45.8642372 -23.1948681, -45.8638344 -23.1959486, -45.863782 -23.1960891)",,,
1453950122,1453950288,0,"[132214761, 448342029]",False,,"['Rua Teodomiro Costa', 'Rua Marginal B']",residential,,True,357.74800000000005,0.0030352829990549198,"LINESTRING (-45.8642372 -23.1948681, -45.8643063 -23.194418, -45.8643224 -23.1943135, -45.8643377 -23.1942138, -45.8647648 -23.1923585, -45.8654099 -23.1926486)",,,
1453950123,1454899412,0,132110340,False,,Praça Benedito Ugolino da Silva Guerra,residential,,True,45.647,0.0013783171569583415,"LINESTRING (-45.864265 -23.1958164, -45.8644229 -23.1954324)",,,
1453950123,1453957511,0,132112831,False,,Praça Benedito Ugolino Silva Guerra,residential,,True,69.515,0.0015295300100508541,"LINESTRING (-45.864265 -23.1958164, -45.8649342 -23.1959281)",,,
1453950123,1453950300,0,885743516,False,,Rua Teodomiro Costa,residential,,False,174.952,0.003245159171862942,"LINESTRING (-45.864265 -23.1958164, -45.8639127 -23.1973561)",,,
1453950123,1454899416,0,448342045,True,,Rua Teodomiro Costa,residential,,False,57.18,0.004869338893805974,"LINESTRING (-45.864265 -23.1958164, -45.864261 -23.1955947, -45.8642615 -23.1953022)",,,
1453950288,1453950289,0,132110338,False,,Rua Raul Franco Martins,residential,,False,198.368,0.01216812317935913,"LINESTRING (-45.8654099 -23.1926486, -45.8649731 -23.1943868)",,,
1453950288,1453950122,0,"[132214761, 448342029]",False,,"['Rua Teodomiro Costa', 'Rua Marginal B']",residential,,False,357.74800000000005,0.0014333218323557442,"LINESTRING (-45.8654099 -23.1926486, -45.8647648 -23.1923585, -45.8643377 -23.1942138, -45.8643224 -23.1943135, -45.8643063 -23.194418, -45.8642372 -23.1948681)",,,
1453950289,1453957511,0,132110338,False,,Rua Raul Franco Martins,residential,,False,171.431,0.014705374956871334,"LINESTRING (-45.8649731 -23.1943868, -45.8649342 -23.1959281)",,,
1453950289,1453950288,0,132110338,False,,Rua Raul Franco Martins,residential,,True,198.368,0.0027824031709362115,"LINESTRING (-45.8649731 -23.1943868, -45.8654099 -23.1926486)",,,
1453950289,1454899412,0,132110340,False,,Praça Benedito Ugolino da Silva Guerra,residential,,False,129.151,0.0005596559040851807,"LINESTRING (-45.8649731 -23.1943868, -45.8644229 -23.1954324)",,,
1453950293,4453703042,0,132214755,False,,Rua Raul Franco Martins,residential,,False,85.06,0.008545626378242152,"LINESTRING (-45.8639126 -23.198817, -45.8639296 -23.1995818)",,,
1453950293,1453961350,0,132216058,False,,Rua Raul Franco Martins,residential,,True,28.997,0.04183295857925701,"LINESTRING (-45.8639126 -23.198817, -45.8640501 -23.1985889)",,,
1453950293,1453969481,0,132113592,False,,Rua Avião Brasília,residential,,False,166.38,0.05630642771302227,"LINESTRING (-45.8639126 -23.198817, -45.8637972 -23.199014, -45.8633106 -23.1995452, -45.8630825 -23.1999738, -45.863017 -23.2000549)",,,
1453950300,1453958821,0,132112834,False,,Rua Edésio José de Melo,residential,,False,59.782,0.012526631430338242,"LINESTRING (-45.8639127 -23.1973561, -45.8633836 -23.1971269)",,,
1453950300,1453957515,0,132112834,False,,Rua Edésio José de Melo,residential,,True,131.326,0.009251186350839822,"LINESTRING (-45.8639127 -23.1973561, -45.8648213 -23.196521)",,,
1453950300,1453957518,0,132214760,False,,Rua Teodomiro Costa,residential,,False,117.254,0.009389806466883017,"LINESTRING (-45.8639127 -23.1973561, -45.8634198 -23.1983083)",,,
1453950300,1453950123,0,885743516,False,,Rua Teodomiro Costa,residential,,True,174.952,0.005429025356044154,"LINESTRING (-45.8639127 -23.1973561, -45.864265 -23.1958164)",,,
1453957511,1453957515,0,132110338,False,,Rua Raul Franco Martins,residential,,False,66.93,0.017862218288554523,"LINESTRING (-45.8649342 -23.1959281, -45.8648213 -23.196521)",,,
1453957511,1453950289,0,132110338,False,,Rua Raul Franco Martins,residential,,True,171.431,0.004951131957327467,"LINESTRING (-45.8649342 -23.1959281, -45.8649731 -23.1943868)",,,
1453957511,1453950123,0,132112831,False,,Praça Benedito Ugolino Silva Guerra,residential,,False,69.515,0.002728368022393015,"LINESTRING (-45.8649342 -23.1959281, -45.864265 -23.1958164)",,,
1453957515,1453957511,0,132110338,False,,Rua Raul Franco Martins,residential,,True,66.93,0.009310313598878149,"LINESTRING (-45.8648213 -23.196521, -45.8649342 -23.1959281)",,,
1453957515,1453950300,0,132112834,False,,Rua Edésio José de Melo,residential,,False,131.326,0.009736680395611404,"LINESTRING (-45.8648213 -23.196521, -45.8639127 -23.1973561)",,,
1453957515,1453961350,0,132216058,False,,Rua Raul Franco Martins,residential,,False,244.888,0.028681796286017646,"LINESTRING (-45.8648213 -23.196521, -45.8645638 -23.1976239, -45.8640501 -23.1985889)",,,
1453957518,1453958828,0,132113017,False,,Rua Brasílio Cursino,residential,,False,97.276,0.008398413865178547,"LINESTRING (-45.8634198 -23.1983083, -45.8625623 -23.1979287)",,,
1453957518,1453961350,0,132113017,False,,Rua Brasílio Cursino,residential,,True,71.578,0.019244294098331692,"LINESTRING (-45.8634198 -23.1983083, -45.8640501 -23.1985889)",,,
1453957518,1453950300,0,132214760,False,,Rua Teodomiro Costa,residential,,True,117.254,0.009765799537405122,"LINESTRING (-45.8634198 -23.1983083, -45.8639127 -23.1973561)",,,
1453958821,1453950300,0,132112834,False,,Rua Edésio José de Melo,residential,,True,59.782,0.01385251079675106,"LINESTRING (-45.8633836 -23.1971269, -45.8639127 -23.1973561)",,,
1453958821,1453960064,0,132112940,False,,Rua José Martins Xavier,residential,,True,23.356,0.008381029054136272,"LINESTRING (-45.8633836 -23.1971269, -45.863447 -23.1969251)",,,
1453958821,1453960082,0,132214757,False,,Rua José Martins Xavier,residential,,False,31.711,0.0026275233394838695,"LINESTRING (-45.8633836 -23.1971269, -45.8631433 -23.1973073)",,,
1453958828,1453957518,0,132113017,False,,Rua Brasílio Cursino,residential,,True,97.276,0.008421749182013804,"LINESTRING (-45.8625623 -23.1979287, -45.8634198 -23.1983083)",,,
1453958828,1453960087,0,132214757,False,,Rua José Martins Xavier,residential,,True,39.286,0.004797774477497268,"LINESTRING (-45.8625623 -23.1979287, -45.8626554 -23.1978709, -45.8628366 -23.1976844)",,,
1453958828,1454889053,0,132214758,False,,Rua das Cidreiras,residential,,False,156.253,0.0018551576884035144,"LINESTRING (-45.8625623 -23.1979287, -45.8623617 -23.1979408, -45.8622149 -23.1979044, -45.8611533 -23.1974399)",,,
1453960044,1453960056,0,132112940,False,,Rua José Martins Xavier,residential,,False,50.521,0.0026762108112522885,"LINESTRING (-45.863782 -23.1960891, -45.8636128 -23.196516)",,,
1453960044,1453950122,0,132112940,False,,Rua José Martins Xavier,residential,,True,143.519,0.0013025773857444547,"LINESTRING (-45.863782 -23.1960891, -45.8638344 -23.1959486, -45.8642372 -23.1948681)",,,
1453960044,1453960046,0,132112966,False,,Rua das Macieiras,residential,,False,170.725,0.0018551576884035144,"LINESTRING (-45.863782 -23.1960891, -45.8623625 -23.1955328, -45.8622353 -23.1955296)",,,
1453960046,1453960044,0,132112966,False,,Rua das Macieiras,residential,,True,170.725,0.0018516573908782246,"LINESTRING (-45.8622353 -23.1955296, -45.8623625 -23.1955328, -45.863782 -23.1960891)",,,
1453960056,1453960064,0,132112940,False,,Rua José Martins Xavier,residential,,False,48.544,0.006198443534367087,"LINESTRING (-45.8636128 -23.196516, -45.863447 -23.1969251)",,,
1453960056,1453960044,0,132112940,False,,Rua José Martins Xavier,residential,,True,50.521,0.0012884928552260341,"LINESTRING (-45.8636128 -23.196516, -45.863782 -23.1960891)",,,
1453960056,1453960060,0,132112967,False,,Rua Zenaide Pereira de Faria,residential,,False,168.343,0.0018551576884035144,"LINESTRING (-45.8636128 -23.196516, -45.862102 -23.195913)",,,
1453960060,1453960056,0,132112967,False,,Rua Zenaide Pereira de Faria,residential,,True,168.343,0.0018516573908782246,"LINESTRING (-45.862102 -23.195913, -45.8636128 -23.196516)",,,
1453960064,1453958821,0,132112940,False,,Rua José Martins Xavier,residential,,False,23.356,0.009754745820061372,"LINESTRING (-45.863447 -23.1969251, -45.8633836 -23.1971269)",,,
1453960064,1453960056,0,132112940,False,,Rua José Martins Xavier,residential,,True,48.544,0.0048177261733914215,"LINESTRING (-45.863447 -23.1969251, -45.8636128 -23.196516)",,,
1453960064,1453960077,0,132112968,False,,Rua das Figueiras,residential,,False,170.62599999999998,0.0018551576884035144,"LINESTRING (-45.863447 -23.1969251, -45.8620095 -23.196357, -45.8619327 -23.1962916)",,,
1453960077,1453960064,0,132112968,False,,Rua das Figueiras,residential,,True,170.62599999999998,0.0018516573908782246,"LINESTRING (-45.8619327 -23.1962916, -45.8620095 -23.196357, -45.863447 -23.1969251)",,,
1453960082,1453960083,0,132112971,False,,Rua das Amoeiras,residential,,False,160.318,0.0018551576884035144,"LINESTRING (-45.8631433 -23.1973073, -45.861713 -23.1967154)",,,
1453960082,1453958821,0,132214757,False,,Rua José Martins Xavier,residential,,True,31.711,0.002583186237496854,"LINESTRING (-45.8631433 -23.1973073, -45.8633836 -23.1971269)",,,
1453960082,1453960087,0,132214757,False,,Rua José Martins Xavier,residential,,False,52.379999999999995,0.0013417473818607916,"LINESTRING (-45.8631433 -23.1973073, -45.8629179 -23.1975953, -45.8628366 -23.1976844)",,,
1453960083,1453960082,0,132112971,False,,Rua das Amoeiras,residential,,True,160.318,0.0018516573908782246,"LINESTRING (-45.861713 -23.1967154, -45.8631433 -23.1973073)",,,
1453960087,1453960093,0,132112974,False,,Rua das Jaboticabeiras,residential,,False,151.945,0.0018551576884035144,"LINESTRING (-45.8628366 -23.1976844, -45.8615634 -23.1971605, -45.8615041 -23.1970962)",,,
1453960087,1453958828,0,132214757,False,,Rua José Martins Xavier,residential,,False,39.286,0.004828110389383098,"LINESTRING (-45.8628366 -23.1976844, -45.8626554 -23.1978709, -45.8625623 -23.1979287)",,,
1453960087,1453960082,0,132214757,False,,Rua José Martins Xavier,residential,,True,52.379999999999995,0.0013044108749243753,"LINESTRING (-45.8628366 -23.1976844, -45.8629179 -23.1975953, -45.8631433 -23.1973073)",,,
1453960093,1453960087,0,132112974,False,,Rua das Jaboticabeiras,residential,,True,151.945,0.0018516573908782246,"LINESTRING (-45.8615041 -23.1970962, -45.8615634 -23.1971605, -45.8628366 -23.1976844)",,,
1453961350,1453957518,0,132113017,False,,Rua Brasílio Cursino,residential,,False,71.578,0.019600452149543892,"LINESTRING (-45.8640501 -23.1985889, -45.8634198 -23.1983083)",,,
1453961350,1453950293,0,132216058,False,,Rua Raul Franco Martins,residential,,False,28.997,0.04953621057789912,"LINESTRING (-45.8640501 -23.1985889, -45.8639126 -23.198817)",,,
1453961350,1453957515,0,132216058,False,,Rua Raul Franco Martins,residential,,True,244.888,0.020618885938638025,"LINESTRING (-45.8640501 -23.1985889, -45.8645638 -23.1976239, -45.8648213 -23.196521)",,,
1453962116,1446671027,0,132113217,True,3,,secondary_link,,False,118.826,0.00020651755399208932,"LINESTRING (-45.8665464 -23.1956396, -45.8662999 -23.1957774, -45.8661778 -23.1958292, -45.8660732 -23.1958563, -45.8659612 -23.1958569, -45.8658506 -23.1958304, -45.8657742 -23.1957682, -45.8657252 -23.1956893, -45.8656856 -23.1955056)",,,
1453962116,1455087457,0,132144374,True,2,Avenida dos Astronautas,secondary,60,False,628.1699999999998,0.0035107984178655185,"LINESTRING (-45.8665464 -23.1956396, -45.8660209 -23.1961757, -45.8657554 -23.1965011, -45.8655114 -23.1968685, -45.8647588 -23.1984606, -45.8644223 -23.199181, -45.8641033 -23.1998811, -45.8639665 -23.2001572, -45.8637787 -23.2004185, -45.8636349 -23.2005619)",,,
1453969481,1453969483,0,132113592,False,,Rua Avião Brasília,residential,,False,78.073,0.020266989360762343,"LINESTRING (-45.863017 -23.2000549, -45.8624817 -23.2005558)",,,
1453969481,1453969511,0,132113596,False,,Rua Avião Alvear,residential,,False,175.522,0.038821508161527074,"LINESTRING (-45.863017 -23.2000549, -45.8614324 -23.1994463)",,,
1453969481,1453950293,0,132113592,False,,Rua Avião Brasília,residential,,True,166.38,0.05053881802175407,"LINESTRING (-45.863017 -23.2000549, -45.8630825 -23.1999738, -45.8633106 -23.1995452, -45.8637972 -23.199014, -45.8639126 -23.198817)",,,
1453969483,1453969481,0,132113592,False,,Rua Avião Brasília,residential,,True,78.073,0.04161807642538505,"LINESTRING (-45.8624817 -23.2005558, -45.863017 -23.2000549)",,,
1453969483,3160449707,0,310603473,False,,Rua Avião Bandeirante,residential,,True,32.651,0.02523606728794165,"LINESTRING (-45.8624817 -23.2005558, -45.8627757 -23.2006707)",,,
1453969483,1453969491,0,448342031,False,,Rua Avião Paulistinha,residential,,False,153.281,0.0035568114004531095,"LINESTRING (-45.8624817 -23.2005558, -45.8613897 -23.2015007)",,,
1453969483,1453969532,0,448342049,False,,Rua Avião Bandeirante,residential,,False,78.37,0.0027923436727863,"LINESTRING (-45.8624817 -23.2005558, -45.8617754 -23.2002814)",,,
1453969491,1453969576,0,132113621,False,,Rua Avião Aribu,residential,,True,85.165,0.0019390481524262898,"LINESTRING (-45.8613897 -23.2015007, -45.8619612 -23.2020581)",,,
1453969491,1453969483,0,448342031,False,,Rua Avião Paulistinha,residential,,True,153.281,0.04716178729771655,"LINESTRING (-45.8613897 -23.2015007, -45.8624817 -23.2005558)",,,
1453969491,1453969497,0,448342031,False,,Rua Avião Paulistinha,residential,,False,68.03800000000001,0.004361635871139234,"LINESTRING (-45.8613897 -23.2015007, -45.8612922 -23.2016283, -45.8610896 -23.2020445)",,,
1453969497,8866552518,0,670342747,False,,Rua Avião Paulistinha,residential,,False,18.432,0.006654983078379068,"LINESTRING (-45.8610896 -23.2020445, -45.8610226 -23.2021984)",,,
1453969497,1453969491,0,448342031,False,,Rua Avião Paulistinha,residential,,True,68.03800000000001,0.001640446089964431,"LINESTRING (-45.8610896 -23.2020445, -45.8612922 -23.2016283, -45.8613897 -23.2015007)",,,
1453969499,1446671015,0,132113622,False,,Rua Avião Ipanema,residential,,True,87.42,0.005208343805714709,"LINESTRING (-45.8606957 -23.2029493, -45.8612975 -23.203508)",,,
1453969499,8866552518,0,670342747,False,,Rua Avião Paulistinha,residential,,True,89.932,0.007023297251137046,"LINESTRING (-45.8606957 -23.2029493, -45.8610226 -23.2021984)",,,
1453969499,2024367581,0,132113603,False,,Rua Avião Muniz,residential,,True,228.537,0.022582593773579157,"LINESTRING (-45.8606957 -23.2029493, -45.8605713 -23.2028435, -45.8597549 -23.2010985)",,,
1453969499,1453977242,0,"[132114025, 670342747]",False,,"['Rua Hidra', 'Rua Avião Paulistinha']",residential,,False,171.05,0.061121926064114075,"LINESTRING (-45.8606957 -23.2029493, -45.8604379 -23.2039808, -45.8604104 -23.2040221, -45.8603715 -23.2040338, -45.8602287 -23.204006, -45.8601241 -23.2039962, -45.8600597 -23.2040029, -45.859968 -23.204063)",,,
1453969511,1453969481,0,132113596,False,,Rua Avião Alvear,residential,,True,175.522,0.011706311703161432,"LINESTRING (-45.8614324 -23.1994463, -45.863017 -23.2000549)",,,
1453969511,1453969533,0,132113612,False,,Rua Avião Uirapuru,residential,,False,73.652,0.0021127673820575356,"LINESTRING (-45.8614324 -23.1994463, -45.861014 -23.1999856)",,,
1453969511,1453969544,0,"[132113603, 132113596]",False,,"['Rua Avião Muniz', 'Rua Avião Alvear']",residential,,False,249.85899999999998,0.041493023381346396,"LINESTRING (-45.8614324 -23.1994463, -45.8598435 -23.198826, -45.8594474 -23.1993769)",,,
