u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,junction,bridge
1453969499,1446671015,0,132113622,False,,residential,,True,87.42,"LINESTRING (-45.8606957 -23.2029493, -45.8612975 -23.203508)",0.005580536395930742,Rua Avião Ipanema,,
1453969499,8866552518,0,670342747,False,,residential,,True,89.932,"LINESTRING (-45.8606957 -23.2029493, -45.8610226 -23.2021984)",0.007354096902495909,Rua Avião Paulistinha,,
1453969499,2024367581,0,132113603,False,,residential,,True,228.537,"LINESTRING (-45.8606957 -23.2029493, -45.8605713 -23.2028435, -45.8597549 -23.2010985)",0.023135640409489337,Rua Avião Muniz,,
1453969499,1453977242,0,"[132114025, 670342747]",False,,residential,,False,171.05,"LINESTRING (-45.8606957 -23.2029493, -45.8604379 -23.2039808, -45.8604104 -23.2040221, -45.8603715 -23.2040338, -45.8602287 -23.204006, -45.8601241 -23.2039962, -45.8600597 -23.2040029, -45.859968 -23.204063)",0.05853380393338131,"['Rua Hidra', 'Rua Avião Paulistinha']",,
1453969511,1453969481,0,132113596,False,,residential,,True,175.522,"LINESTRING (-45.8614324 -23.1994463, -45.863017 -23.2000549)",0.011492221182896278,Rua Avião Alvear,,
1453969511,1453969533,0,132113612,False,,residential,,False,73.652,"LINESTRING (-45.8614324 -23.1994463, -45.861014 -23.1999856)",0.0021763109694301966,Rua Avião Uirapuru,,
1453969511,1453969544,0,"[132113603, 132113596]",False,,residential,,False,249.85899999999998,"LINESTRING (-45.8614324 -23.1994463, -45.8598435 -23.198826, -45.8594474 -23.1993769)",0.037461335076203015,"['Rua Avião Muniz', 'Rua Avião Alvear']",,
1453969527,1446671019,0,310603470,True,,residential,,False,43.181,"LINESTRING (-45.8633634 -23.2005985, -45.8636959 -23.2003589)",0.001011765886455433,,,
1453969527,3160449708,0,310603474,True,,residential,,False,6.951,"LINESTRING (-45.8633634 -23.2005985, -45.8634179 -23.2006359)",0.026294973246316664,,,
1453969529,1453969527,0,310603470,True,,residential,,False,13.201,"LINESTRING (-45.863259 -23.2006684, -45.8633634 -23.2005985)",0.027302976056080595,,,
