u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,ebc,maxspeed,bridge,junction
1434874897,1434874903,0,130191331,False,,,Rua Atenas,residential,True,43.775000000000006,"LINESTRING (-45.8772352 -23.1964168, -45.8771588 -23.1961336, -45.8771321 -23.1960347)",0.0014941293773856098,,,
1434874903,1434874897,0,130191331,False,,,Rua Atenas,residential,False,43.775000000000006,"LINESTRING (-45.8771321 -23.1960347, -45.8771588 -23.1961336, -45.8772352 -23.1964168)",2.9745757065212218e-05,,,
1434874903,1434870722,0,390809424,True,,,Rua Roma,secondary,False,73.56099999999999,"LINESTRING (-45.8771321 -23.1960347, -45.8765172 -23.1960175, -45.8764127 -23.1960146)",0.004837849929086115,50,,
1434874912,8227243170,0,310604882,True,,,Rua Estocolmo,tertiary,False,23.085,"LINESTRING (-45.8778672 -23.1983989, -45.877853 -23.1986061)",1.1005930114128521e-05,,,
1434874912,4034132023,0,655682829,False,,,Rua Estocolmo,tertiary,True,42.704,"LINESTRING (-45.8778672 -23.1983989, -45.8781526 -23.1981184)",0.004785775023717283,,,
1434875366,8234382392,0,130191562,False,,,Rua Madrid,residential,False,66.584,"LINESTRING (-45.8774668 -23.1972824, -45.8768361 -23.1974324)",0.008570942440770248,,,
1434875366,1434874897,0,310604877,True,,,Praça Londres,residential,False,99.118,"LINESTRING (-45.8774668 -23.1972824, -45.8772352 -23.1964168)",0.0015012683590812606,,,
1434875366,1434877844,0,310604878,False,,,Rua Atenas,residential,False,38.068,"LINESTRING (-45.8774668 -23.1972824, -45.8775918 -23.1976049)",0.0018972546310384339,,,
1434875366,2024367569,0,310604880,False,,,Rua Madrid,residential,True,49.510999999999996,"LINESTRING (-45.8774668 -23.1972824, -45.8776456 -23.1971408, -45.8778354 -23.1969935)",0.004058349983508468,,,
1434875367,8234382392,0,448345139,False,,,Avenida Samuel Wainer,secondary,True,2.897,"LINESTRING (-45.8768433 -23.1974576, -45.8768361 -23.1974324)",0.020699753676762574,60,,
1434875367,1434786526,0,249535522,True,,,Avenida Samuel Wainer,secondary,False,67.124,"LINESTRING (-45.8768433 -23.1974576, -45.8769844 -23.1978329, -45.8770966 -23.1980119)",0.0004841017031720649,,,
1434877823,1434874889,0,130191324,True,,,Rua Berna,residential,False,75.103,"LINESTRING (-45.8783005 -23.1965729, -45.8778824 -23.1961507, -45.8778059 -23.1960734)",0.002611974927896285,,,
1434877823,2024367569,0,130192318,False,,,Rua Madrid,residential,False,66.686,"LINESTRING (-45.8783005 -23.1965729, -45.8782454 -23.1966227, -45.8778749 -23.1969577, -45.8778354 -23.1969935)",1.665762395651884e-05,,,
1434877835,4034132023,0,130192321,False,,,Praça Paris,residential,False,48.534,"LINESTRING (-45.8784804 -23.1984342, -45.8781526 -23.1981184)",0.00225948770667352,,,
1434877835,3160459082,0,665672388,True,,,Avenida Lisboa,tertiary,False,71.974,"LINESTRING (-45.8784804 -23.1984342, -45.8782494 -23.1984548, -45.877995 -23.1984861, -45.877938 -23.198538, -45.8779147 -23.1986065, -45.8779167 -23.198659)",0.00015625860560039147,,,
1434877844,4034132023,0,130192321,False,,,Praça Paris,residential,True,80.904,"LINESTRING (-45.8775918 -23.1976049, -45.8781526 -23.1981184)",0.0004159159291908656,,,
1434877844,1434875366,0,310604878,False,,,Rua Atenas,residential,True,38.068,"LINESTRING (-45.8775918 -23.1976049, -45.8774668 -23.1972824)",0.007100312211466156,,,
1434877844,3160459076,0,804502183,False,,,Praça Londres,residential,False,74.714,"LINESTRING (-45.8775918 -23.1976049, -45.8777529 -23.1982603)",0.0007537574840324776,,,
