osmid,y,x,street_count,dc,cc,bc,vul,eff,highway,ref,geometry
457566696,-23.5555907,-46.6475203,4,0.0029784065524944155,0.034124977325356985,0.021734207223581672,9.801112061159441e-05,0.07609631930206648,traffic_signals,,POINT (-46.6475203 -23.5555907)
457566698,-23.5555173,-46.6467015,4,0.0029784065524944155,0.0372046604846143,0.027623163362676454,0.0010189551015310511,0.07609631930206648,traffic_signals,,POINT (-46.6467015 -23.5555173)
457566699,-23.5553328,-46.644643,4,0.0029784065524944155,0.03642464184500636,0.02160870820400611,0.0006012171718822909,0.07609631930206648,,,POINT (-46.644643 -23.5553328)
457566708,-23.5575635,-46.643589,4,0.0029784065524944155,0.037606170318224816,0.023320016668211263,0.0005019103444164924,0.07609631930206648,,,POINT (-46.643589 -23.5575635)
457566710,-23.5592215,-46.6432661,3,0.0022338049143708115,0.036189434367536744,0.0007291637438238518,1.7026856438684558e-05,0.07609631930206648,,,POINT (-46.6432661 -23.5592215)
457566715,-23.5597316,-46.6441853,4,0.0022338049143708115,0.0007446016381236039,0.0005415773432691758,0.00012035551750882671,0.07609631930206648,,,POINT (-46.6441853 -23.5597316)
457566787,-23.559989,-46.6487602,3,0.0022338049143708115,0.030312710416776478,0.0014381575603698816,-0.0003639991689435042,0.07609631930206648,,,POINT (-46.6487602 -23.559989)
457566789,-23.5579896,-46.648316,3,0.004467609828741623,0.032356354544805836,0.005582923502431899,0.00016344661110465332,0.07609631930206648,,,POINT (-46.648316 -23.5579896)
457566790,-23.557252,-46.6481512,3,0.0037230081906180195,0.03297307545267663,0.0035286526242140873,3.0055967704265498e-05,0.07609631930206648,,,POINT (-46.6481512 -23.557252)
457593087,-23.5545172,-46.647701,3,0.0022338049143708115,0.0372046604846143,0.03646796910509619,0.00015021869533643137,0.07609631930206648,,,POINT (-46.647701 -23.5545172)
457593088,-23.5578941,-46.6472451,4,0.004467609828741623,0.03465790658082281,0.019697968288933148,0.0014083375816029426,0.07609631930206648,,,POINT (-46.6472451 -23.5578941)
457593089,-23.5581176,-46.6472244,3,0.0029784065524944155,0.033444598683306445,0.0037673220005118697,0.0005993198629300366,0.07609631930206648,,,POINT (-46.6472244 -23.5581176)
457593099,-23.5602864,-46.6477172,3,0.0007446016381236039,0.030313321594488934,0.0,-0.00045404237201366243,0.07609631930206648,,,POINT (-46.6477172 -23.5602864)
457593100,-23.5590723,-46.6477309,3,0.0022338049143708115,0.03126098095059693,0.0016461505679138534,0.0006725300392577345,0.07609631930206648,,,POINT (-46.6477309 -23.5590723)
457593126,-23.5578266,-46.6465028,4,0.0029784065524944155,0.0359158306583111,0.015290672794837274,0.0008396321865257055,0.07609631930206648,,,POINT (-46.6465028 -23.5578266)
457593155,-23.5529501,-46.6459452,3,0.0022338049143708115,0.0340886293844902,0.019017747280818266,0.0018390463810789063,0.07609631930206648,,,POINT (-46.6459452 -23.5529501)
457593159,-23.5536717,-46.6457406,3,0.0022338049143708115,0.0337434017347208,0.008819757363650576,0.0011658040489342647,0.07609631930206648,,,POINT (-46.6457406 -23.5536717)
457593231,-23.557637,-46.6444033,4,0.0029784065524944155,0.036188357493336674,0.023152959522955086,0.0007887764511043915,0.07609631930206648,,,POINT (-46.6444033 -23.557637)
457593233,-23.5574899,-46.6427711,4,0.0029784065524944155,0.0378790862119564,0.031080384257423554,0.0007151164788474564,0.07609631930206648,,,POINT (-46.6427711 -23.5574899)
457593237,-23.5574442,-46.6422364,3,0.0022338049143708115,0.038835891487180974,0.014790538072884399,0.00012678006643610827,0.07609631930206648,,,POINT (-46.6422364 -23.5574442)
458788030,-23.5535932,-46.6213063,3,0.0037230081906180195,0.03874310104877579,0.007954493775022003,0.00015584819725163082,0.07609631930206648,traffic_signals,,POINT (-46.6213063 -23.5535932)
458788031,-23.5535553,-46.6218696,3,0.0037230081906180195,0.039090544885123334,0.016305838425391333,0.00031147729020268556,0.07609631930206648,,,POINT (-46.6218696 -23.5535553)
458788039,-23.5559336,-46.6191143,3,0.004467609828741623,0.03452115989443561,0.002441224771236826,-0.00019946307847813858,0.07609631930206648,,,POINT (-46.6191143 -23.5559336)
459335604,-23.5576961,-46.6366858,3,0.0022338049143708115,0.037299369480787374,0.005905617749167069,5.913956079881059e-05,0.07609631930206648,,,POINT (-46.6366858 -23.5576961)
459347433,-23.5570105,-46.6375881,3,0.0022338049143708115,0.0014319262271607768,0.0011259081157034112,0.004466611699613103,0.07609631930206648,,,POINT (-46.6375881 -23.5570105)
459347453,-23.5559915,-46.6387928,3,0.0022338049143708115,0.03518126423053322,0.07304486582577334,0.008434775562788092,0.07609631930206648,motorway_junction,,POINT (-46.6387928 -23.5559915)
459347476,-23.555988,-46.6396793,3,0.0037230081906180195,0.043461723319315,0.015341532246555569,0.0010761572378919335,0.07609631930206648,,,POINT (-46.6396793 -23.555988)
