osmid,y,x,highway,street_count,dc,cc,nbc,vul,geometry
42430298,40.7491217,-73.9882353,traffic_signals,4,0.015748031496062992,0.10301608441054719,0.06411244300148763,0.0032090277000279463,POINT (-73.9882353 40.7491217)
42430304,40.7497993,-73.9877404,traffic_signals,4,0.023622047244094488,0.10741768074445239,0.11166079277973613,0.004581080132949575,POINT (-73.9877404 40.7497993)
42430308,40.7504574,-73.9872874,traffic_signals,4,0.015748031496062992,0.10503062117235344,0.04995673975145996,0.002860082349244253,POINT (-73.9872874 40.7504574)
42430311,40.751088,-73.9868238,traffic_signals,4,0.015748031496062992,0.09801696293562641,0.059762741632859,0.002232133457660882,POINT (-73.9868238 40.751088)
42430314,40.7517,-73.986399,traffic_signals,4,0.015748031496062992,0.10094784179316328,0.05279660959822385,0.002153095229226783,POINT (-73.986399 40.7517)
42430317,40.752317,-73.985947,traffic_signals,4,0.015748031496062992,0.09359164262882981,0.04867660433733394,0.0019391615132221627,POINT (-73.985947 40.752317)
42430320,40.7529437,-73.9854836,traffic_signals,4,0.015748031496062992,0.09697123415584541,0.05709060016816445,0.002529447638076605,POINT (-73.9854836 40.7529437)
42430324,40.7535585,-73.9850397,traffic_signals,4,0.015748031496062992,0.08948083969624962,0.04805369589054797,0.0043557831551336,POINT (-73.9850397 40.7535585)
42430329,40.754177,-73.984596,traffic_signals,3,0.011811023622047244,0.08196978759548917,0.023988726951659378,0.00028557635276981787,POINT (-73.984596 40.754177)
42430333,40.754842,-73.984118,traffic_signals,4,0.023622047244094488,0.08286076354761406,0.02761386970045428,0.0022028152505734165,POINT (-73.984118 40.754842)
42430338,40.755516,-73.983624,traffic_signals,4,0.007874015748031496,0.0778092646975627,0.0,-0.0011176586194060743,POINT (-73.983624 40.755516)
42432436,40.7528159,-73.9813803,traffic_signals,3,0.011811023622047244,0.0781995028583042,0.036265025956445464,0.0007309788387895048,POINT (-73.9813803 40.7528159)
42432438,40.7521404,-73.9797786,traffic_signals,4,0.015748031496062992,0.08860851055035443,0.030262104643020128,0.002214059311718748,POINT (-73.9797786 40.7521404)
42432444,40.7507711,-73.9765292,traffic_signals,4,0.015748031496062992,0.09725057515958653,0.03940384124495186,0.002970580376021274,POINT (-73.9765292 40.7507711)
42432451,40.7501096,-73.9749369,traffic_signals,4,0.011811023622047244,0.09149008812922775,0.0249291664755223,6.719217321514873e-05,POINT (-73.9749369 40.7501096)
42432693,40.7554134,-73.9794895,traffic_signals,4,0.011811023622047244,0.0668322674315032,0.01261035552374135,-0.0010588804661041886,POINT (-73.9794895 40.7554134)
42433604,40.7509597,-73.9827265,traffic_signals,4,0.015748031496062992,0.09697123415584541,0.07447267744484856,0.0019504947298524204,POINT (-73.9827265 40.7509597)
42433611,40.7535034,-73.9887981,traffic_signals,4,0.015748031496062992,0.08140506291346719,0.03230234578280354,0.0009846034166272116,POINT (-73.9887981 40.7535034)
42433620,40.754707,-73.991633,traffic_signals,4,0.015748031496062992,0.07914229659671643,0.016808432594589275,0.0011948096895928008,POINT (-73.991633 40.754707)
42433625,40.7559104,-73.9944724,traffic_signals,4,0.007874015748031496,0.0,0.0,-0.0013373540135205352,POINT (-73.9944724 40.7559104)
42434072,40.7560373,-73.9790227,traffic_signals,4,0.007874015748031496,0.0,0.0,-0.0015756495367842687,POINT (-73.9790227 40.7560373)
42434074,40.7553621,-73.9774077,traffic_signals,4,0.015748031496062992,0.0668322674315032,0.0055061550910575205,0.00011125225110752331,POINT (-73.9774077 40.7553621)
42434077,40.7549885,-73.9765138,traffic_signals,4,0.023622047244094488,0.07275828129242465,0.026659933318611863,0.0035807420582968153,POINT (-73.9765138 40.7549885)
42434268,40.7408858,-73.9900833,traffic_signals,4,0.015748031496062992,0.06418221011346965,0.011429771871401451,-0.0010172507836966912,POINT (-73.9900833 40.7408858)
42434800,40.7440672,-73.9877451,traffic_signals,4,0.015748031496062992,0.08710611781710109,0.0647317816703606,0.0020945667808034765,POINT (-73.9877451 40.7440672)
42434807,40.746618,-73.993813,traffic_signals,4,0.011811023622047244,0.07879923229002843,0.029056920252433997,-0.00022116347007347545,POINT (-73.993813 40.746618)
42434946,40.7491045,-73.9840705,traffic_signals,4,0.015748031496062992,0.1064020250507858,0.07896124955476744,0.0021673061697185824,POINT (-73.9840705 40.7491045)
42434948,40.7484303,-73.9824775,traffic_signals,4,0.015748031496062992,0.10850270782267918,0.05026408149017474,0.0020732500298274075,POINT (-73.9824775 40.7484303)
42434951,40.7477119,-73.9807576,traffic_signals,4,0.015748031496062992,0.10355779914013816,0.03337529154916367,0.002110701528277266,POINT (-73.9807576 40.7477119)
42434954,40.7470714,-73.9792242,traffic_signals,4,0.015748031496062992,0.09598655468635063,0.06008898416006665,0.0017418402306376155,POINT (-73.9792242 40.7470714)
42434959,40.7463979,-73.9776393,traffic_signals,4,0.015748031496062992,0.08992347703112452,0.023152039199859274,0.002025517828575129,POINT (-73.9776393 40.7463979)
42434962,40.746037,-73.9767892,traffic_signals,4,0.015748031496062992,0.07492672721553433,0.0062852587423884105,-9.875648946399116e-05,POINT (-73.9767892 40.746037)
42434965,40.7454591,-73.9754076,traffic_signals,4,0.01968503937007874,0.0812092431745001,0.027539730956075478,0.0007930411514721125,POINT (-73.9754076 40.7454591)
42434969,40.7451792,-73.974743,traffic_signals,4,0.011811023622047244,0.07275828129242465,0.00043010310470084526,-0.001104532292013266,POINT (-73.974743 40.7451792)
42435420,40.748469,-73.992463,traffic_signals,4,0.015748031496062992,0.08461113413454896,0.03665091794190025,0.0015935210367821091,POINT (-73.992463 40.748469)
42435422,40.749101,-73.992006,traffic_signals,4,0.015748031496062992,0.0924927192320138,0.05723008201644271,0.0011852221626632393,POINT (-73.992006 40.749101)
42435642,40.751532,-73.9939428,traffic_signals,3,0.007874015748031496,0.07801878429772047,0.019987834828642775,0.0010096513146475353,POINT (-73.9939428 40.751532)
42435644,40.7521986,-73.993458,traffic_signals,4,0.015748031496062992,0.09195287845828609,0.031212069341134727,0.0024383385640107495,POINT (-73.993458 40.7521986)
42435645,40.7528582,-73.9929759,traffic_signals,4,0.011811023622047244,0.08877494276401025,0.0226225556941198,0.0006936159227356198,POINT (-73.9929759 40.7528582)
42435646,40.7534779,-73.9925251,traffic_signals,4,0.015748031496062992,0.08191296278606422,0.03474463481096483,0.0014913028509756796,POINT (-73.9925251 40.7534779)
42435650,40.754091,-73.992079,traffic_signals,4,0.015748031496062992,0.08599668764111909,0.02631621399272027,0.0007685361373442181,POINT (-73.992079 40.754091)
42435654,40.75533,-73.991177,traffic_signals,4,0.011811023622047244,0.08140506291346719,0.009024476011575697,-0.0006770780358182775,POINT (-73.991177 40.75533)
42435657,40.7559486,-73.9907278,traffic_signals,4,0.007874015748031496,0.07514114392298736,0.008822179164294256,-0.0013073825164242308,POINT (-73.9907278 40.7559486)
42436575,40.7415447,-73.9875061,traffic_signals,3,0.011811023622047244,0.06579033898602317,0.01314365896156068,-0.0008357718481645295,POINT (-73.9875061 40.7415447)
42436578,40.7408251,-73.9858246,traffic_signals,4,0.015748031496062992,0.06806419862839726,0.013257736898920085,-0.00028853457826113165,POINT (-73.9858246 40.7408251)
42436582,40.7401675,-73.9842643,traffic_signals,4,0.007874015748031496,0.07044706342517357,0.0,-0.001697077995757114,POINT (-73.9842643 40.7401675)
42436746,40.7446313,-73.9852432,traffic_signals,4,0.015748031496062992,0.09285614838420246,0.071587833526601,0.0017911909589687581,POINT (-73.9852432 40.7446313)
42436748,40.7439234,-73.9835616,traffic_signals,4,0.015748031496062992,0.08847581341737,0.07787402130240062,0.003039302508210264,POINT (-73.9835616 40.7439234)
42436751,40.7432627,-73.982007,traffic_signals,4,0.015748031496062992,0.08934551895568818,0.054189822153681545,0.0015862167437691523,POINT (-73.982007 40.7432627)
42436753,40.7425925,-73.9804107,traffic_signals,4,0.015748031496062992,0.07771091668457589,0.0457420901250705,0.0011619265448999854,POINT (-73.9804107 40.7425925)
42436754,40.7416506,-73.9781701,traffic_signals,4,0.015748031496062992,0.07745621030409547,0.02846810836605974,0.0017006339326754343,POINT (-73.9781701 40.7416506)
42436756,40.7406465,-73.9757944,traffic_signals,4,0.01968503937007874,0.008858267716535433,0.01090846845725312,0.014394289655554785,POINT (-73.9757944 40.7406465)
42437358,40.7534805,-73.9808792,traffic_signals,4,0.023622047244094488,0.08500679771143714,0.06856064739445428,0.0018106596056376254,POINT (-73.9808792 40.7534805)
42437363,40.7560361,-73.9869489,traffic_signals,4,0.011811023622047244,0.07079655411557677,0.002309089026508068,-0.0015638445757182326,POINT (-73.9869489 40.7560361)
42437644,40.7484355,-73.984557,traffic_signals,4,0.023622047244094488,0.11253280839895012,0.1407470670229358,0.00350210405143817,POINT (-73.984557 40.7484355)
42437654,40.7510092,-73.9906121,traffic_signals,4,0.023622047244094488,0.09950269374222959,0.07910360660243555,0.0047865182505471655,POINT (-73.9906121 40.7510092)
42437686,40.7459215,-73.9863915,traffic_signals,4,0.015748031496062992,0.09769280596849741,0.0675835413700628,0.0022714830255177623,POINT (-73.9863915 40.7459215)
42437881,40.7415506,-73.9895966,traffic_signals,4,0.023622047244094488,0.06845854508626745,0.029329345583024174,-0.0002733300253036931,POINT (-73.9895966 40.7415506)
42437890,40.7441065,-73.9956382,traffic_signals,4,0.011811023622047244,0.06350951293678991,0.0019062587532289693,-0.0021708236508831452,POINT (-73.9956382 40.7441065)
42438544,40.7446783,-73.9873007,traffic_signals,4,0.015748031496062992,0.09071742711623619,0.06181002205387403,0.0018607259918271182,POINT (-73.9873007 40.7446783)
42438547,40.7472363,-73.9933621,traffic_signals,4,0.011811023622047244,0.07959545221885998,0.032128209134933264,0.0001222647475313411,POINT (-73.9933621 40.7472363)
42439440,40.749706,-73.991563,traffic_signals,3,0.011811023622047244,0.08914330352236713,0.04794367806107263,0.0005190438840451776,POINT (-73.991563 40.749706)
42439840,40.745383,-73.994709,traffic_signals,4,0.011811023622047244,0.0697517407431509,0.011225685942565393,-0.0009728931673083203,POINT (-73.994709 40.745383)
42439842,40.7460045,-73.9942616,traffic_signals,4,0.011811023622047244,0.07291542660839101,0.02885462340515256,-0.00034529306543036993,POINT (-73.9942616 40.7460045)
42439952,40.7516588,-73.9901341,traffic_signals,4,0.015748031496062992,0.090752264837863,0.044532431667050225,0.0018922842681825792,POINT (-73.9901341 40.7516588)
42439955,40.7522886,-73.9896878,traffic_signals,4,0.015748031496062992,0.08599668764111909,0.04241627136724776,0.0014739383770957769,POINT (-73.9896878 40.7522886)
42439960,40.752895,-73.989243,traffic_signals,4,0.015748031496062992,0.08688194766095414,0.03439244424356616,0.0013519188851123024,POINT (-73.989243 40.752895)
42439964,40.7541474,-73.988323,traffic_signals,4,0.015748031496062992,0.082918911451858,0.02492298289435285,0.0008779670350312697,POINT (-73.988323 40.7541474)
42439968,40.7547554,-73.9878881,traffic_signals,4,0.015748031496062992,0.07260181187029041,0.02051828251215139,0.0017759249588118783,POINT (-73.9878881 40.7547554)
