u,v,key,osmid,oneway,lanes,name,highway,reversed,length,ebc,vulnerability,geometry,maxspeed,bridge,ref,junction
1446671013,3178886355,0,132120725,True,,,secondary_link,False,70.983,0.014183640045262342,0.9993591526746958,"LINESTRING (-45.854189 -23.2192006, -45.8541072 -23.2190992, -45.8540093 -23.2189563, -45.8539526 -23.2188753, -45.8539329 -23.2188472, -45.8538893 -23.2187843, -45.8538397 -23.2187319, -45.8538226 -23.2187153, -45.8537872 -23.2186819)",,,,
1446671013,1446748353,0,312071892,True,,Avenida Brigadeiro Faria Lima,tertiary,False,47.435,0.019898606396283724,0.999457661061378,"LINESTRING (-45.854189 -23.2192006, -45.8540928 -23.2189772, -45.8540697 -23.2188966, -45.8540412 -23.218797)",60,,,
1446671015,1453969499,0,132113622,False,,Rua Avião Ipanema,residential,False,87.42,0.007307678902155594,0.9980784136024559,"LINESTRING (-45.8612975 -23.203508, -45.8606957 -23.2029493)",,,,
1446671015,1453969576,0,448342028,True,,Avenida dos Astronautas,secondary,False,177.45100000000002,0.08383673052260573,0.9969712994227138,"LINESTRING (-45.8612975 -23.203508, -45.8613666 -23.203219, -45.8614599 -23.2028635, -45.8616347 -23.202485, -45.8618354 -23.2021928, -45.8619612 -23.2020581)",60,,,
1446671018,1453987139,0,310701931,False,,Rua Orion,residential,False,93.618,0.017914753009593803,0.996923017589531,"LINESTRING (-45.8605262 -23.2055917, -45.8599962 -23.204905)",,,,
1446671018,3161589327,0,448342052,True,,Avenida dos Astronautas,secondary,False,21.834,0.13144594818964078,0.9986472271103589,"LINESTRING (-45.8605262 -23.2055917, -45.8605868 -23.2055426, -45.8606704 -23.2054477)",60,,,
1446671019,1446671010,0,448342025,True,,Avenida dos Astronautas,secondary,False,40.392,0.017295421394492326,,"LINESTRING (-45.8636959 -23.2003589, -45.8639063 -23.2000514)",60,,,
1446671022,1454044978,0,132121716,False,,Rua Chackler Elhage,residential,False,59.529,0.001105636566597796,0.9986705597288332,"LINESTRING (-45.8569899 -23.2107427, -45.8569067 -23.210743, -45.8564079 -23.2107636)",,,,
1446671022,1454044940,0,312071903,True,,Avenida dos Astronautas,secondary,False,55.304,0.05933049052419816,0.9971306162135812,"LINESTRING (-45.8569899 -23.2107427, -45.8569819 -23.2104375, -45.8569805 -23.2103828, -45.8569939 -23.210246)",60,,,
1446671027,1446670972,0,772037051,True,,Avenida dos Astronautas,secondary,False,66.198,0.03394598911170289,,"LINESTRING (-45.8656856 -23.1955056, -45.8658229 -23.1949238)",60,,,
1446671028,1446671007,0,312071903,True,,Avenida dos Astronautas,secondary,False,104.46100000000001,0.059846412740138036,,"LINESTRING (-45.8570945 -23.2098454, -45.8571415 -23.209737, -45.85723 -23.2095484, -45.8575321 -23.208997)",60,,,
1446671028,1454006732,0,312091236,True,,,secondary_link,False,34.324999999999996,0.0252389937301497,0.9989240233364324,"LINESTRING (-45.8570945 -23.2098454, -45.857075 -23.2097778, -45.8570638 -23.209742, -45.8570486 -23.2097058, -45.8570352 -23.2096855, -45.8570137 -23.2096621, -45.8569882 -23.2096467, -45.8569483 -23.2096368, -45.8569025 -23.209641)",,,,
1446674016,1446748375,0,312071895,True,,,unclassified,False,48.37700000000001,0.0058022154725745935,0.999865012213159,"LINESTRING (-45.8558953 -23.2227214, -45.8558473 -23.2226931, -45.8558019 -23.2226446, -45.8557707 -23.2225877, -45.8557572 -23.2225252, -45.8557623 -23.2224616, -45.8557856 -23.2224016, -45.8558256 -23.2223495)",,,,circular
1446674017,8167146377,0,132121239,True,,Avenida Doutor Amin Simão,tertiary,False,50.338,0.0033142755047346796,0.9995526113398518,"LINESTRING (-45.8561454 -23.2227145, -45.8561609 -23.2228276, -45.8561946 -23.2230263, -45.8562257 -23.2231609)",60,,,
