u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,bridge,junction
1434833247,1434874912,0,310604881,True,,,Rua Estocolmo,tertiary,,False,21.319,"LINESTRING (-45.8776672 -23.198452, -45.8777952 -23.1984241, -45.8778672 -23.1983989)",0.003131856928321984,0.9998690154923301,,
1434870722,8234382392,0,448345139,False,,,Avenida Samuel Wainer,secondary,60,False,163.484,"LINESTRING (-45.8764127 -23.1960146, -45.8768361 -23.1974324)",0.0016685959802162644,0.9990223426495114,,
1434870722,1434786552,0,249535523,False,,,Avenida Samuel Wainer,secondary,60,True,310.029,"LINESTRING (-45.8764127 -23.1960146, -45.8763965 -23.195958, -45.8763624 -23.195839, -45.8762048 -23.1952817, -45.8761836 -23.1952089, -45.8760662 -23.1948062, -45.8760077 -23.1946001, -45.8759973 -23.1945635, -45.8759402 -23.1943723, -45.8756332 -23.1933201)",0.023057676060038935,,,
1434874889,1434874903,0,390809424,True,,,Rua Roma,secondary,50,False,69.001,"LINESTRING (-45.8778059 -23.1960734, -45.8771321 -23.1960347)",0.0016367284367468159,0.9998074739747708,,
1434874897,2024367569,0,310604879,True,,,Rua Varsóvia,residential,,False,88.743,"LINESTRING (-45.8772352 -23.1964168, -45.8778354 -23.1969935)",1.5083985309590673e-05,0.9999798011879181,,
1434874897,1434874903,0,130191331,False,,,Rua Atenas,residential,,True,43.775000000000006,"LINESTRING (-45.8772352 -23.1964168, -45.8771588 -23.1961336, -45.8771321 -23.1960347)",0.0016363803447781331,0.9999265443670426,,
1434874903,1434874897,0,130191331,False,,,Rua Atenas,residential,,False,43.775000000000006,"LINESTRING (-45.8771321 -23.1960347, -45.8771588 -23.1961336, -45.8772352 -23.1964168)",8.470237904616302e-06,,,
1434874903,1434870722,0,390809424,True,,,Rua Roma,secondary,50,False,73.56099999999999,"LINESTRING (-45.8771321 -23.1960347, -45.8765172 -23.1960175, -45.8764127 -23.1960146)",0.0032632461757456017,,,
1434874912,8227243170,0,310604882,True,,,Rua Estocolmo,tertiary,,False,23.085,"LINESTRING (-45.8778672 -23.1983989, -45.877853 -23.1986061)",1.1138942997851576e-05,0.999966729670957,,
1434874912,4034132023,0,655682829,False,,,Rua Estocolmo,tertiary,,True,42.704,"LINESTRING (-45.8778672 -23.1983989, -45.8781526 -23.1981184)",0.003177801200499581,0.9998625836911658,,
1434875366,8234382392,0,130191562,False,,,Rua Madrid,residential,,False,66.584,"LINESTRING (-45.8774668 -23.1972824, -45.8768361 -23.1974324)",0.006523939677054195,0.9994272163463529,,
1434875366,1434874897,0,310604877,True,,,Praça Londres,residential,,False,99.118,"LINESTRING (-45.8774668 -23.1972824, -45.8772352 -23.1964168)",0.001644386460057839,,,
1434875366,1434877844,0,310604878,False,,,Rua Atenas,residential,,False,38.068,"LINESTRING (-45.8774668 -23.1972824, -45.8775918 -23.1976049)",0.0017992139000394354,0.9995793303341372,,
1434875366,2024367569,0,310604880,False,,,Rua Madrid,residential,,True,49.510999999999996,"LINESTRING (-45.8774668 -23.1972824, -45.8776456 -23.1971408, -45.8778354 -23.1969935)",0.0024644911382746613,0.999869887920728,,
1434875367,8234382392,0,448345139,False,,,Avenida Samuel Wainer,secondary,60,True,2.897,"LINESTRING (-45.8768433 -23.1974576, -45.8768361 -23.1974324)",0.018681185356183037,0.998254520132707,,
1434875367,1434786526,0,249535522,True,,,Avenida Samuel Wainer,secondary,,False,67.124,"LINESTRING (-45.8768433 -23.1974576, -45.8769844 -23.1978329, -45.8770966 -23.1980119)",0.00040103454701178736,,,
1434877823,1434874889,0,130191324,True,,,Rua Berna,residential,,False,75.103,"LINESTRING (-45.8783005 -23.1965729, -45.8778824 -23.1961507, -45.8778059 -23.1960734)",0.0016381208046215474,,,
1434877823,2024367569,0,130192318,False,,,Rua Madrid,residential,,False,66.686,"LINESTRING (-45.8783005 -23.1965729, -45.8782454 -23.1966227, -45.8778749 -23.1969577, -45.8778354 -23.1969935)",8.702299217071544e-06,0.9999140702899612,,
1434877844,4034132023,0,130192321,False,,,Praça Paris,residential,,True,80.904,"LINESTRING (-45.8775918 -23.1976049, -45.8781526 -23.1981184)",0.00016318164722998473,0.9998592045894682,,
1434877844,1434875366,0,310604878,False,,,Rua Atenas,residential,,True,38.068,"LINESTRING (-45.8775918 -23.1976049, -45.8774668 -23.1972824)",0.0049143624138646425,,,
1434877844,3160459076,0,804502183,False,,,Praça Londres,residential,,False,74.714,"LINESTRING (-45.8775918 -23.1976049, -45.8777529 -23.1982603)",0.0008242817818410166,0.9986530548673193,,
1437624926,3192010020,0,130569349,False,,,Rua Itororó,tertiary,,False,102.437,"LINESTRING (-45.8774842 -23.1918875, -45.8783138 -23.1924044)",0.0008242817818410166,0.9987080441127003,,
1437624926,1437641687,0,130569349,False,,,Rua Itororó,tertiary,,True,32.92,"LINESTRING (-45.8774842 -23.1918875, -45.8773547 -23.1918065, -45.8773204 -23.1917851, -45.877241 -23.1917345, -45.8772179 -23.191721)",0.002504092401245149,0.9994923163688101,,
1437624927,1437646780,0,789762332,True,,,Rua Genésia Berardineli Tarantino,secondary,,False,80.563,"LINESTRING (-45.8767407 -23.1913914, -45.8762201 -23.1919354)",0.0145299652397047,0.9993048850425751,,
1437627792,1437624927,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,60,False,10.284,"LINESTRING (-45.8768029 -23.1913187, -45.8767407 -23.1913914)",0.009114858422675804,,,
1437627795,1437646733,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,60,False,8.691,"LINESTRING (-45.8774431 -23.1906404, -45.8773872 -23.1906993)",0.006985762980954623,0.9998594404960532,,
1437627795,2061117162,0,313291504,True,,,Rua Antônio Costa Rosendo,residential,,False,79.612,"LINESTRING (-45.8774431 -23.1906404, -45.8775031 -23.1906751, -45.8775405 -23.1906968, -45.877914 -23.1909191, -45.8779698 -23.1909523, -45.8780977 -23.1910284)",0.0009535233570705535,0.9998706721114377,,
1437627798,1437646728,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,60,False,85.922,"LINESTRING (-45.8780717 -23.1898646, -45.8777435 -23.1903288, -45.8775887 -23.1904954)",0.0008235855979036512,0.998795627229916,,
1437641681,8230948115,0,333874932,False,,,Rua Turmalina,tertiary,,False,8.638,"LINESTRING (-45.8756041 -23.1930902, -45.8755286 -23.1930553)",0.0025470132814938875,0.999906958969645,,
1437641681,8230948114,0,432812124,True,,,Avenida Samuel Wainer,secondary,60,False,10.538,"LINESTRING (-45.8756041 -23.1930902, -45.8755928 -23.1931844)",0.0010630207841364604,0.9999476845603739,,
1437641681,2905769451,0,432812128,False,,,Rua Antônio Porfírio da Silva,tertiary,,True,30.767,"LINESTRING (-45.8756041 -23.1930902, -45.8756465 -23.1931131, -45.8756888 -23.1931359, -45.8758647 -23.1932287)",0.008458147652588817,0.9999118955846017,,
1437641687,1437624926,0,130569349,False,,,Rua Itororó,tertiary,,False,32.92,"LINESTRING (-45.8772179 -23.191721, -45.877241 -23.1917345, -45.8773204 -23.1917851, -45.8773547 -23.1918065, -45.8774842 -23.1918875)",0.0015547461477987891,,,
1437641687,1437624927,0,286900444,True,,,Rua Itororó,tertiary,,False,61.012,"LINESTRING (-45.8772179 -23.191721, -45.8768509 -23.1914687, -45.876786 -23.1914232, -45.8767537 -23.1914001, -45.8767407 -23.1913914)",0.00541649918490363,,,
1437646728,1437627795,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,60,False,21.942,"LINESTRING (-45.8775887 -23.1904954, -45.8774431 -23.1906404)",0.007940678705899908,,,
1437646729,1439285829,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,50,False,45.424,"LINESTRING (-45.8766877 -23.1886429, -45.8771321 -23.1886398)",0.0016639849921780453,0.9999010925448154,,
1437646729,9046828994,0,995327397,True,,,Praça Duque de Caxias,residential,,False,56.131,"LINESTRING (-45.8766877 -23.1886429, -45.8767977 -23.1888416, -45.8769348 -23.1890937)",0.004097232836753711,0.9999424054045305,,
1437646730,1437646728,0,130571647,True,,,Praça Duque de Caxias,residential,,False,103.268,"LINESTRING (-45.877228 -23.1896458, -45.8775753 -23.190308, -45.8776073 -23.1903984, -45.8775989 -23.1904477, -45.8775887 -23.1904954)",0.007118485475870986,,,
1437646731,1437646730,0,130571647,True,,,Praça Duque de Caxias,residential,,False,18.26,"LINESTRING (-45.8771536 -23.1894965, -45.877228 -23.1896458)",0.002972580837555451,,,
1437646731,1437646732,0,995327396,False,,,Praça Duque de Caxias,residential,,True,24.452,"LINESTRING (-45.8771536 -23.1894965, -45.8770447 -23.1893007)",8.528253232730115e-05,0.9997501564699166,,
1437646732,1437646731,0,995327396,False,,,Praça Duque de Caxias,residential,,False,24.452,"LINESTRING (-45.8770447 -23.1893007, -45.8771536 -23.1894965)",0.003059255737757483,,,
1437646732,9046828995,0,130571652,True,,,Praça Carlos Gomes,residential,,False,20.081,"LINESTRING (-45.8770447 -23.1893007, -45.8769782 -23.189248, -45.8769553 -23.1892358, -45.8769308 -23.1892294, -45.8769081 -23.1892285, -45.8768742 -23.1892311)",0.00019020739717313522,0.9998905282118327,,
1437646733,1437627792,0,130569516,True,,,Rua Genésia Berardineli Tarantino,secondary,60,False,91.17299999999999,"LINESTRING (-45.8773872 -23.1906993, -45.877301 -23.1907923, -45.8771944 -23.1909099, -45.8771593 -23.1909488, -45.8771277 -23.1909841, -45.8768525 -23.1912676, -45.8768029 -23.1913187)",0.006948865232274239,,,
1437646733,1437646740,0,130571650,True,,,Praça Duque de Caxias,residential,,False,122.702,"LINESTRING (-45.8773872 -23.1906993, -45.8773555 -23.1906371, -45.8772051 -23.190342, -45.8769034 -23.1897499, -45.876878 -23.1897)",3.55053808056519e-05,0.9998733491606571,,
1437646736,2905769453,0,130571663,True,3,,Avenida Santos Dumont,secondary,50,False,31.795,"LINESTRING (-45.8746809 -23.1905705, -45.8748017 -23.190834)",0.013659208634631178,0.9995994259739549,,
1437646736,2061117155,0,772736755,False,1,,Rua Castro Alves,residential,,True,83.352,"LINESTRING (-45.8746809 -23.1905705, -45.8747789 -23.1905317, -45.875374 -23.1902959, -45.8754298 -23.1902738)",0.0077113944688625615,0.9995097721996531,,
1437646740,1437646730,0,130571649,True,1,,Rua Castro Alves,residential,,False,39.888000000000005,"LINESTRING (-45.876878 -23.1897, -45.8770832 -23.1896063, -45.8771302 -23.1895985, -45.8771773 -23.1896083, -45.877228 -23.1896458)",0.004147297006190269,,,
1437646740,9041604379,0,977054464,False,1,,Rua Castro Alves,residential,,False,76.80000000000001,"LINESTRING (-45.876878 -23.1897, -45.8765142 -23.1898441, -45.8762752 -23.1899455, -45.8762217 -23.1899682, -45.876192 -23.1899816)",0.0008389016445256968,0.9997944838159127,,
1437646756,1437646729,0,130652724,True,,,Avenida Pedro Álvares Cabral,secondary,50,False,31.173,"LINESTRING (-45.8763831 -23.1886288, -45.8766877 -23.1886429)",0.005762610196806488,,,
