u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,name,junction,bridge
1446670972,6193276640,0,772037050,True,2,motorway_link,60,False,85.16,"LINESTRING (-45.8658229 -23.1949238, -45.8659128 -23.1944682, -45.8660153 -23.1941804)",0.0019305019305019305,0.997226763788863,,,
1446670988,1454021673,0,312071903,True,,secondary,60,False,222.525,"LINESTRING (-45.8540288 -23.2182371, -45.8541801 -23.2178618, -45.8542699 -23.2177099, -45.8545876 -23.2172996, -45.8552113 -23.2165742)",0.06556985142276117,0.9936260355290037,Avenida dos Astronautas,,
1446670988,1446748371,0,312135006,True,,secondary_link,60,False,40.15,"LINESTRING (-45.8540288 -23.2182371, -45.8540791 -23.2181952, -45.8541076 -23.2181764, -45.8541706 -23.2181496, -45.8542276 -23.2181493, -45.8542762 -23.2181801, -45.8543399 -23.2182562)",0.02533674874100406,0.9919980280002042,,,
1446670989,1454044981,0,312071903,True,,secondary,60,False,46.913,"LINESTRING (-45.8569489 -23.2140414, -45.8570612 -23.2138016, -45.8570954 -23.2137139, -45.8571112 -23.2136478)",0.00781359984829712,0.9995456180859112,Avenida dos Astronautas,,
1446670989,3178889265,0,312071905,True,,residential,,False,24.064,"LINESTRING (-45.8569489 -23.2140414, -45.8569012 -23.2140587, -45.8568374 -23.2140591, -45.8567784 -23.2140421, -45.85673 -23.2140118)",0.0032552193925407965,0.9997169845602527,Rua Professor Waldemar Ramos,,
1446671002,2143249780,0,132121238,True,,tertiary,60,False,38.96,"LINESTRING (-45.8560897 -23.2230937, -45.8560427 -23.222746)",0.0029144231271890845,0.9997520092925495,Avenida Doutor Amin Simão,,
1446671002,1446674016,0,312071894,True,,tertiary_link,,False,46.416000000000004,"LINESTRING (-45.8560897 -23.2230937, -45.8560436 -23.2230173, -45.8560194 -23.2229217, -45.8559642 -23.222808, -45.8559424 -23.2227763, -45.8558953 -23.2227214)",0.002828540062582616,0.9999195226248093,,,
1446671007,1453987215,0,312071903,True,,secondary,60,False,130.267,"LINESTRING (-45.8575321 -23.208997, -45.8581212 -23.2082652, -45.8582902 -23.2080552)",0.16077250336433233,0.9964667396552772,Avenida dos Astronautas,,
1446671010,4453703041,0,448342048,True,,secondary,60,False,41.732,"LINESTRING (-45.8639063 -23.2000514, -45.8640778 -23.1997108)",0.0029700604168689275,0.9998401252490251,Avenida dos Astronautas,,
1446671010,4453703042,0,885507245,True,,residential,,False,52.384,"LINESTRING (-45.8639063 -23.2000514, -45.8639072 -23.1997227, -45.8639296 -23.1995818)",0.005362775043626107,0.9995175260837302,Rua Raul Franco Martins,,
