u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,junction,bridge
1453977301,1453977242,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,True,61.217,"LINESTRING (-45.8596371 -23.2036041, -45.859968 -23.204063)",0.0199960190932445,,,
1453977301,1453969592,0,132214751,False,Rua Orlando Saes,residential,,False,251.717,"LINESTRING (-45.8596371 -23.2036041, -45.8597822 -23.2035123, -45.8598116 -23.2034751, -45.8598167 -23.2034297, -45.8597717 -23.2033184, -45.8593685 -23.2024817, -45.8591013 -23.2021353, -45.8587385 -23.2016957)",0.009587573468369776,,,
1453977303,1453977304,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,False,93.216,"LINESTRING (-45.8587901 -23.2025477, -45.8582457 -23.2018751)",0.011712248267929303,0.9982809749306889,,
1453977303,1453977301,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,True,145.917,"LINESTRING (-45.8587901 -23.2025477, -45.8596371 -23.2036041)",0.010917884229204011,,,
1453977303,1453977291,0,132114040,False,Rua Fênix,residential,,False,55.659,"LINESTRING (-45.8587901 -23.2025477, -45.8583367 -23.202825)",0.007843549632898838,,,
1453977304,1453977306,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,False,77.401,"LINESTRING (-45.8582457 -23.2018751, -45.8578124 -23.2013042)",0.013025712680880893,0.9980782831575324,,
1453977304,1453977303,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,True,93.216,"LINESTRING (-45.8582457 -23.2018751, -45.8587901 -23.2025477)",0.011970287287795598,,,
1453977304,8163558861,0,132114037,False,Rua Enoque L Silva,residential,,True,52.094,"LINESTRING (-45.8582457 -23.2018751, -45.8586582 -23.2015999)",0.002986052598090898,0.9994181492922708,,
1453977306,1453977308,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,False,123.345,"LINESTRING (-45.8578124 -23.2013042, -45.8571012 -23.200408)",0.005993187402459278,0.9991032910405151,,
1453977306,1453977304,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,True,77.401,"LINESTRING (-45.8578124 -23.2013042, -45.8582457 -23.2018751)",0.012814566697575209,,,
1453977306,1453977295,0,132114038,False,Rua José Alves Moreira,residential,,False,64.13999999999999,"LINESTRING (-45.8578124 -23.2013042, -45.8575887 -23.2013292, -45.857378 -23.2013859, -45.8572117 -23.2014554)",0.004846361993622558,,,
1453977306,8167145023,0,132114038,False,Rua José Alves Moreira,residential,,True,49.226,"LINESTRING (-45.8578124 -23.2013042, -45.8580049 -23.2013096, -45.8581497 -23.201336, -45.8582849 -23.2013742)",0.001186490838727464,0.9997221812344153,,
1453977308,1453977329,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,False,54.402,"LINESTRING (-45.8571012 -23.200408, -45.8567843 -23.2000149)",0.0021139722632259944,0.9964294238333992,,
1453977308,1453977306,0,132114033,False,Rua Madre Maria Gema de Jesus,residential,,True,123.345,"LINESTRING (-45.8571012 -23.200408, -45.8578124 -23.2013042)",0.006753753581976305,,,
1453977308,1453977296,0,448346524,False,Rua Orlando Saes,residential,,False,64.064,"LINESTRING (-45.8571012 -23.200408, -45.8569839 -23.2004277, -45.8568967 -23.2004597, -45.8567955 -23.2005097, -45.8567079 -23.2005729, -45.856577 -23.2006962)",0.004284281555205375,,,
1453977308,8167145022,0,448346524,False,Rua Orlando Saes,residential,,True,169.936,"LINESTRING (-45.8571012 -23.200408, -45.8572701 -23.2004094, -45.8575344 -23.2004345, -45.8576473 -23.200479, -45.8577497 -23.2005423, -45.8579198 -23.2006889, -45.8583722 -23.2012372)",0.0014441184294168524,0.999706345810697,,
1453977314,8167145022,0,448346524,False,Rua Orlando Saes,residential,,False,38.832,"LINESTRING (-45.8585927 -23.2015216, -45.8583722 -23.2012372)",0.0031854927141068824,0.9996889587166716,,
1453977314,8163558861,0,448346525,False,Rua Orlando Saes,residential,,True,10.983,"LINESTRING (-45.8585927 -23.2015216, -45.8586582 -23.2015999)",0.005468319707262242,0.9990811549156186,,
1453977314,8167145023,0,132114038,False,Rua José Alves Moreira,residential,,False,35.532,"LINESTRING (-45.8585927 -23.2015216, -45.8583998 -23.2014192, -45.8582849 -23.2013742)",0.0010592305656054461,0.9998386523074311,,
1453977323,2061127781,0,664316342,False,Rua Hermino José Friggi,residential,,False,50.818,"LINESTRING (-45.8521257 -23.2045148, -45.8524548 -23.2048574)",0.0033547619103546124,0.9995414690022882,,
1453977323,1453987200,0,664316342,False,Rua Hermino José Friggi,residential,,True,44.557,"LINESTRING (-45.8521257 -23.2045148, -45.8518151 -23.2042336)",0.0021139722632259944,0.9966436089817308,,
1453977323,2061127780,0,670135220,False,Rua Orlando Saes,residential,,True,135.046,"LINESTRING (-45.8521257 -23.2045148, -45.8531043 -23.2036987)",0.0013279072601464683,0.9995477898247513,,
