u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ebc,vulnerability,junction,bridge
1446674033,1446674020,0,"[132234536, 448343875]",True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,10.091999999999999,"LINESTRING (-45.8604317 -23.2238122, -45.8604285 -23.2237897, -45.8604322 -23.2237673, -45.8604425 -23.2237467, -45.8604587 -23.2237295)",2.1810250817884406e-05,,roundabout,
1446674039,7808956271,0,312071892,True,,Avenida Brigadeiro Faria Lima,tertiary,60,False,133.724,"LINESTRING (-45.8558943 -23.2220035, -45.8558271 -23.2218338, -45.8552864 -23.2209407)",0.029520174482006542,0.9994801383131441,,
1446748353,3178886355,0,132120724,True,,Estrada Municipal Glaudistom P de Oliveira,secondary,,False,28.939999999999998,"LINESTRING (-45.8540412 -23.218797, -45.8539567 -23.2187587, -45.8538765 -23.2187224, -45.8537872 -23.2186819)",0.03423169335880468,0.9999425545444526,,
1446748353,1446670988,0,312071903,True,,Avenida dos Astronautas,secondary,60,False,62.684,"LINESTRING (-45.8540412 -23.218797, -45.8540229 -23.2187171, -45.8540063 -23.2185718, -45.8540107 -23.218366, -45.8540161 -23.2183007, -45.8540288 -23.2182371)",0.04107314020293887,,,
1446748354,1446748353,0,131460628,True,,,secondary_link,60,False,47.318,"LINESTRING (-45.8543345 -23.2185508, -45.8542678 -23.2187313, -45.8542306 -23.218768, -45.8542011 -23.2187908, -45.8541568 -23.2188013, -45.8541069 -23.2188053, -45.8540774 -23.2188047, -45.8540412 -23.218797)",0.053110479993344166,,,
1446748354,3178886345,0,312071893,True,,Avenida Brigadeiro Faria Lima,tertiary,60,False,230.83599999999998,"LINESTRING (-45.8543345 -23.2185508, -45.8543412 -23.2187417, -45.8543199 -23.2189354, -45.8543278 -23.2190869, -45.854373 -23.219231, -45.8544372 -23.2193522, -45.8551065 -23.2204448)",0.036561250454380224,0.9952348982529496,,
1446748371,1446748354,0,472739642,True,,Avenida dos Astronautas,secondary,60,False,32.785,"LINESTRING (-45.8543399 -23.2182562, -45.8543426 -23.2184275, -45.8543345 -23.2185508)",0.08965719028051246,,,
1446748375,1446674039,0,312071891,True,,,tertiary_link,,False,39.298,"LINESTRING (-45.8558256 -23.2223495, -45.8558619 -23.2222359, -45.8558868 -23.2221294, -45.8558943 -23.2220035)",0.006463104325699746,,,
1446748375,3178886311,0,877791480,True,,,residential,,False,18.209,"LINESTRING (-45.8558256 -23.2223495, -45.8558707 -23.2223141, -45.8559236 -23.2222891, -45.8559812 -23.2222758)",9.087604507451835e-05,0.9998287762568876,circular,
1446748386,1446674020,0,312071889,True,2,Rua Doutora Tânia Lis Tizzoni Nogueira,unclassified,60,False,460.52500000000003,"LINESTRING (-45.8562105 -23.2223571, -45.8567545 -23.2225915, -45.8569069 -23.2226352, -45.8601819 -23.2236463, -45.8604088 -23.2237109, -45.8604587 -23.2237295)",0.00747364594692839,,,
1446748386,1446674017,0,448352067,True,,,unclassified,,False,45.724,"LINESTRING (-45.8562105 -23.2223571, -45.8562501 -23.2224152, -45.85627 -23.2224812, -45.8562685 -23.2225498, -45.8562457 -23.222615, -45.8562034 -23.2226715, -45.8561454 -23.2227145)",0.0018793166121410397,,circular,
1453950122,1454899416,0,885743517,False,,Rua Teodomiro Costa,residential,,False,48.334,"LINESTRING (-45.8642372 -23.1948681, -45.8642615 -23.1953022)",0.001915667030170847,0.9994492067057691,,
1453950122,1453960044,0,132112940,False,,Rua José Martins Xavier,residential,,False,143.519,"LINESTRING (-45.8642372 -23.1948681, -45.8638344 -23.1959486, -45.863782 -23.1960891)",0.0022840179328728985,0.9996840499944898,,
1453950123,1454899412,0,132110340,False,,Praça Benedito Ugolino da Silva Guerra,residential,,True,45.647,"LINESTRING (-45.864265 -23.1958164, -45.8644229 -23.1954324)",0.0014139879870523273,0.9999017272385453,,
1453950123,1453957511,0,132112831,False,,Praça Benedito Ugolino Silva Guerra,residential,,True,69.515,"LINESTRING (-45.864265 -23.1958164, -45.8649342 -23.1959281)",0.002022130480691004,0.9999138318166789,,
1453950123,1453950300,0,885743516,False,,Rua Teodomiro Costa,residential,,False,174.952,"LINESTRING (-45.864265 -23.1958164, -45.8639127 -23.1973561)",0.004124837721348081,0.9996425046203883,,
1453950123,1454899416,0,448342045,True,,Rua Teodomiro Costa,residential,,False,57.18,"LINESTRING (-45.864265 -23.1958164, -45.864261 -23.1955947, -45.8642615 -23.1953022)",0.005925723979159146,0.9995924573820458,,
1453950289,1453957511,0,132110338,False,,Rua Raul Franco Martins,residential,,False,171.431,"LINESTRING (-45.8649731 -23.1943868, -45.8649342 -23.1959281)",0.0032420158903255967,0.9996446990832116,,
1453950289,1454899412,0,132110340,False,,Praça Benedito Ugolino da Silva Guerra,residential,,False,129.151,"LINESTRING (-45.8649731 -23.1943868, -45.8644229 -23.1954324)",0.00048147859652766963,0.9999089079204891,,
1453950293,4453703042,0,132214755,False,,Rua Raul Franco Martins,residential,,False,85.06,"LINESTRING (-45.8639126 -23.198817, -45.8639296 -23.1995818)",0.007560886950199928,0.9973230547608467,,
1453950293,1453961350,0,132216058,False,,Rua Raul Franco Martins,residential,,True,28.997,"LINESTRING (-45.8639126 -23.198817, -45.8640501 -23.1985889)",0.04138495092693566,0.9491862018914333,,
1453950293,1453969481,0,132113592,False,,Rua Avião Brasília,residential,,False,166.38,"LINESTRING (-45.8639126 -23.198817, -45.8637972 -23.199014, -45.8633106 -23.1995452, -45.8630825 -23.1999738, -45.863017 -23.2000549)",0.04883381800557373,0.9914235167193906,,
1453950300,1453958821,0,132112834,False,,Rua Edésio José de Melo,residential,,False,59.782,"LINESTRING (-45.8639127 -23.1973561, -45.8633836 -23.1971269)",0.013089750913087837,0.9984143762286987,,
1453950300,1453957515,0,132112834,False,,Rua Edésio José de Melo,residential,,True,131.326,"LINESTRING (-45.8639127 -23.1973561, -45.8648213 -23.196521)",0.010536004223572383,0.9998715683743832,,
1453950300,1453957518,0,132214760,False,,Rua Teodomiro Costa,residential,,False,117.254,"LINESTRING (-45.8639127 -23.1973561, -45.8634198 -23.1983083)",0.010603685239999307,0.9997455986968616,,
1453950300,1453950123,0,885743516,False,,Rua Teodomiro Costa,residential,,True,174.952,"LINESTRING (-45.8639127 -23.1973561, -45.864265 -23.1958164)",0.006164702013120716,,,
1453957511,1453957515,0,132110338,False,,Rua Raul Franco Martins,residential,,False,66.93,"LINESTRING (-45.8649342 -23.1959281, -45.8648213 -23.196521)",0.0070257741773554205,0.9993057146087566,,
1453957511,1453950289,0,132110338,False,,Rua Raul Franco Martins,residential,,True,171.431,"LINESTRING (-45.8649342 -23.1959281, -45.8649731 -23.1943868)",0.002293754651988022,,,
1453957511,1453950123,0,132112831,False,,Praça Benedito Ugolino Silva Guerra,residential,,False,69.515,"LINESTRING (-45.8649342 -23.1959281, -45.864265 -23.1958164)",0.0030503626386941276,,,
1453957515,1453957511,0,132110338,False,,Rua Raul Franco Martins,residential,,True,66.93,"LINESTRING (-45.8648213 -23.196521, -45.8649342 -23.1959281)",0.007091204929809137,,,
1453957515,1453950300,0,132112834,False,,Rua Edésio José de Melo,residential,,False,131.326,"LINESTRING (-45.8648213 -23.196521, -45.8639127 -23.1973561)",0.010391329559813787,,,
1453957515,1453961350,0,132216058,False,,Rua Raul Franco Martins,residential,,False,244.888,"LINESTRING (-45.8648213 -23.196521, -45.8645638 -23.1976239, -45.8640501 -23.1985889)",0.0192521593879282,0.99893023965992,,
