u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,ebc,vulnerability,maxspeed,bridge,junction
1434833258,1434833269,0,448350600,True,3,,Avenida Deputado Benedito Matarazzo,primary,False,63.59,"LINESTRING (-45.8784114 -23.1990588, -45.878878 -23.1994371)",0.001509991684963306,0.9977012892267665,60,,
1434833269,1434833274,0,448350600,True,3,,Avenida Deputado Benedito Matarazzo,primary,False,60.045,"LINESTRING (-45.878878 -23.1994371, -45.8792915 -23.1998207)",0.0007555889264113322,0.9988696110400108,60,,
1434870721,1434874889,0,390809424,True,,,Rua Roma,secondary,False,99.576,"LINESTRING (-45.8787782 -23.1961302, -45.8778059 -23.1960734)",0.0007555889264113322,0.9987082872931043,50,,
1434870722,8234382392,0,448345139,False,,,Avenida Samuel Wainer,secondary,False,163.484,"LINESTRING (-45.8764127 -23.1960146, -45.8768361 -23.1974324)",0.0025773132107446387,0.9989254021967474,60,,
1434870722,1434786552,0,249535523,False,,,Avenida Samuel Wainer,secondary,True,310.029,"LINESTRING (-45.8764127 -23.1960146, -45.8763965 -23.195958, -45.8763624 -23.195839, -45.8762048 -23.1952817, -45.8761836 -23.1952089, -45.8760662 -23.1948062, -45.8760077 -23.1946001, -45.8759973 -23.1945635, -45.8759402 -23.1943723, -45.8756332 -23.1933201)",0.028191269632890602,,60,,
1434874889,1434874903,0,390809424,True,,,Rua Roma,secondary,False,69.001,"LINESTRING (-45.8778059 -23.1960734, -45.8771321 -23.1960347)",0.003366047842894439,0.9996724480269524,50,,
1434874897,2024367569,0,310604879,True,,,Rua Varsóvia,residential,False,88.743,"LINESTRING (-45.8772352 -23.1964168, -45.8778354 -23.1969935)",3.914353935882883e-05,0.9999675106112045,,,
1434874897,1434874903,0,130191331,False,,,Rua Atenas,residential,True,43.775000000000006,"LINESTRING (-45.8772352 -23.1964168, -45.8771588 -23.1961336, -45.8771321 -23.1960347)",0.0014919026251080895,0.9999233202255021,,,
1434874903,1434874897,0,130191331,False,,,Rua Atenas,residential,False,43.775000000000006,"LINESTRING (-45.8771321 -23.1960347, -45.8771588 -23.1961336, -45.8772352 -23.1964168)",2.9654196483961233e-05,,,,
1434874903,1434870722,0,390809424,True,,,Rua Roma,secondary,False,73.56099999999999,"LINESTRING (-45.8771321 -23.1960347, -45.8765172 -23.1960175, -45.8764127 -23.1960146)",0.0048306686072372845,,50,,
1434874912,8227243170,0,310604882,True,,,Rua Estocolmo,tertiary,False,23.085,"LINESTRING (-45.8778672 -23.1983989, -45.877853 -23.1986061)",1.0972052699065656e-05,0.9999683452010093,,,
