osmid,y,x,street_count,dc,cc,nbc,vulnerability,com,highway,ref,geometry
1454044982,-23.2137576,-45.8547733,3,0.00923076923076923,0.05258617539394016,0.0,0.9998712146396274,0.021176319722567973,,,POINT (-45.8547733 -23.2137576)
1454044989,-23.2122034,-45.8570548,3,0.006153846153846154,0.052911209443268124,0.005454658719774927,0.9993209869330052,0.041334706069970244,,,POINT (-45.8570548 -23.2122034)
1454044991,-23.2122635,-45.8555472,3,0.00923076923076923,0.05605733130049903,0.04071424802036427,0.9943846241920354,0.03867718127421591,,,POINT (-45.8555472 -23.2122635)
1454045008,-23.2122748,-45.8553104,3,0.00923076923076923,0.054188438165480704,0.0036405958231251583,0.9993042182325544,0.030055217796792398,,,POINT (-45.8553104 -23.2122748)
1454045031,-23.2112148,-45.85539,3,0.00923076923076923,0.05724695634281011,0.040523688109465335,0.9942993713694543,0.039381472768841984,,,POINT (-45.85539 -23.2112148)
1454047338,-23.2117146,-45.8445979,3,0.006153846153846154,0.053342025206431984,0.326517598990635,0.9455005836568041,0.029527136322903994,,,POINT (-45.8445979 -23.2117146)
1454047376,-23.2126211,-45.8433694,3,0.004615384615384615,0.04522255514436961,0.15420872142751954,0.9967287985327433,0.029348923895546348,,,POINT (-45.8433694 -23.2126211)
1454047425,-23.2124044,-45.8438039,3,0.006153846153846154,0.041959650701562996,0.18320481008462555,0.9510824636425379,0.030011197343094285,,,POINT (-45.8438039 -23.2124044)
1454052675,-23.2127277,-45.8435389,3,0.004615384615384615,0.04920482950525869,0.18386985895460486,0.9931294172336521,0.03110064172828544,,,POINT (-45.8435389 -23.2127277)
1454052681,-23.2129258,-45.8435948,3,0.006153846153846154,0.04929928706017165,0.17797965499660412,0.9925178961520769,0.0321883895967199,,,POINT (-45.8435948 -23.2129258)
1454052692,-23.212761,-45.8434583,3,0.004615384615384615,0.04886032080552628,0.08595574670150948,0.9995737221860137,0.031212108847600468,,,POINT (-45.8434583 -23.212761)
1454052710,-23.2139327,-45.8441808,3,0.006153846153846154,0.043836174749734766,0.011213694027253338,0.9988621567299903,0.03231936561969618,,,POINT (-45.8441808 -23.2139327)
1454052711,-23.214108,-45.8442696,3,0.004615384615384615,0.042020067765208155,0.0056731065544624905,0.9998062255349938,0.031236885323571266,,,POINT (-45.8442696 -23.214108)
1454052712,-23.2141586,-45.8442871,3,0.004615384615384615,0.04032817935833011,0.005649401446011619,1.000152119454591,0.03111816749652842,,,POINT (-45.8442871 -23.2141586)
1454052716,-23.214463,-45.844248,3,0.006153846153846154,0.03919085675647756,0.001600019566121252,1.0002174296980413,0.03160955660768903,,,POINT (-45.844248 -23.214463)
1454052731,-23.214113,-45.8442183,3,0.004615384615384615,0.03789991826355463,0.002844526471645115,1.0001678295972662,0.031374901509938075,,,POINT (-45.8442183 -23.214113)
1454052732,-23.2141227,-45.8442099,3,0.004615384615384615,0.03939042980456564,0.002868231580095987,1.0003035821178246,0.03196504941584697,,,POINT (-45.8442099 -23.2141227)
1454052733,-23.2141769,-45.8442263,3,0.004615384615384615,0.03747517017187808,0.0032574732235749184,1.0003394814207316,0.03194790791546756,,,POINT (-45.8442263 -23.2141769)
1454052750,-23.2142172,-45.8440351,3,0.006153846153846154,0.040984654668663606,0.006465651109718905,0.9999047226100685,0.0346571165197146,,,POINT (-45.8440351 -23.2142172)
