u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,tunnel,width,access,junction,est_width
597283,445043546,0,37916481,True,,Rua da Figueira,residential,20,False,78.114,"LINESTRING (-46.6252641 -23.5533268, -46.625198 -23.5531056, -46.6250992 -23.5526412)",,,,,,,
597283,25871833,0,1080789231,True,3,Avenida do Estado,primary,50,False,123.645,"LINESTRING (-46.6252641 -23.5533268, -46.6253476 -23.5531568, -46.6254012 -23.553051, -46.6254468 -23.5529601, -46.6254938 -23.5528494, -46.625526 -23.5527609, -46.6255604 -23.5526485, -46.6255814 -23.5525341, -46.6256216 -23.5522727)",,,,,,,
597426,2934921749,0,"[944018225, 1133010477]",True,4,Avenida Cruzeiro do Sul,primary,50,False,108.74000000000001,"LINESTRING (-46.6253024 -23.5252524, -46.6252799 -23.5246174, -46.6252735 -23.5243403, -46.6252716 -23.5242749)",,,,,,,
597434,25778137,0,945246227,True,3,Avenida Presidente Castelo Branco,trunk,60,False,37.104,"LINESTRING (-46.6129726 -23.5230076, -46.6126896 -23.5232174)",,,,,,,
597434,2350164848,0,226165403,True,2,,trunk_link,60,False,179.85499999999996,"LINESTRING (-46.6129726 -23.5230076, -46.612808 -23.523068, -46.6125541 -23.5231922, -46.6123322 -23.5233053, -46.6120479 -23.5234332, -46.6115701 -23.5236038, -46.6113545 -23.5236097)",,,,,,,
597437,452092033,0,"[605958857, 38306052]",True,2,Rua Joaquim Carlos,tertiary,"['40', '50']",False,91.459,"LINESTRING (-46.6086344 -23.5241424, -46.6085934 -23.5242265, -46.6084329 -23.5245489, -46.6082876 -23.5249005)",,,,,,,
597437,452095832,0,945246221,True,3,Avenida Presidente Castelo Branco,trunk,60,False,180.11299999999997,"LINESTRING (-46.6086344 -23.5241424, -46.6082522 -23.5241035, -46.6078209 -23.5240366, -46.607376 -23.5239448, -46.6072112 -23.5239086, -46.6070105 -23.523866, -46.606901 -23.5238399)",,,,,,,
20944547,457051435,0,15807950,True,3,Avenida General Olímpio da Silveira,primary,50,False,115.88600000000001,"LINESTRING (-46.6587483 -23.5321244, -46.6587237 -23.5321312, -46.6586647 -23.5321514, -46.658622 -23.532172, -46.6585568 -23.5322036, -46.6582076 -23.5324, -46.6578428 -23.5326087, -46.6577695 -23.5326506)",,,,,,,
20944547,457051355,0,426403447,True,2,Rua Conselheiro Brotero,residential,,False,162.13,"LINESTRING (-46.6587483 -23.5321244, -46.6587522 -23.5321377, -46.6587801 -23.5322002, -46.6588178 -23.532274, -46.6594021 -23.5334533)",,,,,,,
20944548,453215766,0,421540365,False,,Rua Doutor Cândido Espinheira,residential,,True,114.787,"LINESTRING (-46.6601022 -23.534842, -46.6601839 -23.5348047, -46.661008 -23.5344279, -46.6611098 -23.5343813)",,,,,,,
20944548,457051432,0,426403442,False,,Alameda Barros,residential,,False,97.42,"LINESTRING (-46.6601022 -23.534842, -46.6600105 -23.534884, -46.6593688 -23.5351774, -46.6592466 -23.5352322)",,,,,,,
20944548,396152231,0,426403447,True,2,Rua Conselheiro Brotero,residential,,False,164.21599999999998,"LINESTRING (-46.6601022 -23.534842, -46.6601414 -23.5349187, -46.6601529 -23.5349412, -46.6607852 -23.5361795)",,,,,,,
20944550,1997444090,0,27238811,True,,Rua Barão de Tatuí,residential,,False,120.212,"LINESTRING (-46.6535506 -23.5372021, -46.6535859 -23.5372981, -46.6536037 -23.5373522, -46.6538773 -23.5381846, -46.6538943 -23.5382362)",,,,,,,
20944550,457551668,0,230629156,True,2,Alameda Barros,tertiary,,False,242.181,"LINESTRING (-46.6535506 -23.5372021, -46.6534786 -23.5372477, -46.6534645 -23.5372587, -46.6526398 -23.5379005, -46.6518463 -23.538521, -46.651736 -23.5386072)",,,,,,,
20944551,20944552,0,8307075,False,,Rua Fortunato,residential,,False,164.142,"LINESTRING (-46.6513228 -23.538894, -46.6513463 -23.5389693, -46.6517558 -23.5402497, -46.6517752 -23.5403107)",,,,,,,
