osmid,y,x,street_count,com,highway,ref,geometry
60641088,-23.5514227,-46.6353811,3,0.010299495455217446,traffic_signals,,POINT (-46.6353811 -23.5514227)
60641089,-23.5451434,-46.6336403,3,0.007023030417466051,traffic_signals,,POINT (-46.6336403 -23.5451434)
60641100,-23.5486338,-46.6322968,3,0.007438929108206655,,,POINT (-46.6322968 -23.5486338)
60641101,-23.549387,-46.6320901,4,0.010057516727812322,traffic_signals,,POINT (-46.6320901 -23.549387)
60641102,-23.5494719,-46.6328143,3,0.00689427211358752,,,POINT (-46.6328143 -23.5494719)
60641149,-23.5546563,-46.6356661,3,0.00910157250599666,traffic_signals,,POINT (-46.6356661 -23.5546563)
60641181,-23.5554251,-46.6360307,3,0.009923318026747528,traffic_signals,,POINT (-46.6360307 -23.5554251)
60641188,-23.5593063,-46.6376933,4,0.011885011532288279,traffic_signals,,POINT (-46.6376933 -23.5593063)
60641197,-23.5582085,-46.6391654,4,0.01155243940505056,,,POINT (-46.6391654 -23.5582085)
60641199,-23.5593312,-46.6401017,3,0.009893460087868839,,,POINT (-46.6401017 -23.5593312)
60641200,-23.5588189,-46.6408305,4,0.013364702507145722,,,POINT (-46.6408305 -23.5588189)
60641201,-23.5577021,-46.6398507,3,0.009517072211790092,,,POINT (-46.6398507 -23.5577021)
60641204,-23.5597368,-46.6395684,3,0.008342619507434007,,,POINT (-46.6395684 -23.5597368)
60641211,-23.550842,-46.634488,3,0.00876147058766129,traffic_signals,,POINT (-46.634488 -23.550842)
60641252,-23.5495688,-46.636659,3,0.007994933203718132,traffic_signals,,POINT (-46.636659 -23.5495688)
60641257,-23.5494279,-46.6374572,3,0.0074517059937371346,,,POINT (-46.6374572 -23.5494279)
60641282,-23.5501329,-46.6365356,3,0.009279837297179065,,,POINT (-46.6365356 -23.5501329)
60641305,-23.552893,-46.6355562,3,0.009886957037443724,,,POINT (-46.6355562 -23.552893)
60641326,-23.5554524,-46.6359047,4,0.012557216404533101,traffic_signals,,POINT (-46.6359047 -23.5554524)
60641336,-23.5567191,-46.6362791,3,0.010910916052528476,traffic_signals,A-230,POINT (-46.6362791 -23.5567191)
60641341,-23.5572532,-46.6364403,4,0.01327266002483051,traffic_signals,,POINT (-46.6364403 -23.5572532)
60641359,-23.5529895,-46.6331555,3,0.008271021554209631,,,POINT (-46.6331555 -23.5529895)
60641364,-23.5524714,-46.6332336,3,0.0083167199991374,,,POINT (-46.6332336 -23.5524714)
60641382,-23.5555339,-46.6342403,4,0.012019488165334049,traffic_signals,,POINT (-46.6342403 -23.5555339)
60641387,-23.555491,-46.6352632,4,0.011522229677590643,traffic_signals,,POINT (-46.6352632 -23.555491)
60641411,-23.5554703,-46.6331061,4,0.012592764870182615,traffic_signals,,POINT (-46.6331061 -23.5554703)
60641414,-23.5534514,-46.6332639,3,0.007758839754364482,traffic_signals,,POINT (-46.6332639 -23.5534514)
60641427,-23.5571857,-46.6351386,4,0.014569306674480843,traffic_signals,,POINT (-46.6351386 -23.5571857)
60641430,-23.5577713,-46.635098,3,0.01116929354033422,,,POINT (-46.635098 -23.5577713)
60641438,-23.5571091,-46.6341192,4,0.015736727271292123,traffic_signals,,POINT (-46.6341192 -23.5571091)
60641444,-23.5570412,-46.6330029,4,0.01503489114840431,traffic_signals,,POINT (-46.6330029 -23.5570412)
60641488,-23.5459273,-46.6387668,4,0.009188523687056457,traffic_signals,,POINT (-46.6387668 -23.5459273)
60641511,-23.5450802,-46.6380773,3,0.0065043288800521485,,,POINT (-46.6380773 -23.5450802)
60641571,-23.5446995,-46.6386448,3,0.007306292352414443,,,POINT (-46.6386448 -23.5446995)
60641664,-23.547423,-46.6397608,3,0.0054780827241508,traffic_signals,,POINT (-46.6397608 -23.547423)
60685349,-23.5505721,-46.6343559,3,0.007788759336590194,,,POINT (-46.6343559 -23.5505721)
60685350,-23.5511695,-46.6340198,3,0.007819521853934292,,,POINT (-46.6340198 -23.5511695)
60685352,-23.5525158,-46.630443,3,0.008182717739474231,traffic_signals,,POINT (-46.630443 -23.5525158)
60685357,-23.5537481,-46.6319924,3,0.007618206964324315,,,POINT (-46.6319924 -23.5537481)
60685358,-23.5539581,-46.6311399,3,0.006914222851278488,,,POINT (-46.6311399 -23.5539581)
60685360,-23.5534267,-46.6309942,3,0.005440885637865053,,,POINT (-46.6309942 -23.5534267)
60685363,-23.5533244,-46.6313901,1,0.0022619335801457134,,,POINT (-46.6313901 -23.5533244)
60685365,-23.5553904,-46.6319876,4,0.01188470935729886,,,POINT (-46.6319876 -23.5553904)
60685366,-23.5553236,-46.6310913,4,0.009111189432902428,,,POINT (-46.6310913 -23.5553236)
60685367,-23.5560866,-46.6319979,3,0.008910348914058097,,,POINT (-46.6319979 -23.5560866)
60685368,-23.5559736,-46.6330693,3,0.009427900229053345,traffic_signals,,POINT (-46.6330693 -23.5559736)
60685370,-23.5569787,-46.6319891,4,0.01219503472695544,,,POINT (-46.6319891 -23.5569787)
60685373,-23.5561013,-46.630753,3,0.0075098908410596655,,,POINT (-46.630753 -23.5561013)
60685374,-23.5553045,-46.6308289,3,0.007929921052763826,,,POINT (-46.6308289 -23.5553045)
60685376,-23.5541514,-46.6303592,3,0.007140618622012239,,,POINT (-46.6303592 -23.5541514)
60685377,-23.5536287,-46.6302011,3,0.005478427977245781,,,POINT (-46.6302011 -23.5536287)
60685384,-23.5492637,-46.6310381,3,0.008482012828352503,,,POINT (-46.6310381 -23.5492637)
60685387,-23.5483839,-46.6331697,3,0.006616920862178556,,,POINT (-46.6331697 -23.5483839)
60685391,-23.5497736,-46.6307917,3,0.008925375459429634,traffic_signals,,POINT (-46.6307917 -23.5497736)
60685397,-23.5482349,-46.638363,3,0.007362504172729684,,,POINT (-46.638363 -23.5482349)
60685402,-23.54701,-46.6379608,3,0.007089472245381581,,,POINT (-46.6379608 -23.54701)
60685404,-23.5470445,-46.6381737,3,0.007099873364890344,,,POINT (-46.6381737 -23.5470445)
60685409,-23.549039,-46.640862,3,0.009343746207117998,,,POINT (-46.640862 -23.549039)
60685428,-23.5474587,-46.6380116,3,0.007384800167010173,,,POINT (-46.6380116 -23.5474587)
60685429,-23.5488779,-46.6377087,3,0.007333793557177166,,,POINT (-46.6377087 -23.5488779)
60685431,-23.5477248,-46.6369703,3,0.007365120719643079,,,POINT (-46.6369703 -23.5477248)
60685446,-23.5491038,-46.6379772,3,0.007348756872568294,,,POINT (-46.6379772 -23.5491038)
60685465,-23.5485877,-46.6386352,3,0.007546758197750523,,,POINT (-46.6386352 -23.5485877)
60685472,-23.548471,-46.6390938,3,0.0069415395537468045,,,POINT (-46.6390938 -23.548471)
60685476,-23.5484984,-46.6403711,4,0.014356276833738524,traffic_signals,,POINT (-46.6403711 -23.5484984)
60685613,-23.5448939,-46.6387906,3,0.008118700171485855,,,POINT (-46.6387906 -23.5448939)
60685619,-23.5423589,-46.6402358,4,0.012262421933892272,traffic_signals,,POINT (-46.6402358 -23.5423589)
60685620,-23.5422929,-46.6403522,4,0.013187669779150852,traffic_signals,,POINT (-46.6403522 -23.5422929)
60685622,-23.5427306,-46.6383847,3,0.010027074459026218,,,POINT (-46.6383847 -23.5427306)
60685624,-23.5424634,-46.6379555,4,0.01754833421233024,traffic_signals,,POINT (-46.6379555 -23.5424634)
60685633,-23.5417084,-46.6367287,5,0.021116797312374435,traffic_signals,,POINT (-46.6367287 -23.5417084)
60685635,-23.5408823,-46.636466,3,0.013989660614056243,traffic_signals,,POINT (-46.636466 -23.5408823)
60685636,-23.5399767,-46.6362899,4,0.015183741307196809,,,POINT (-46.6362899 -23.5399767)
60685647,-23.5404993,-46.6376895,4,0.019633606147823442,traffic_signals,,POINT (-46.6376895 -23.5404993)
60685648,-23.5403957,-46.6377642,4,0.019157050648332993,traffic_signals,,POINT (-46.6377642 -23.5403957)
60685649,-23.5396931,-46.6382755,4,0.0193094348147763,traffic_signals,,POINT (-46.6382755 -23.5396931)
60685651,-23.5398622,-46.6367038,4,0.017337004552727613,traffic_signals,,POINT (-46.6367038 -23.5398622)
60685686,-23.5395181,-46.6363332,3,0.01221471543512965,,,POINT (-46.6363332 -23.5395181)
60685693,-23.541116,-46.6388756,4,0.018951187890100592,traffic_signals,,POINT (-46.6388756 -23.541116)
60685696,-23.5412184,-46.639009,4,0.016838284552150834,traffic_signals,,POINT (-46.639009 -23.5412184)
60685710,-23.5416285,-46.6393206,3,0.010929247553940844,,,POINT (-46.6393206 -23.5416285)
60685713,-23.5413203,-46.6389315,4,0.016434147858070503,traffic_signals,,POINT (-46.6389315 -23.5413203)
60685715,-23.5412172,-46.6387981,4,0.018768033199220376,traffic_signals,,POINT (-46.6387981 -23.5412172)
60685718,-23.5405006,-46.6393453,4,0.01911512445502741,traffic_signals,,POINT (-46.6393453 -23.5405006)
60685721,-23.5397563,-46.6399082,4,0.019562405860601546,traffic_signals,,POINT (-46.6399082 -23.5397563)
60685725,-23.5398447,-46.6400458,4,0.018861330391119945,traffic_signals,,POINT (-46.6400458 -23.5398447)
60685726,-23.5406004,-46.6394753,4,0.0171620423622784,traffic_signals,,POINT (-46.6394753 -23.5406004)
60685733,-23.5415245,-46.6393921,3,0.011324106851292488,,,POINT (-46.6393921 -23.5415245)
60685734,-23.5409256,-46.6398991,3,0.01099267480292254,,,POINT (-46.6398991 -23.5409256)
60685757,-23.5455523,-46.6440881,3,0.01013975368128756,traffic_signals,,POINT (-46.6440881 -23.5455523)
60685760,-23.5445891,-46.6430751,3,0.007736436801763251,,,POINT (-46.6430751 -23.5445891)
60685761,-23.5442827,-46.6426976,3,0.007335171582093597,traffic_signals,,POINT (-46.6426976 -23.5442827)
60685763,-23.5430648,-46.641106,3,0.008642038123370816,traffic_signals,,POINT (-46.641106 -23.5430648)
60685770,-23.5460547,-46.6448862,4,0.015141742713893822,traffic_signals,,POINT (-46.6448862 -23.5460547)
60685771,-23.5461913,-46.645043,4,0.013002345495963732,,,POINT (-46.645043 -23.5461913)
60685775,-23.5472599,-46.647292,4,0.01210545253380615,traffic_signals,,POINT (-46.647292 -23.5472599)
60685779,-23.5476337,-46.6478672,3,0.009127479745128562,,,POINT (-46.6478672 -23.5476337)
60685783,-23.5473332,-46.64594,4,0.011336710006153062,traffic_signals,,POINT (-46.64594 -23.5473332)
60685788,-23.5474811,-46.6453105,4,0.013983224234885449,traffic_signals,,POINT (-46.6453105 -23.5474811)
60685794,-23.5478539,-46.6427241,5,0.027407751140284833,traffic_signals,,POINT (-46.6427241 -23.5478539)
60685799,-23.5437597,-46.6444236,3,0.009475654706704813,,,POINT (-46.6444236 -23.5437597)
60685800,-23.5432661,-46.6438562,3,0.009140533899404977,traffic_signals,,POINT (-46.6438562 -23.5432661)
60685801,-23.5426524,-46.6430822,3,0.008438473696302235,traffic_signals,,POINT (-46.6430822 -23.5426524)
60685803,-23.5438673,-46.6455211,4,0.014880123005337613,traffic_signals,,POINT (-46.6455211 -23.5438673)
60685804,-23.5438391,-46.6465778,4,0.01786937906972665,traffic_signals,,POINT (-46.6465778 -23.5438391)
60685805,-23.5438136,-46.6476847,4,0.01883868651367923,traffic_signals,,POINT (-46.6476847 -23.5438136)
60685806,-23.5447717,-46.6445432,3,0.01129826526508945,traffic_signals,,POINT (-46.6445432 -23.5447717)
60685807,-23.5454935,-46.6447443,4,0.015750132975173376,traffic_signals,,POINT (-46.6447443 -23.5454935)
60685808,-23.5454704,-46.64557,4,0.01599152002441744,traffic_signals,,POINT (-46.64557 -23.5454704)
60685809,-23.5454408,-46.6466293,4,0.016251780728899514,traffic_signals,,POINT (-46.6466293 -23.5454408)
60685811,-23.5447452,-46.6455476,4,0.016224158537428316,traffic_signals,,POINT (-46.6455476 -23.5447452)
60685812,-23.5447172,-46.646606,4,0.018102978689164256,traffic_signals,,POINT (-46.646606 -23.5447172)
60685813,-23.544688,-46.6477135,4,0.018663537558507963,traffic_signals,,POINT (-46.6477135 -23.544688)
60685814,-23.5460667,-46.6456025,3,0.010706599554846322,,,POINT (-46.6456025 -23.5460667)
60685815,-23.5459939,-46.6459899,3,0.008605377512450607,,,POINT (-46.6459899 -23.5459939)
60685816,-23.5458711,-46.6466427,3,0.009842692849940481,,,POINT (-46.6466427 -23.5458711)
60685818,-23.5449097,-46.6428082,3,0.006005158181148362,,,POINT (-46.6428082 -23.5449097)
60685820,-23.5459434,-46.642455,1,0.0023639060594588973,turning_circle,,POINT (-46.642455 -23.5459434)
60685821,-23.5477427,-46.6414316,3,0.008294681909974679,traffic_signals,,POINT (-46.6414316 -23.5477427)
60685827,-23.5410393,-46.6354996,3,0.010046974327064487,,,POINT (-46.6354996 -23.5410393)
60685853,-23.5402487,-46.6353429,3,0.009674222192589023,,,POINT (-46.6353429 -23.5402487)
60685856,-23.5391957,-46.6349941,4,0.012741261111859508,traffic_signals,,POINT (-46.6349941 -23.5391957)
60685857,-23.5390727,-46.6349547,4,0.013864429810939011,traffic_signals,,POINT (-46.6349547 -23.5390727)
60685859,-23.5378601,-46.6345887,4,0.012689763644693628,traffic_signals,,POINT (-46.6345887 -23.5378601)
60685862,-23.5393642,-46.6342911,3,0.009905169930435144,,,POINT (-46.6342911 -23.5393642)
60685870,-23.5388655,-46.635692,3,0.012278936359818507,,,POINT (-46.635692 -23.5388655)
60685873,-23.539082,-46.6361063,4,0.014156836293992068,traffic_signals,,POINT (-46.6361063 -23.539082)
60685894,-23.5396351,-46.6337347,3,0.009599321233282379,,,POINT (-46.6337347 -23.5396351)
60685898,-23.5419955,-46.6344803,3,0.008608291269191156,,,POINT (-46.6344803 -23.5419955)
60685903,-23.5393741,-46.6333347,3,0.009507749112804872,,,POINT (-46.6333347 -23.5393741)
60685904,-23.540853,-46.6332553,3,0.010148021135378849,,,POINT (-46.6332553 -23.540853)
60685908,-23.5432428,-46.6333572,3,0.00796063541980911,,,POINT (-46.6333572 -23.5432428)
60685911,-23.5421948,-46.6349108,3,0.007950449370922028,motorway_junction,,POINT (-46.6349108 -23.5421948)
60685912,-23.542609,-46.6353462,3,0.008231049143442653,,,POINT (-46.6353462 -23.542609)
60685916,-23.5433618,-46.6358142,3,0.008734723064049443,,,POINT (-46.6358142 -23.5433618)
60685971,-23.5462717,-46.6316926,3,0.00920662580429068,traffic_signals,,POINT (-46.6316926 -23.5462717)
60685973,-23.5479521,-46.6308565,3,0.007587468729596423,traffic_signals,,POINT (-46.6308565 -23.5479521)
60685975,-23.5476603,-46.6303368,3,0.008056718259876854,traffic_signals,,POINT (-46.6303368 -23.5476603)
60685978,-23.5456441,-46.6312027,3,0.009633654489786222,traffic_signals,,POINT (-46.6312027 -23.5456441)
60685979,-23.5451914,-46.6310288,3,0.010968329956828322,,,POINT (-46.6310288 -23.5451914)
60685982,-23.5450011,-46.6310702,5,0.01797812079477472,traffic_signals,,POINT (-46.6310702 -23.5450011)
60686002,-23.5496428,-46.6451005,3,0.009600659843409902,,,POINT (-46.6451005 -23.5496428)
60686006,-23.5499711,-46.646167,4,0.012493455375406578,traffic_signals,,POINT (-46.646167 -23.5499711)
60686009,-23.5486912,-46.6472672,3,0.006708709072008947,,,POINT (-46.6472672 -23.5486912)
60686020,-23.5486181,-46.6427395,3,0.00921678666475036,,,POINT (-46.6427395 -23.5486181)
60686029,-23.550554,-46.6421124,4,0.012273184644782822,traffic_signals,,POINT (-46.6421124 -23.550554)
60686036,-23.5504978,-46.6419753,4,0.013787154599153447,traffic_signals,,POINT (-46.6419753 -23.5504978)
60734129,-23.5350281,-46.6369291,4,0.011049484808211883,traffic_signals,,POINT (-46.6369291 -23.5350281)
60734130,-23.5351496,-46.6370875,3,0.008712592963165027,,,POINT (-46.6370875 -23.5351496)
60734132,-23.5351586,-46.6379045,3,0.009147885301752125,traffic_signals,,POINT (-46.6379045 -23.5351586)
60734133,-23.5351281,-46.6384288,3,0.00975034019158536,,,POINT (-46.6384288 -23.5351281)
60734199,-23.5324023,-46.6328498,4,0.015143772990421252,,,POINT (-46.6328498 -23.5324023)
60734200,-23.5322529,-46.6328068,4,0.016009859115220633,traffic_signals,,POINT (-46.6328068 -23.5322529)
60734201,-23.5322828,-46.6326718,4,0.01705891010838174,traffic_signals,,POINT (-46.6326718 -23.5322828)
60734202,-23.5324366,-46.6327152,4,0.01563944106329513,,,POINT (-46.6327152 -23.5324366)
60734203,-23.5323136,-46.6325327,4,0.01571959431028015,,,POINT (-46.6325327 -23.5323136)
60734204,-23.5324707,-46.6325778,4,0.01516160531830392,traffic_signals,,POINT (-46.6325778 -23.5324707)
60734205,-23.532344,-46.6323957,4,0.014058758652537683,,,POINT (-46.6323957 -23.532344)
60734206,-23.5325041,-46.6324442,4,0.0135487371850098,traffic_signals,,POINT (-46.6324442 -23.5325041)
60734215,-23.5314429,-46.6365362,5,0.015970489758643642,traffic_signals,,POINT (-46.6365362 -23.5314429)
60734220,-23.5337797,-46.6373489,3,0.007816496329220263,traffic_signals,,POINT (-46.6373489 -23.5337797)
60734229,-23.5348891,-46.6400741,3,0.010183869342224023,,,POINT (-46.6400741 -23.5348891)
60734245,-23.5327861,-46.6313039,3,0.009022402536970951,,,POINT (-46.6313039 -23.5327861)
60734246,-23.5329959,-46.6304588,3,0.008199099624704038,,,POINT (-46.6304588 -23.5329959)
60734247,-23.5331361,-46.6298869,3,0.009569372160529228,,,POINT (-46.6298869 -23.5331361)
60734249,-23.5334391,-46.6286499,3,0.01052165452570076,,,POINT (-46.6286499 -23.5334391)
60734250,-23.5336726,-46.6277013,4,0.01305818150445461,,,POINT (-46.6277013 -23.5336726)
60734257,-23.5337755,-46.6266926,4,0.013825869406400005,traffic_signals,,POINT (-46.6266926 -23.5337755)
60734266,-23.5344638,-46.6245727,3,0.00854408115615216,,,POINT (-46.6245727 -23.5344638)
60734267,-23.5284782,-46.6256445,3,0.008084106484395026,,,POINT (-46.6256445 -23.5284782)
64075354,-23.5388586,-46.6405847,4,0.019692977009985884,traffic_signals,,POINT (-46.6405847 -23.5388586)
64075357,-23.5381939,-46.6410856,4,0.019488655607156256,traffic_signals,,POINT (-46.6410856 -23.5381939)
64075364,-23.5364787,-46.6423288,4,0.01717802216341573,traffic_signals,,POINT (-46.6423288 -23.5364787)
64075366,-23.5363817,-46.6423975,4,0.017971233747854747,traffic_signals,,POINT (-46.6423975 -23.5363817)
64075373,-23.5335858,-46.6444345,4,0.0188593512151099,traffic_signals,,POINT (-46.6444345 -23.5335858)
64075381,-23.5321382,-46.6454893,4,0.018991334024367885,traffic_signals,,POINT (-46.6454893 -23.5321382)
64075382,-23.5307094,-46.6465504,4,0.017959880509223886,traffic_signals,,POINT (-46.6465504 -23.5307094)
64075414,-23.524088,-46.6498779,3,0.004571601627052934,,,POINT (-46.6498779 -23.524088)
64095053,-23.5307937,-46.6466852,4,0.018012753936626803,traffic_signals,,POINT (-46.6466852 -23.5307937)
64095057,-23.5322206,-46.6456191,4,0.018798826548551265,traffic_signals,,POINT (-46.6456191 -23.5322206)
64095064,-23.5336778,-46.6445782,4,0.01880018526380697,traffic_signals,,POINT (-46.6445782 -23.5336778)
