u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,bridge,ref,tunnel,width,access,junction,est_width
25872749,246650435,0,91924978,True,3,tertiary,,False,59.73500000000001,"LINESTRING (-46.6259967 -23.5320811, -46.6260236 -23.5321446, -46.6261734 -23.5324981, -46.6262093 -23.5325817)",0.01708477240285354,Rua da Cantareira,,,,,,,
25872749,25872726,0,279006651,True,3,trunk,50,False,117.71499999999999,"LINESTRING (-46.6259967 -23.5320811, -46.6259629 -23.5321506, -46.6256538 -23.532786, -46.6255492 -23.5330563)",0.010790037873679987,Avenida do Estado,,BR-050,,,,,
25872763,25872749,0,"[237048504, 8580993, 675926657, 933998793]",True,4,primary,,False,54.599999999999994,"LINESTRING (-46.6257805 -23.5316319, -46.6258261 -23.5317298, -46.6259519 -23.5319933, -46.6259607 -23.5320115, -46.6259967 -23.5320811)",0.02095773514799258,Avenida Cruzeiro do Sul,yes,,,,,,
25872763,3824584734,0,379089474,True,3,trunk,50,False,26.243000000000002,"LINESTRING (-46.6257805 -23.5316319, -46.6258388 -23.5315319, -46.625899 -23.5314224)",0.0050339113575645295,Avenida do Estado,,BR-050,,,,,
25872766,1955027468,0,8579021,True,4,primary,50,False,86.355,"LINESTRING (-46.6252162 -23.5326836, -46.6252736 -23.5324628, -46.6252993 -23.5323639, -46.6254351 -23.5319336)",0.008438512886672066,Avenida Cruzeiro do Sul,,,,,,,
25872766,25872763,0,"[675926656, 945239373, 237048447]",True,"['3', '2']",trunk,50,False,130.331,"LINESTRING (-46.6252162 -23.5326836, -46.6254495 -23.5322409, -46.6256697 -23.5318345, -46.6257805 -23.5316319)",0.00926364005793261,Avenida do Estado,,BR-050,,,,,
25875892,3174980838,0,4331479,True,2,trunk_link,,False,14.021,"LINESTRING (-46.6312713 -23.5287456, -46.6313001 -23.5286223)",0.00022358096881440882,,,,,,,,
25875892,4230265786,0,423420318,True,2,secondary,50,False,18.106,"LINESTRING (-46.6312713 -23.5287456, -46.6312169 -23.5285906)",0.0007596801109855597,Avenida Tiradentes,,,,,,,
25927015,2391261453,0,929005448,True,6,trunk,50,False,18.328,"LINESTRING (-46.6313508 -23.5266085, -46.6313775 -23.5267715)",0.00044790451031790626,Avenida Santos Dumont,,,,,,,
25927315,2587277917,0,38881350,True,2,tertiary,40,False,47.82,"LINESTRING (-46.6314845 -23.5275121, -46.6316177 -23.5274747, -46.631933 -23.5273862)",5.296883991460576e-06,Rua Salvador Leme,,,,,,,
25927315,6188377714,0,415092142,True,6,trunk,50,False,69.872,"LINESTRING (-46.6314845 -23.5275121, -46.6315236 -23.5279297, -46.6315383 -23.5281385)",0.0012740889392312852,Avenida Santos Dumont,,,,,,,
25927318,25927018,0,415092140,True,6,trunk,,False,171.181,"LINESTRING (-46.6312772 -23.5279337, -46.6310673 -23.5266288, -46.6310338 -23.5264105)",0.00044769263495824784,Avenida Santos Dumont,,,,,,,
25928248,246650444,0,230636459,True,4,secondary,50,False,157.60399999999998,"LINESTRING (-46.6317405 -23.530254, -46.631638 -23.5299149, -46.6314131 -23.529168, -46.6314003 -23.5291267, -46.6313338 -23.5289321, -46.6313203 -23.5288901)",0.004603287172513183,Avenida Tiradentes,,,,,,,
