u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,ref,bridge,tunnel,width,access,junction,est_width
1439849926,1439849947,0,130808653,False,,residential,,False,159.45100000000002,"LINESTRING (-46.6140615 -23.56515, -46.6139562 -23.5661752, -46.6139578 -23.5662692, -46.6139846 -23.5663393, -46.6140568 -23.5664257, -46.6141578 -23.5665128)",0.00028419988951654165,Rua Doutor Valentim Amaral,,,,,,,
1439849936,1439849964,0,130808657,True,,residential,,False,99.42699999999999,"LINESTRING (-46.6124317 -23.5647326, -46.6126538 -23.5646681, -46.6127365 -23.5646627, -46.6128146 -23.5646647, -46.6129824 -23.564681, -46.6131388 -23.5647319, -46.6132493 -23.5647697, -46.6132813 -23.5647806, -46.6133652 -23.5648209)",0.011037856737644973,Rua Alexandrino da Silveira Bueno,,,,,,,
1439849939,1439849947,0,157188563,True,2,secondary,50,False,116.202,"LINESTRING (-46.6133865 -23.5672824, -46.6141578 -23.5665128)",0.001718667905785025,Rua Clímaco Barbosa,,,,,,,
1439849939,1439849964,0,130808664,True,,residential,,False,283.93,"LINESTRING (-46.6133865 -23.5672824, -46.6132846 -23.5672083, -46.6132013 -23.5671261, -46.6131601 -23.5670429, -46.6131557 -23.5669775, -46.6131598 -23.5669326, -46.6133652 -23.5648209)",2.3911751897859745e-05,Rua Francois Coty,,,,,,,
1439849944,6689501674,0,846462402,True,3,primary,50,False,54.765,"LINESTRING (-46.611931 -23.5641704, -46.611806 -23.5646494)",0.0015976439180051968,Avenida Dom Pedro I,,,,,,,
1439849944,6689501661,0,846462404,True,2,primary,50,False,60.308,"LINESTRING (-46.611931 -23.5641704, -46.6119166 -23.5644612, -46.6119154 -23.5644907, -46.6118909 -23.5647113)",0.0011608627350828441,Avenida Dom Pedro I,,,,,,,
1439849946,1439849944,0,944876377,True,4,primary,50,False,43.308,"LINESTRING (-46.612043 -23.5637947, -46.611931 -23.5641704)",0.0027579902005632605,Praça Alberto Lion,,,,,,,
1439849946,6689501659,0,130808666,True,2,tertiary,,False,82.411,"LINESTRING (-46.612043 -23.5637947, -46.6120581 -23.5638975, -46.6120748 -23.5639623, -46.6120916 -23.5640107, -46.6121185 -23.564073, -46.6122658 -23.5644453, -46.6122774 -23.5644747, -46.612287 -23.5644989)",0.001391449755622537,Rua Cavalheiro Afonso Nicoli,,,,,,,
1439849947,1439849926,0,130808653,False,,residential,,True,159.45100000000002,"LINESTRING (-46.6141578 -23.5665128, -46.6140568 -23.5664257, -46.6139846 -23.5663393, -46.6139578 -23.5662692, -46.6139562 -23.5661752, -46.6140615 -23.56515)",8.159949891710234e-06,Rua Doutor Valentim Amaral,,,,,,,
1439849947,445043662,0,157188563,True,2,secondary,50,False,135.20499999999998,"LINESTRING (-46.6141578 -23.5665128, -46.6147086 -23.5659759, -46.6150708 -23.5656307)",0.0019952242979346495,Rua Clímaco Barbosa,,,,,,,
1439849959,445044500,0,37916659,False,,residential,,False,145.624,"LINESTRING (-46.6144994 -23.5613982, -46.614608 -23.5615974, -46.6147544 -23.5618824, -46.6151096 -23.5625823)",0.001644822354883634,Rua Freire da Silva,,,,,,,
