osmid,y,x,highway,street_count,dc,cc,nbc,com,ref,geometry
165467521,-23.5554089,-46.6607142,,3,0.0008424599831508004,0.024039712382030638,0.001005703180635236,0.008908396601676557,,POINT (-46.6607142 -23.5554089)
171968211,-23.5355464,-46.61675,traffic_signals,4,0.0011232799775344005,0.029199537035457326,0.026739893368089702,0.009198082534818637,,POINT (-46.61675 -23.5355464)
171968212,-23.5353765,-46.6189473,traffic_signals,4,0.0011232799775344005,0.030391344229177206,0.04522648083515349,0.01054940094029064,,POINT (-46.6189473 -23.5353765)
171968213,-23.53504,-46.6223569,traffic_signals,4,0.0016849199663016008,0.034415490907256256,0.08237516824614331,0.010432006607386272,,POINT (-46.6223569 -23.53504)
171968214,-23.5310416,-46.6381198,traffic_signals,4,0.0011232799775344005,0.033996695519762365,0.03615837298366362,0.012053874469269522,,POINT (-46.6381198 -23.5310416)
171970567,-23.5341071,-46.6254279,traffic_signals,4,0.0011232799775344005,0.03544358944195212,0.040111627221258536,0.01076654253368601,,POINT (-46.6254279 -23.5341071)
171976300,-23.5354036,-46.6273918,traffic_signals,4,0.0011232799775344005,0.036471567502294265,0.015151619386873325,0.009506905696944581,,POINT (-46.6273918 -23.5354036)
171976302,-23.5388306,-46.6288305,traffic_signals,4,0.0011232799775344005,0.03666846892707955,0.045273604299257204,0.00964649837182735,,POINT (-46.6288305 -23.5388306)
171976304,-23.539515,-46.6291169,,3,0.0011232799775344005,0.035355574294395085,0.005252314872840689,0.006778265266510254,,POINT (-46.6291169 -23.539515)
171978399,-23.5441697,-46.6310981,traffic_signals,3,0.0008424599831508004,0.0358865361888617,0.004183224747079495,0.006231524648632328,,POINT (-46.6310981 -23.5441697)
172004065,-23.5599919,-46.6331783,traffic_signals,4,0.0014040999719180005,0.033105649095830705,0.007784186436153627,0.011987778085967474,,POINT (-46.6331783 -23.5599919)
172004067,-23.5611671,-46.6348341,traffic_signals,4,0.0011232799775344005,0.03278035227216206,0.030212786287178016,0.010575782957389429,,POINT (-46.6348341 -23.5611671)
172004069,-23.5616706,-46.6365158,traffic_signals,4,0.0014040999719180005,0.033709418475051316,0.025305820301970722,0.01008660315165862,,POINT (-46.6365158 -23.5616706)
172004070,-23.5620292,-46.6386453,traffic_signals,4,0.0011232799775344005,0.03321941199176109,0.02841990249558506,0.009758760662876667,,POINT (-46.6386453 -23.5620292)
172008334,-23.5591263,-46.6374877,,3,0.0008424599831508004,0.03330687855884163,0.003725807991863145,0.007289792354974083,,POINT (-46.6374877 -23.5591263)
172015342,-23.5609239,-46.6402827,,3,0.0008424599831508004,0.03629224568812252,0.017895517108661285,0.007585055756112203,,POINT (-46.6402827 -23.5609239)
172015343,-23.5616594,-46.6404566,,3,0.0008424599831508004,0.03608480644712678,0.024801645659231774,0.00883816190570523,,POINT (-46.6404566 -23.5616594)
172015345,-23.563632,-46.6410439,,3,0.0008424599831508004,0.03319316439510369,0.007908655537836236,0.007643583574505312,,POINT (-46.6410439 -23.563632)
172016420,-23.5603948,-46.6424669,priority,3,0.0008424599831508004,0.03509558002396971,0.012201573014506981,0.008203570921975172,,POINT (-46.6424669 -23.5603948)
172016421,-23.5599631,-46.6429597,traffic_signals,3,0.0014040999719180005,0.034107784695828786,0.012813417620703812,0.006694574579345961,,POINT (-46.6429597 -23.5599631)
172016927,-23.5606849,-46.6413549,,4,0.0011232799775344005,0.03576545845119984,0.018863383759985516,0.010801897646656674,,POINT (-46.6413549 -23.5606849)
172017418,-23.565397,-46.6427116,,4,0.0016849199663016008,0.03331242166233362,0.018611718082503368,0.010660923902211,,POINT (-46.6427116 -23.565397)
172017420,-23.5633608,-46.6421251,traffic_signals,4,0.0011232799775344005,0.034300316996593506,0.018452136165652576,0.01166051241995269,,POINT (-46.6421251 -23.5633608)
172017421,-23.5623249,-46.6418359,traffic_signals,4,0.0011232799775344005,0.03510716678666256,0.023634191466653867,0.012126270654420896,,POINT (-46.6418359 -23.5623249)
172017879,-23.5630853,-46.6432224,,4,0.0011232799775344005,0.03140299604060627,0.004001608483885617,0.011469608465786759,,POINT (-46.6432224 -23.5630853)
172017880,-23.5651082,-46.6437939,,4,0.0016849199663016008,0.03239771924712521,0.010921921382273752,0.010027113468906328,,POINT (-46.6437939 -23.5651082)
172020359,-23.5656441,-46.6416608,,3,0.0011232799775344005,0.03223047868346377,0.006359244450203679,0.007507543609939216,,POINT (-46.6416608 -23.5656441)
172020361,-23.568534,-46.6421858,traffic_signals,4,0.0014040999719180005,0.03087137444285829,0.00954897299216088,0.009673177582448792,,POINT (-46.6421858 -23.568534)
172020869,-23.5628775,-46.6441556,traffic_signals,4,0.0011232799775344005,0.03238507749815894,0.0019421181751171,0.009819127736980572,,POINT (-46.6441556 -23.5628775)
172020870,-23.5626125,-46.6452256,traffic_signals,3,0.0014040999719180005,0.030049428187602038,0.0029438166633175542,0.0068557345036842805,,POINT (-46.6452256 -23.5626125)
172021002,-23.5618209,-46.6438812,,3,0.0008424599831508004,0.033138211500842917,0.002714161874573441,0.00804611370872249,,POINT (-46.6438812 -23.5618209)
172021378,-23.5648051,-46.6445547,,3,0.0014040999719180005,0.031555591857597765,0.008231544713314299,0.007763190245741328,,POINT (-46.6445547 -23.5648051)
172021638,-23.5649638,-46.6450919,traffic_signals,4,0.0016849199663016008,0.030976479485521798,0.009821732182071677,0.008867277269587834,,POINT (-46.6450919 -23.5649638)
175991309,-23.5447138,-46.6056438,,3,0.0005616399887672002,0.021981184380117275,7.88820208942697e-08,0.003541216319683562,,POINT (-46.6056438 -23.5447138)
175993428,-23.556069,-46.6291677,traffic_signals,4,0.0011232799775344005,0.03311821511055364,0.03447519686768283,0.009218990268423053,,POINT (-46.6291677 -23.556069)
175993483,-23.5553727,-46.6277093,traffic_signals,4,0.0011232799775344005,0.034185224512397576,0.03233188749069732,0.010093265216566403,,POINT (-46.6277093 -23.5553727)
175993525,-23.5471404,-46.6243597,,3,0.0008424599831508004,0.03514886994209392,0.041022200555649965,0.007995497762174656,,POINT (-46.6243597 -23.5471404)
175993568,-23.5448573,-46.6265165,traffic_signals,4,0.0011232799775344005,0.034287529074736305,0.037528261251297636,0.009309185019193627,,POINT (-46.6265165 -23.5448573)
175993584,-23.5433718,-46.6307197,,3,0.0008424599831508004,0.03779206183878337,0.002486356684924626,0.00746877467760293,,POINT (-46.6307197 -23.5433718)
176007901,-23.5562644,-46.6330481,,3,0.0014040999719180005,0.03466229243113023,0.005978876947274497,0.007811391395662178,,POINT (-46.6330481 -23.5562644)
176009843,-23.5555104,-46.6374775,,3,0.0008424599831508004,0.03645437572810309,0.03190225356329601,0.005655096948879727,,POINT (-46.6374775 -23.5555104)
176010867,-23.5547984,-46.636495,,3,0.0008424599831508004,0.03433423384554279,0.011619055895908285,0.005690118621410554,,POINT (-46.636495 -23.5547984)
176010870,-23.5533354,-46.6361858,,3,0.0008424599831508004,0.03317439528885823,0.011619371423991848,0.005866273113969321,,POINT (-46.6361858 -23.5533354)
176010879,-23.5534818,-46.6373208,,3,0.0008424599831508004,0.0370961991078509,0.009148343370315271,0.0063379948089458925,,POINT (-46.6373208 -23.5534818)
176011400,-23.5528583,-46.6361584,,3,0.0008424599831508004,0.03209096201256229,0.0056021638071782134,0.006189961998121894,,POINT (-46.6361584 -23.5528583)
176011687,-23.5556922,-46.6372329,,3,0.0008424599831508004,0.029357742761190384,0.029294088349736132,0.005694600330971499,,POINT (-46.6372329 -23.5556922)
