u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ebc,name,bridge,ref,tunnel,width,access,junction
25872723,6222710507,0,8580974,True,1,trunk_link,40,False,105.916,"LINESTRING (-46.6254827 -23.5332714, -46.6255002 -23.5334346, -46.625511 -23.5335237, -46.6255412 -23.5336245, -46.6256102 -23.5337542, -46.62568 -23.5338194, -46.6257463 -23.5338581, -46.6258865 -23.5339165, -46.6259466 -23.5339321, -46.6259938 -23.5339406, -46.6260415 -23.533946)",0.0008751800493389361,,,,,,,
25872723,6213473289,0,933998791,True,3,trunk,50,False,84.074,"LINESTRING (-46.6254827 -23.5332714, -46.6254616 -23.5333396, -46.6254348 -23.5334711, -46.6254213 -23.5336476, -46.6254227 -23.5339531, -46.6254267 -23.534022)",0.009152654740801203,Avenida do Estado,,BR-050,,,,
25872726,25872723,0,933998790,True,4,trunk,50,False,24.86,"LINESTRING (-46.6255492 -23.5330563, -46.6254936 -23.5332367, -46.6254827 -23.5332714)",0.01003866691388632,Avenida do Estado,,BR-050,,,,
25872749,246650435,0,91924978,True,3,tertiary,,False,59.73500000000001,"LINESTRING (-46.6259967 -23.5320811, -46.6260236 -23.5321446, -46.6261734 -23.5324981, -46.6262093 -23.5325817)",0.0048684748972071005,Rua da Cantareira,,,,,,
25872749,25872726,0,279006651,True,3,trunk,50,False,117.71499999999999,"LINESTRING (-46.6259967 -23.5320811, -46.6259629 -23.5321506, -46.6256538 -23.532786, -46.6255492 -23.5330563)",0.0038921945102213303,Avenida do Estado,,BR-050,,,,
25872763,25872749,0,"[237048504, 8580993, 675926657, 933998793]",True,4,primary,,False,54.599999999999994,"LINESTRING (-46.6257805 -23.5316319, -46.6258261 -23.5317298, -46.6259519 -23.5319933, -46.6259607 -23.5320115, -46.6259967 -23.5320811)",0.00552632064221082,Avenida Cruzeiro do Sul,yes,,,,,
25872763,3824584734,0,379089474,True,3,trunk,50,False,26.243000000000002,"LINESTRING (-46.6257805 -23.5316319, -46.6258388 -23.5315319, -46.625899 -23.5314224)",0.0006544408096651429,Avenida do Estado,,BR-050,,,,
25872766,1955027468,0,8579021,True,4,primary,50,False,86.355,"LINESTRING (-46.6252162 -23.5326836, -46.6252736 -23.5324628, -46.6252993 -23.5323639, -46.6254351 -23.5319336)",0.003597666731916079,Avenida Cruzeiro do Sul,,,,,,
25872766,25872763,0,"[675926656, 945239373, 237048447]",True,"['3', '2']",trunk,50,False,130.331,"LINESTRING (-46.6252162 -23.5326836, -46.6254495 -23.5322409, -46.6256697 -23.5318345, -46.6257805 -23.5316319)",0.005547984889703184,Avenida do Estado,,BR-050,,,,
25928388,60734206,0,"[934316905, 4331475]",True,4,secondary,,False,229.372,"LINESTRING (-46.6330324 -23.534495, -46.6327193 -23.5334094, -46.6325679 -23.5328844, -46.6325347 -23.5327822, -46.6324442 -23.5325041)",0.003373251414086395,Avenida Tiradentes,,,,,,
25928388,457055005,0,"[656931849, 38584787]",True,2,secondary,50,False,125.36000000000001,"LINESTRING (-46.6330324 -23.534495, -46.6329084 -23.534515, -46.6318189 -23.5346772)",0.0020129316930861587,Rua São Caetano,,,,,,
25928438,2021790380,0,"[191591089, 866553011, 191591092]",True,3,secondary,50,False,60.004,"LINESTRING (-46.6337902 -23.5352466, -46.6338039 -23.5352893, -46.6339209 -23.5356662, -46.6339485 -23.5357663)",0.009828237256090649,Rua Brigadeiro Tobias,yes,,,,,
25928439,2556256416,0,38584786,True,,residential,,False,391.557,"LINESTRING (-46.6331286 -23.5352713, -46.631535 -23.5354185, -46.630598 -23.5355033, -46.6297862 -23.5355907, -46.6296645 -23.5356052, -46.6295131 -23.535653, -46.6293311 -23.5357231)",0.014157238267032853,Rua Vinte e Cinco de Janeiro,,,,,,
25928439,25928388,0,191591086,True,4,secondary,50,False,86.89500000000001,"LINESTRING (-46.6331286 -23.5352713, -46.6331017 -23.5349845, -46.6330324 -23.534495)",0.005397015230918736,Avenida Tiradentes,,,,,,
25928614,25928439,0,191591086,True,4,secondary,50,False,11.418,"LINESTRING (-46.6331395 -23.5353735, -46.6331286 -23.5352713)",0.019565085621697925,Avenida Tiradentes,,,,,,
25928755,60685894,0,8579810,True,3,primary,40,False,214.212,"LINESTRING (-46.634182 -23.5414795, -46.6339991 -23.5412465, -46.6339304 -23.5411214, -46.6338936 -23.5410183, -46.6338813 -23.5409191, -46.6338582 -23.5407157, -46.6338252 -23.5404405, -46.6337347 -23.5396351)",0.016914543348437047,Avenida Prestes Maia,,,,,,
25928755,60685904,0,"[8579812, 522751870]",True,2,residential,40,False,117.929,"LINESTRING (-46.634182 -23.5414795, -46.6339994 -23.5413167, -46.6338564 -23.5411977, -46.6338031 -23.5411673, -46.6332553 -23.540853)",0.06409331625098244,Rua Carlos de Sousa Nazaré,,,,,,
25928755,4228472161,0,"[49436034, 237876565, 49436030]",True,3,trunk,50,False,516.815,"LINESTRING (-46.634182 -23.5414795, -46.6340392 -23.5410017, -46.6340095 -23.5408561, -46.6338549 -23.539545, -46.6338076 -23.5389196, -46.6336016 -23.537239, -46.6335552 -23.536874)",0.0363527420338852,Avenida Prestes Maia,,,yes,,,
25928842,60685898,0,"[779584032, 4331470, 48651838]",True,4,trunk,50,False,636.083,"LINESTRING (-46.6377089 -23.5468886, -46.6376866 -23.5468525, -46.6375872 -23.5467166, -46.6372901 -23.5463106, -46.6370899 -23.5460111, -46.6363483 -23.5448989, -46.6358258 -23.5441204, -46.6353367 -23.5433993, -46.6344803 -23.5419955)",0.07319803168996676,"['Avenida Prestes Maia', 'Túnel Papa João Paulo II']",,,yes,,,
25928939,25928842,0,"[273593636, 273593637, 901220871, 901221674, 936396989]",True,"['3', '2']",trunk,"['50', '60']",False,339.35,"LINESTRING (-46.6385434 -23.549578, -46.6386985 -23.5493219, -46.6387637 -23.549184, -46.6388076 -23.54907, -46.6388477 -23.5489315, -46.638873 -23.5487078, -46.6388569 -23.5486128, -46.6388275 -23.5485325, -46.6387806 -23.5484489, -46.6386644 -23.5482688, -46.6378742 -23.5470938, -46.6377089 -23.5468886)",0.001495543699630389,"['Avenida Vinte e Três de Maio', 'Avenida 23 de Maio', 'Parque Anhangabau']",,,yes,,,
25928939,285488804,0,"[8579499, 901230766]",True,1,trunk_link,,False,52.866,"LINESTRING (-46.6385434 -23.549578, -46.6386395 -23.5493645, -46.6386782 -23.5492313, -46.6387043 -23.5491274)",0.0004794888552660602,,,,,,,
25928961,25928964,0,"[565528400, 153242233, 273593639]",True,3,trunk,60,False,140.54000000000002,"LINESTRING (-46.6387749 -23.5481572, -46.6388903 -23.5483767, -46.6389844 -23.5486096, -46.639006 -23.5487021, -46.639007 -23.548821, -46.6389736 -23.5489641, -46.6389063 -23.5491215, -46.6387877 -23.5493388)",0.0271090337604449,Parque Anhangabau,,,,,,
