osmid,y,x,street_count,dc,cc,nbc,com,highway,ref,geometry
60641511,-23.5450802,-46.6380773,3,0.002688172043010753,0.04731191796777254,0.06013518786080891,0.011990854101466846,,,POINT (-46.6380773 -23.5450802)
60641571,-23.5446995,-46.6386448,3,0.0020161290322580645,0.04512552472239164,0.059469020142013024,0.013469289650952275,,,POINT (-46.6386448 -23.5446995)
60641664,-23.547423,-46.6397608,3,0.0020161290322580645,0.04170884169517747,0.02423431024698955,0.01009891335235754,traffic_signals,,POINT (-46.6397608 -23.547423)
60685349,-23.5505721,-46.6343559,3,0.002688172043010753,0.04587715283312857,0.03602615358307994,0.014358726123074669,,,POINT (-46.6343559 -23.5505721)
60685350,-23.5511695,-46.6340198,3,0.004032258064516129,0.045573810802074795,0.03676827542794347,0.01441543796491901,,,POINT (-46.6340198 -23.5511695)
60685352,-23.5525158,-46.630443,3,0.0020161290322580645,0.0431256998567796,0.016077605626701772,0.015084959531656943,traffic_signals,,POINT (-46.630443 -23.5525158)
60685357,-23.5537481,-46.6319924,3,0.0033602150537634413,0.03788124477500072,0.010717538422709018,0.014044306717271565,,,POINT (-46.6319924 -23.5537481)
60685358,-23.5539581,-46.6311399,3,0.002688172043010753,0.036545804260081395,0.008048220234208472,0.012746501826263777,,,POINT (-46.6311399 -23.5539581)
60685360,-23.5534267,-46.6309942,3,0.004032258064516129,0.03523265584748471,0.0019537605484087903,0.010030376784455891,,,POINT (-46.6309942 -23.5534267)
60685363,-23.5533244,-46.6313901,1,0.0013440860215053765,0.034004053380201835,0.0,0.004169917847126636,,,POINT (-46.6313901 -23.5533244)
60685365,-23.5553904,-46.6319876,4,0.004032258064516129,0.040317594878374906,0.015799352438086826,0.02190952269231249,,,POINT (-46.6319876 -23.5553904)
60685366,-23.5553236,-46.6310913,4,0.004032258064516129,0.03825870329544912,0.006048351426569759,0.01679665061706649,,,POINT (-46.6310913 -23.5553236)
60685367,-23.5560866,-46.6319979,3,0.002688172043010753,0.03980310516092078,0.009714618855662336,0.016426003870441453,,,POINT (-46.6319979 -23.5560866)
60685368,-23.5559736,-46.6330693,3,0.0033602150537634413,0.040623610778780024,0.010982966170416704,0.01737707181065892,traffic_signals,,POINT (-46.6330693 -23.5559736)
60685370,-23.5569787,-46.6319891,4,0.0033602150537634413,0.0393147031192968,0.009215317888195887,0.022389947859995714,,,POINT (-46.6319891 -23.5569787)
60685373,-23.5561013,-46.630753,3,0.002688172043010753,0.03749324497446073,0.008766006311031244,0.013844623089628853,,,POINT (-46.630753 -23.5561013)
60685374,-23.5553045,-46.6308289,3,0.002688172043010753,0.03789343569264983,0.005052856377970404,0.014618961072067232,,,POINT (-46.6308289 -23.5553045)
60685376,-23.5541514,-46.6303592,3,0.002688172043010753,0.03523089887068087,0.008004833462835053,0.013163866603670615,,,POINT (-46.6303592 -23.5541514)
60685377,-23.5536287,-46.6302011,3,0.004032258064516129,0.034007327014068375,0.001942913855565438,0.010099586791364763,,,POINT (-46.6302011 -23.5536287)
60685384,-23.5492637,-46.6310381,3,0.0020161290322580645,0.04519336095018477,0.04646106723064183,0.015636749028977725,,,POINT (-46.6310381 -23.5492637)
60685387,-23.5483839,-46.6331697,3,0.002688172043010753,0.0401948746936969,0.03201589807410167,0.012198420227137505,,,POINT (-46.6331697 -23.5483839)
60685391,-23.5497736,-46.6307917,3,0.0020161290322580645,0.04738013648003243,0.04647191392348518,0.016454062158420362,traffic_signals,,POINT (-46.6307917 -23.5497736)
60685397,-23.5482349,-46.638363,3,0.0020161290322580645,0.03974153203880089,0.039214057851505384,0.013560019773912977,,,POINT (-46.638363 -23.5482349)
60685402,-23.54701,-46.6379608,3,0.0020161290322580645,0.03678269459331303,0.006560124212814702,0.013056864910522402,,,POINT (-46.6379608 -23.54701)
