osmid,y,x,highway,street_count,dc,cc,nbc,vul,com,eff,ref,geometry
3361710200,-23.2167861,-45.8877571,traffic_signals,4,0.0028208744710860366,0.04192679321477617,0.01463310271463647,0.0006002716586574436,0.020630590036238114,0.06252173094359648,,POINT (-45.8877571 -23.2167861)
3361710201,-23.2169028,-45.8875613,,3,0.0021156558533145277,0.041560969095049104,0.03559535308931155,0.001411497208123153,0.01635125489719666,0.06252173094359648,,POINT (-45.8875613 -23.2169028)
3361710203,-23.2150558,-45.8900932,,3,0.0021156558533145277,0.046392811244375776,0.021594465702942454,0.0007260494752105465,0.015172805430362053,0.06252173094359648,,POINT (-45.8900932 -23.2150558)
3361725379,-23.2189853,-45.8839261,,3,0.0021156558533145277,0.03636570830061973,0.011837337518245537,0.0018793964930885574,0.014162934649346792,0.06252173094359648,,POINT (-45.8839261 -23.2189853)
3361727931,-23.2137397,-45.8896884,,3,0.0021156558533145277,0.038281913662018656,0.10217058014153206,0.0029868505098414925,0.014118025420882627,0.06252173094359648,,POINT (-45.8896884 -23.2137397)
3361760672,-23.2190063,-45.8924132,,3,0.0021156558533145277,0.04012838489142278,0.020237542900989662,0.0014452232331931287,0.01657712451460222,0.06252173094359648,,POINT (-45.8924132 -23.2190063)
3361760673,-23.2194715,-45.8919052,traffic_signals,3,0.0021156558533145277,0.04184249870320919,0.020236049848164458,0.001612948302384078,0.01663330174053713,0.06252173094359648,,POINT (-45.8919052 -23.2194715)
3361760676,-23.2200864,-45.891499,traffic_signals,3,0.0021156558533145277,0.041748232665949236,0.01255634976566906,0.00027040649550366127,0.016207383083966978,0.06252173094359648,,POINT (-45.891499 -23.2200864)
3361760679,-23.2197957,-45.8913439,,3,0.0028208744710860366,0.04110382495441504,0.012878911538844174,0.0006396726955188714,0.016918611147652304,0.06252173094359648,,POINT (-45.8913439 -23.2197957)
3361760682,-23.2198668,-45.8914644,traffic_signals,4,0.0028208744710860366,0.03994000540521858,0.023241684139874628,0.0015590461380154143,0.02108768081510829,0.06252173094359648,,POINT (-45.8914644 -23.2198668)
3361760685,-23.2214002,-45.8900422,traffic_signals,3,0.0021156558533145277,0.04002745837006608,0.013774470463159182,0.00032939101287578773,0.017649719915402356,0.06252173094359648,,POINT (-45.8900422 -23.2214002)
3361767974,-23.2251245,-45.8924253,,3,0.0028208744710860366,0.030941628158159953,0.0017362499512991716,-7.097722456311944e-05,0.014671989857345831,0.06252173094359648,,POINT (-45.8924253 -23.2251245)
3361767975,-23.2248317,-45.8923923,,3,0.0021156558533145277,0.033405802767619536,0.00363374187945555,4.452426386856902e-05,0.016787731537655604,0.06252173094359648,,POINT (-45.8923923 -23.2248317)
3361767982,-23.2247923,-45.8924771,,3,0.0021156558533145277,0.03230490705850157,0.0036352349322807767,-7.952054134275892e-05,0.014845879828798873,0.06252173094359648,,POINT (-45.8924771 -23.2247923)
3361767984,-23.2248577,-45.8925504,,3,0.0021156558533145277,0.03158458984531294,0.0023318493447793335,-0.0002150405580341146,0.014418279572674848,0.06252173094359648,,POINT (-45.8925504 -23.2248577)
3361767987,-23.2249304,-45.8925199,,3,0.0021156558533145277,0.030598687696782475,0.0023333423976045287,-0.00021685371030133354,0.014408173645017085,0.06252173094359648,,POINT (-45.8925199 -23.2249304)
3361767989,-23.2249432,-45.8924378,,3,0.0021156558533145277,0.030406113352995128,0.003486420201395684,-6.030849425929923e-05,0.014834241736620629,0.06252173094359648,,POINT (-45.8924378 -23.2249432)
3361769010,-23.2267341,-45.8929752,,3,0.004231311706629055,0.03379554269698094,0.0012464266215341496,-0.00010239978722518872,0.014761742690831702,0.06252173094359648,,POINT (-45.8929752 -23.2267341)
3361769011,-23.2269118,-45.8932102,,3,0.004231311706629055,0.034556991342020976,0.007782382428226064,0.00013754700004991373,0.01599202460955768,0.06252173094359648,,POINT (-45.8932102 -23.2269118)
3362119163,-23.2196005,-45.9051653,,3,0.0021156558533145277,0.02944512609539753,0.019564466537202396,-1.2722416163499738e-05,0.016687923407176924,0.06252173094359648,,POINT (-45.9051653 -23.2196005)
3362119165,-23.2196608,-45.9053335,,3,0.0021156558533145277,0.02579649090531566,0.0173211546673329,-6.168367850448083e-05,0.016666366610930454,0.06252173094359648,,POINT (-45.9053335 -23.2196608)
3362119168,-23.219259,-45.9078837,,3,0.0021156558533145277,0.02453110858780947,0.006874512891515776,-3.321960858627168e-05,0.016223106513814495,0.06252173094359648,,POINT (-45.9078837 -23.219259)
3370614683,-23.2339141,-45.9025033,,3,0.0021156558533145277,0.030429367983506237,0.00845870069346944,0.00047495772177564416,0.0159392565694782,0.06252173094359648,,POINT (-45.9025033 -23.2339141)
3370614686,-23.2335755,-45.9024491,,3,0.0021156558533145277,0.03807182210612274,0.0033495358318157203,0.0005169041303078757,0.020345342692319832,0.06252173094359648,,POINT (-45.9024491 -23.2335755)
3370637995,-23.2293333,-45.9011122,,3,0.0021156558533145277,0.03909621060301012,0.017278567953573094,0.00032956802946569586,0.018911510907410597,0.06252173094359648,,POINT (-45.9011122 -23.2293333)
3370637996,-23.2294547,-45.9009854,,4,0.0028208744710860366,0.042765806242879144,0.05348738854402975,0.002353537009081334,0.02719588591074034,0.06252173094359648,,POINT (-45.9009854 -23.2294547)
3370637997,-23.2294652,-45.9008986,,4,0.0028208744710860366,0.04364190028308395,0.0574899475573343,0.0032210242848247556,0.029671120759217514,0.06252173094359648,,POINT (-45.9008986 -23.2294652)
3370637999,-23.2297089,-45.9011001,,3,0.0021156558533145277,0.037600911223135705,0.0016658977892514532,0.00012065441253481772,0.019731675675373414,0.06252173094359648,,POINT (-45.9011001 -23.2297089)
3370638003,-23.2317369,-45.9015808,traffic_signals,4,0.0028208744710860366,0.04124921430323992,0.02451560207257858,0.0003972263662964648,0.03100238145020403,0.06252173094359648,,POINT (-45.9015808 -23.2317369)
3370638004,-23.2317612,-45.9017323,traffic_signals,3,0.0021156558533145277,0.039777934105938405,0.0026940104241036495,8.544718493003923e-05,0.02204018217727897,0.06252173094359648,,POINT (-45.9017323 -23.2317612)
3370638005,-23.2326381,-45.9021581,,3,0.0021156558533145277,0.038226743050603404,0.0026955034769288537,0.00021244382892413437,0.019705735016079036,0.06252173094359648,,POINT (-45.9021581 -23.2326381)
3370638006,-23.232804,-45.902096,,4,0.0028208744710860366,0.03959514073100405,0.025534832321796392,0.001061759183815828,0.027986725455598927,0.06252173094359648,,POINT (-45.902096 -23.232804)
3370638007,-23.2328431,-45.9020038,,4,0.0028208744710860366,0.038211625983694514,0.030236478091745414,0.0020791561813143745,0.029702722445731553,0.06252173094359648,,POINT (-45.9020038 -23.2328431)
3370638008,-23.2369985,-45.9037618,,3,0.0014104372355430183,0.0007052186177715092,0.00019450382904378518,-0.00023108119436336926,0.008522025857253628,0.06252173094359648,,POINT (-45.9037618 -23.2369985)
3370638009,-23.2363331,-45.9035672,,3,0.0021156558533145277,0.028976501725923812,0.0022115114927828963,-5.24183675790034e-05,0.017054531990269562,0.06252173094359648,,POINT (-45.9035672 -23.2363331)
3370638010,-23.2360731,-45.9035504,,3,0.0021156558533145277,0.028159786487536236,0.0030704331898950736,0.00010032711529921054,0.017455991133050033,0.06252173094359648,,POINT (-45.9035504 -23.2360731)
3370650745,-23.2370155,-45.9077882,,3,0.0014104372355430183,0.027558579319876,0.0,-0.0005233480670779347,0.004505104644993302,0.06252173094359648,,POINT (-45.9077882 -23.2370155)
3370650746,-23.2370174,-45.9075527,,3,0.0021156558533145277,0.03226099358663439,0.0006892927209693297,0.0007071734347594041,0.006378446887291521,0.06252173094359648,,POINT (-45.9075527 -23.2370174)
3370650757,-23.2370867,-45.9076557,,3,0.0007052186177715092,0.03127388484843709,0.0,-0.0003850151045290649,0.0031693799534617214,0.06252173094359648,,POINT (-45.9076557 -23.2370867)
3370650770,-23.2361645,-45.9079628,,3,0.0021156558533145277,0.030818972594768155,0.0025762198085157706,-0.0002113587432835442,0.014114260472014407,0.06252173094359648,,POINT (-45.9079628 -23.2361645)
3370650771,-23.2361658,-45.9079908,,3,0.0021156558533145277,0.029879577308714784,0.0025777128613409758,-0.0002986030781921207,0.014095418939928684,0.06252173094359648,,POINT (-45.9079908 -23.2361658)
3370650774,-23.236236,-45.9080564,,3,0.0021156558533145277,0.030094280062173327,0.0035071313689368153,-0.0003512745055579972,0.013957651140701988,0.06252173094359648,,POINT (-45.9080564 -23.236236)
3370650776,-23.2362814,-45.9080444,,3,0.0021156558533145277,0.029197901687309864,0.0035086244217620195,-0.00039874242609949894,0.013273623596102752,0.06252173094359648,,POINT (-45.9080444 -23.2362814)
3370650780,-23.236309,-45.9079318,,3,0.0021156558533145277,0.028360510347696037,0.0035131035802376323,-0.0002800752235904446,0.013276226961466695,0.06252173094359648,,POINT (-45.9079318 -23.236309)
3370650784,-23.2362298,-45.9078893,,3,0.0021156558533145277,0.027563071437371446,0.0035145966330628366,-0.00014038912887502346,0.013979096038151667,0.06252173094359648,,POINT (-45.9078893 -23.2362298)
3370650785,-23.2364936,-45.9079571,,3,0.0028208744710860366,0.02835813225740002,0.0013790831262137273,0.0004177257492106815,0.011167582572766736,0.06252173094359648,,POINT (-45.9079571 -23.2364936)
3370650786,-23.2360898,-45.9078061,,3,0.0028208744710860366,0.03181187054545088,0.007397735347907462,0.0005572053573103327,0.014131672097572925,0.06252173094359648,,POINT (-45.9078061 -23.2360898)
3370650787,-23.2360788,-45.9080945,,3,0.0028208744710860366,0.03067292436058212,0.0038951156702324605,-0.0002285897623321035,0.014012237114288041,0.06252173094359648,,POINT (-45.9080945 -23.2360788)
