osmid,y,x,street_count,dc,cc,nbc,vul,highway,geometry
42434974,40.7444485,-73.973027,4,0.00783289817232376,0.07028125401535701,0.011606613337600989,0.0008862461575801662,traffic_signals,POINT (-73.973027 40.7444485)
42435420,40.748469,-73.992463,4,0.010443864229765013,0.07511765631870071,0.047749113941308326,0.0006240059782830369,traffic_signals,POINT (-73.992463 40.748469)
42435422,40.749101,-73.992006,4,0.010443864229765013,0.0806328781283085,0.0614736055008745,0.0013256259954380417,traffic_signals,POINT (-73.992006 40.749101)
42435629,40.74658,-73.9975495,4,0.00783289817232376,0.06030978582756641,0.009943195851858572,-0.0006588279787072823,traffic_signals,POINT (-73.9975495 40.74658)
42435632,40.7471981,-73.9970994,4,0.00783289817232376,0.05681068032908025,0.009895350924104412,-0.0002279566133450728,traffic_signals,POINT (-73.9970994 40.7471981)
42435633,40.748435,-73.996192,4,0.00783289817232376,0.06200719527938054,0.016880906098099932,0.00020040339775078122,traffic_signals,POINT (-73.996192 40.748435)
42435642,40.751532,-73.9939428,3,0.00783289817232376,0.06984649659635615,0.038785840009797776,0.0015632640985302072,traffic_signals,POINT (-73.9939428 40.751532)
42435644,40.7521986,-73.993458,4,0.01566579634464752,0.08329090062078155,0.0866972845254495,0.003292018548647478,traffic_signals,POINT (-73.993458 40.7521986)
42435645,40.7528582,-73.9929759,4,0.010443864229765013,0.08045333486816975,0.048376754486308134,0.0012592502995955645,traffic_signals,POINT (-73.9929759 40.7528582)
42435646,40.7534779,-73.9925251,4,0.010443864229765013,0.07606651092483166,0.04237996759762511,0.001532313095453992,traffic_signals,POINT (-73.9925251 40.7534779)
42435650,40.754091,-73.992079,4,0.010443864229765013,0.07916650457777177,0.03987685863927594,0.001505881045732977,traffic_signals,POINT (-73.992079 40.754091)
42435654,40.75533,-73.991177,4,0.010443864229765013,0.07630748192036967,0.026315085491963538,0.0005295197788919458,traffic_signals,POINT (-73.991177 40.75533)
42435657,40.7559486,-73.9907278,4,0.010443864229765013,0.07163281659257541,0.02812193444930098,0.0011349580128484913,traffic_signals,POINT (-73.9907278 40.7559486)
42435660,40.756567,-73.990276,4,0.010443864229765013,0.0701311969900913,0.013602632493572756,0.0001610882318444708,traffic_signals,POINT (-73.990276 40.756567)
42435663,40.7572335,-73.9897914,4,0.00783289817232376,0.06908526326825055,0.00655479767316186,-0.0006492913929693651,traffic_signals,POINT (-73.9897914 40.7572335)
42436575,40.7415447,-73.9875061,3,0.00783289817232376,0.06072536586436141,0.00918468059090558,-0.00013970032962157082,traffic_signals,POINT (-73.9875061 40.7415447)
42436578,40.7408251,-73.9858246,4,0.010443864229765013,0.06304587801307805,0.037605963074441084,0.0006549104699689864,traffic_signals,POINT (-73.9858246 40.7408251)
42436582,40.7401675,-73.9842643,4,0.010443864229765013,0.06472875795287539,0.019506563632367455,0.0003710719294392479,traffic_signals,POINT (-73.9842643 40.7401675)
42436586,40.7394963,-73.9826645,4,0.013054830287206266,0.06087884193647015,0.016942768194598678,0.001719875325498873,traffic_signals,POINT (-73.9826645 40.7394963)
42436590,40.7385557,-73.9804284,4,0.010443864229765013,0.06106194419840374,0.0025494511503287628,0.00308512039630204,traffic_signals,POINT (-73.9804284 40.7385557)
42436746,40.7446313,-73.9852432,4,0.010443864229765013,0.0800966364205166,0.05412484435872065,0.0011296160199629232,traffic_signals,POINT (-73.9852432 40.7446313)
42436748,40.7439234,-73.9835616,4,0.010443864229765013,0.07795381378488682,0.07754866286854682,0.002350830897587901,traffic_signals,POINT (-73.9835616 40.7439234)
42436751,40.7432627,-73.982007,4,0.010443864229765013,0.07868378198888293,0.05200779159757405,0.0011727581364162623,traffic_signals,POINT (-73.982007 40.7432627)
42436753,40.7425925,-73.9804107,4,0.010443864229765013,0.07108320418905181,0.043165267679567514,0.0009775133443874714,traffic_signals,POINT (-73.9804107 40.7425925)
42436754,40.7416506,-73.9781701,4,0.010443864229765013,0.07080461040426228,0.022402840953501656,0.0011336079439720845,traffic_signals,POINT (-73.9781701 40.7416506)
42436756,40.7406465,-73.9757944,4,0.013054830287206266,0.055078647392218044,0.024084966018447895,0.005769606958946143,traffic_signals,POINT (-73.9757944 40.7406465)
42437358,40.7534805,-73.9808792,4,0.01566579634464752,0.07946248667098095,0.06950773314843273,0.0016394306465260292,traffic_signals,POINT (-73.9808792 40.7534805)
42437363,40.7560361,-73.9869489,4,0.01566579634464752,0.07055573655398367,0.02493255842144386,0.0015515866770266836,traffic_signals,POINT (-73.9869489 40.7560361)
42437644,40.7484355,-73.984557,4,0.01566579634464752,0.09571282831601334,0.13644144593840976,0.003161572994762615,traffic_signals,POINT (-73.984557 40.7484355)
42437654,40.7510092,-73.9906121,4,0.01566579634464752,0.0878686592638498,0.11554825136415564,0.005165270573021649,traffic_signals,POINT (-73.9906121 40.7510092)
42437663,40.7534078,-73.9963175,4,0.01566579634464752,0.07788659773506151,0.031858564716048296,0.0015565503755319058,traffic_signals,POINT (-73.9963175 40.7534078)
42437686,40.7459215,-73.9863915,4,0.010443864229765013,0.08340626197898209,0.06251353445758126,0.001636234718478137,traffic_signals,POINT (-73.9863915 40.7459215)
42437881,40.7415506,-73.9895966,4,0.01566579634464752,0.06301289272636038,0.023752799314103224,0.0003100252887454812,traffic_signals,POINT (-73.9895966 40.7415506)
42437890,40.7441065,-73.9956382,4,0.010443864229765013,0.05957393683313279,0.01328125580875575,-0.00026540371820830424,traffic_signals,POINT (-73.9956382 40.7441065)
42438173,40.7385281,-73.9864142,3,0.005221932114882507,0.054333222089165474,0.003626224711809738,-0.0011103726961626604,,POINT (-73.9864142 40.7385281)
42438174,40.7382199,-73.9856806,3,0.005221932114882507,0.05751606604472308,0.003674069639563896,-0.0010208061077106986,traffic_signals,POINT (-73.9856806 40.7382199)
42438544,40.7446783,-73.9873007,4,0.010443864229765013,0.07847869828256958,0.05806059060976501,0.0014412498002631727,traffic_signals,POINT (-73.9873007 40.7446783)
42438547,40.7472363,-73.9933621,4,0.010443864229765013,0.07118123067237005,0.04158901186733402,0.00037133493452334084,traffic_signals,POINT (-73.9933621 40.7472363)
42438881,40.7572359,-73.9760484,4,0.00783289817232376,0.06371291251859468,0.004846577265001663,-0.000734406575332432,traffic_signals,POINT (-73.9760484 40.7572359)
42438886,40.756526,-73.974356,4,0.010443864229765013,0.06884830924027255,0.02289340927354612,-0.00022910809199073388,traffic_signals,POINT (-73.974356 40.756526)
42438889,40.75587,-73.97282,4,0.00783289817232376,0.05703487401625105,0.004830184746644681,-0.0008783906098290203,traffic_signals,POINT (-73.97282 40.75587)
42439203,40.7382917,-73.9876671,4,0.005221932114882507,0.05367938298810732,0.013644747746524874,-0.001196489608785413,traffic_signals,POINT (-73.9876671 40.7382917)
42439440,40.749706,-73.991563,3,0.00783289817232376,0.07856401976363347,0.05309985856849101,0.0005775094117374966,traffic_signals,POINT (-73.991563 40.749706)
42439834,40.741642,-73.997434,4,0.00783289817232376,0.04895216459733781,0.005193355348509608,-0.0015635994170219189,traffic_signals,POINT (-73.997434 40.741642)
42439836,40.742811,-73.99658,4,0.00783289817232376,0.05406492995555146,0.00944908663624948,-0.0008743208852796613,traffic_signals,POINT (-73.99658 40.742811)
42439840,40.745383,-73.994709,4,0.010443864229765013,0.06422252522092968,0.025281663935254647,-4.623182946935054e-05,traffic_signals,POINT (-73.994709 40.745383)
42439842,40.7460045,-73.9942616,4,0.010443864229765013,0.06619932702325951,0.04074277107280018,0.0005142815679788297,traffic_signals,POINT (-73.9942616 40.7460045)
42439952,40.7516588,-73.9901341,4,0.010443864229765013,0.0817641835014597,0.051682618807377616,0.0016018045934213382,traffic_signals,POINT (-73.9901341 40.7516588)
42439955,40.7522886,-73.9896878,4,0.010443864229765013,0.07916650457777177,0.052212460977562894,0.0015702704793112302,traffic_signals,POINT (-73.9896878 40.7522886)
42439960,40.752895,-73.989243,4,0.010443864229765013,0.07906256605972656,0.049805041874721845,0.0012110345509685678,traffic_signals,POINT (-73.989243 40.752895)
42439964,40.7541474,-73.988323,4,0.010443864229765013,0.0773530136786449,0.03870177410346586,0.001191359991806531,traffic_signals,POINT (-73.988323 40.7541474)
42439968,40.7547554,-73.9878881,4,0.010443864229765013,0.0701311969900913,0.036578681793920806,0.001976615637770753,traffic_signals,POINT (-73.9878881 40.7547554)
42439972,40.755373,-73.987447,4,0.010443864229765013,0.06999533647674358,0.022155069693700857,0.00040414806465852583,traffic_signals,POINT (-73.987447 40.755373)
42439981,40.75671,-73.986458,4,0.00783289817232376,0.06813424983838401,0.010639472431843634,0.0008821386786229065,traffic_signals,POINT (-73.986458 40.75671)
42439984,40.7573424,-73.9860116,4,0.005221932114882507,0.0,0.0,-0.0007733198508198186,traffic_signals,POINT (-73.9860116 40.7573424)
42440323,40.7394943,-73.9867925,4,0.010443864229765013,0.059692041449355755,0.032552852242338275,0.0006593369676591626,traffic_signals,POINT (-73.9867925 40.7394943)
42440325,40.7388463,-73.9852411,4,0.010443864229765013,0.06109501638365749,0.00967111021829369,0.00030465879749401285,traffic_signals,POINT (-73.9852411 40.7388463)
42440326,40.7381579,-73.983638,4,0.00783289817232376,0.05754354624828004,0.004318300297214198,-0.0010002422991437626,traffic_signals,POINT (-73.983638 40.7381579)
42440456,40.7577792,-73.9734395,4,0.005221932114882507,0.06056250869811438,0.0037690296852081924,-0.0015740395980172208,traffic_signals,POINT (-73.9734395 40.7577792)
42442891,40.7391809,-73.9799749,4,0.010443864229765013,0.062252916418495924,0.012348246723660193,0.0013016912721947392,traffic_signals,POINT (-73.9799749 40.7391809)
42442895,40.7404187,-73.979088,3,0.00783289817232376,0.06627218028117211,0.013779347354712767,-8.31896837255578e-05,traffic_signals,POINT (-73.979088 40.7404187)
42442898,40.7410388,-73.9786461,3,0.00783289817232376,0.07108320418905181,0.013827192282466918,0.00015121466122297432,traffic_signals,POINT (-73.9786461 40.7410388)
42442902,40.7422741,-73.9777196,4,0.010443864229765013,0.07557329573163572,0.045240338844709106,0.0014402388792611883,traffic_signals,POINT (-73.9777196 40.7422741)
42442906,40.7428856,-73.9772801,3,0.00783289817232376,0.07357278087822243,0.02851107281673774,0.0003517002042728195,traffic_signals,POINT (-73.9772801 40.7428856)
