osmid,y,x,street_count,dc,cc,nbc,vul,com,eff,highway,geometry
30237697,41.3907851,2.1539357,4,0.0038314176245210726,0.04514626834210985,0.01559430159424956,0.0003169122448802209,0.04745231050472858,0.0734744981509805,traffic_signals,POINT (2.1539357 41.3907851)
30237698,41.3899154,2.1550825,4,0.0038314176245210726,0.04678036404179147,0.00649235912758302,0.00039226401490913916,0.050010454709211796,0.0734744981509805,traffic_signals,POINT (2.1550825 41.3899154)
30237699,41.389047,2.1562277,4,0.0038314176245210726,0.047216774299178026,0.012514470131499823,0.00043917320580561816,0.05131406053043891,0.0734744981509805,traffic_signals,POINT (2.1562277 41.389047)
30237700,41.3881816,2.1573688,4,0.0038314176245210726,0.04669682767743113,0.040149568161631295,0.0006321715218625995,0.050786028470582376,0.0734744981509805,traffic_signals,POINT (2.1573688 41.3881816)
30237701,41.3873457,2.158471,4,0.0038314176245210726,0.04843829988767862,0.026595740404462227,0.0008554460817032832,0.046062374051105213,0.0734744981509805,,POINT (2.158471 41.3873457)
30237703,41.385644,2.1607151,4,0.0038314176245210726,0.050466819233248174,0.05611121346659995,0.0013562696714599879,0.040737268760683724,0.0734744981509805,,POINT (2.1607151 41.385644)
30237705,41.3837422,2.1631957,4,0.0038314176245210726,0.04701304638226421,0.03477422333370896,0.0007681151729374867,0.043486501469505265,0.0734744981509805,traffic_signals,POINT (2.1631957 41.3837422)
30237706,41.3833414,2.1637323,3,0.004789272030651341,0.04558435241027559,0.005364222865678997,0.0003247088748709256,0.03214818717667563,0.0734744981509805,traffic_signals,POINT (2.1637323 41.3833414)
30237770,41.39331,2.1482934,3,0.0019157088122605363,0.041088708164292824,0.0026021679633027686,-0.00013376326346569063,0.012029719198330712,0.0734744981509805,,POINT (2.1482934 41.39331)
30237772,41.3907835,2.1516855,4,0.0038314176245210726,0.04514626834210985,0.030082128933553658,0.00038247366166682467,0.04490587200420816,0.0734744981509805,,POINT (2.1516855 41.3907835)
30237867,41.3900666,2.1530072,3,0.0028735632183908046,0.04389339814137766,0.01911704822372916,0.00016986720794476008,0.036190554324674364,0.0734744981509805,,POINT (2.1530072 41.3900666)
30237873,41.389089,2.1540146,4,0.0038314176245210726,0.04622630988043385,0.021574995785129933,0.0004527835893698392,0.04649711578287883,0.0734744981509805,traffic_signals,POINT (2.1540146 41.389089)
30238005,41.3881709,2.1550528,4,0.0038314176245210726,0.04669682767743113,0.027679155511120622,0.00042568023974429544,0.05071317979433389,0.0734744981509805,traffic_signals,POINT (2.1550528 41.3881709)
30238006,41.3873146,2.1562424,4,0.0038314176245210726,0.04616374632110409,0.05517833556224212,0.0006212803398916688,0.052230842805339045,0.0734744981509805,traffic_signals,POINT (2.1562424 41.3873146)
30238009,41.3847856,2.1595845,4,0.0038314176245210726,0.047120349869712475,0.03249937565562319,0.001119486560019639,0.040834748756618765,0.0734744981509805,,POINT (2.1595845 41.3847856)
30238011,41.3828901,2.1620984,4,0.0038314176245210726,0.04497286774712468,0.05099768398589863,0.0006436260847549689,0.048111798346502456,0.0734744981509805,traffic_signals,POINT (2.1620984 41.3828901)
30238013,41.3817868,2.1635389,3,0.004789272030651341,0.04185598383294259,0.01202033871438393,0.00028019987554461155,0.02691937771774157,0.0734744981509805,,POINT (2.1635389 41.3817868)
30238020,41.3856604,2.1493967,4,0.0038314176245210726,0.03849206147788837,0.0035769200549254183,9.78119296774655e-06,0.029678312271754288,0.0734744981509805,,POINT (2.1493967 41.3856604)
30238021,41.3865171,2.1505239,3,0.0028735632183908046,0.04025382035922022,0.002931040704959697,-4.605282535338716e-05,0.027087299560010377,0.0734744981509805,,POINT (2.1505239 41.3865171)
30238023,41.3882114,2.1528384,4,0.0038314176245210726,0.044854585762197995,0.027099908954369763,0.0016045563581213215,0.042935454086825316,0.0734744981509805,,POINT (2.1528384 41.3882114)
30238025,41.3916393,2.1573992,4,0.0038314176245210726,0.04814992358564064,0.007282004950789328,0.00038453166501842875,0.05008081562857897,0.0734744981509805,traffic_signals,POINT (2.1573992 41.3916393)
30238026,41.3924507,2.1584718,4,0.0038314176245210726,0.04927805935809315,0.01820971223431662,0.0009179429537433862,0.045865666324094355,0.0734744981509805,,POINT (2.1584718 41.3924507)
30238027,41.3929991,2.1592226,3,0.0028735632183908046,0.04926568104627248,0.00423463894096664,0.00031483278849933047,0.03273457937766344,0.0734744981509805,,POINT (2.1592226 41.3929991)
30238029,41.394725,2.16146,4,0.0038314176245210726,0.0523283554549655,0.03364557845057293,0.001086727672690648,0.04894249024031875,0.0734744981509805,crossing,POINT (2.16146 41.394725)
30238030,41.3958677,2.1629713,4,0.0038314176245210726,0.05066563581638096,0.03445419887897424,0.0014147094636712484,0.049354208711136965,0.0734744981509805,,POINT (2.1629713 41.3958677)
30238031,41.3967437,2.1640934,4,0.0038314176245210726,0.04870594803382647,0.019190252993041976,0.0007998940696208422,0.0468620242700355,0.0734744981509805,,POINT (2.1640934 41.3967437)
30238032,41.3975605,2.1652053,3,0.0028735632183908046,0.04547601327348229,0.010839521903601351,0.00036446733389864944,0.034590237616969506,0.0734744981509805,,POINT (2.1652053 41.3975605)
30238198,41.3769505,2.1609364,4,0.0019157088122605363,0.03645914116903987,0.0,1.7768365612203825e-05,0.019046389286755856,0.0734744981509805,,POINT (2.1609364 41.3769505)
30238199,41.3777761,2.1620569,4,0.0038314176245210726,0.03721745362592357,0.0015795873236280548,0.0002150002115874535,0.03332872068828586,0.0734744981509805,,POINT (2.1620569 41.3777761)
30238379,41.3781057,2.1652372,3,0.0019157088122605363,0.0012771392081736908,0.00011387722565690628,-0.00018069715960482104,0.01154414201522652,0.0734744981509805,,POINT (2.1652372 41.3781057)
