osmid,y,x,street_count,dc,cc,nbc,vul,com,eff,highway,ref,geometry
2501701155,41.3852258,2.1601472,4,0.0014540167211922936,0.03753426435300077,0.02271668932821179,0.0010311694090042079,0.012528642553770498,0.04830866492606071,,,POINT (2.1601472 41.3852258)
2501773162,41.3860676,2.1590054,3,0.0010905125408942201,0.03699114692697328,0.0005424860853432282,0.00011972837060213624,0.009527896287461776,0.04830866492606071,,,POINT (2.1590054 41.3860676)
2507405102,41.3825204,2.142238,4,0.0014540167211922936,0.029509612452889942,0.006313273588796827,0.0003601899439799076,0.016208987757934137,0.04830866492606071,,,POINT (2.142238 41.3825204)
2509167399,41.4079449,2.1506771,4,0.0014540167211922936,0.023309208726814298,0.00969122441780252,3.274368717621436e-05,0.014803329145022396,0.04830866492606071,,,POINT (2.1506771 41.4079449)
2510477873,41.3771796,2.147109,3,0.0010905125408942201,0.028370931385566303,0.023291102402689466,0.0009487145425404383,0.011187092710169887,0.04830866492606071,,,POINT (2.147109 41.3771796)
2510589068,41.3787307,2.1540544,4,0.0014540167211922936,0.031848575659180034,0.044641646418736504,0.001340969210936669,0.017130452583753713,0.04830866492606071,traffic_signals,,POINT (2.1540544 41.3787307)
2510614158,41.3853771,2.1420972,3,0.0010905125408942201,0.028893935566748144,0.0005996752587311042,-2.3243831015714115e-05,0.012056278416207244,0.04830866492606071,,,POINT (2.1420972 41.3853771)
2510614164,41.385468,2.142805,5,0.0018175209014903672,0.030472002490306384,0.010628991533469537,0.00038427556906060387,0.02368363870456801,0.04830866492606071,,,POINT (2.142805 41.385468)
2510614172,41.3853281,2.1424243,3,0.0010905125408942201,0.02963483099429271,0.0006540428431377175,-2.1700178229815525e-05,0.01229168333833783,0.04830866492606071,,,POINT (2.1424243 41.3853281)
2511679138,41.3703152,2.143083,4,0.0014540167211922936,0.022721045162199305,0.002836249489181334,-6.219656039260602e-05,0.013638837295385753,0.04830866492606071,,,POINT (2.143083 41.3703152)
2511679139,41.3709637,2.1439691,4,0.0014540167211922936,0.02439152565933494,0.008074151689999228,6.134982779543478e-05,0.014134425257337008,0.04830866492606071,,,POINT (2.1439691 41.3709637)
2525386221,41.3717454,2.162174,3,0.0010905125408942201,0.025821130274679464,0.00013722501681260476,-6.634723444214782e-05,0.01146435618559692,0.04830866492606071,,,POINT (2.162174 41.3717454)
2529520245,41.3821508,2.1764674,1,0.0003635041802980734,0.02247159190737629,0.0,-0.0001666690782805426,0.002011006652560565,0.04830866492606071,,,POINT (2.1764674 41.3821508)
2558969940,41.3795585,2.1912174,4,0.0014540167211922936,0.020492373732625177,0.00397222842368079,-0.00011241263917913067,0.013149938286612003,0.04830866492606071,,,POINT (2.1912174 41.3795585)
