osmid,y,x,street_count,dc,cc,nbc,vul,geometry
142335619,-15.7902701,-47.8743973,3,0.005952380952380952,0.048288805475822476,0.05117049028579843,0.0014364465566243318,POINT (-47.8743973 -15.7902701)
142335646,-15.7904662,-47.8734498,3,0.005952380952380952,0.05900816634888657,0.051088311401432655,0.01270028728018097,POINT (-47.8734498 -15.7904662)
142335660,-15.7894306,-47.8806771,3,0.005952380952380952,0.005291005291005291,0.006976001136040897,0.0011402780769755121,POINT (-47.8806771 -15.7894306)
142335910,-15.7869983,-47.8815786,3,0.003968253968253968,0.001984126984126984,0.0018736785635393985,0.0016178516722358295,POINT (-47.8815786 -15.7869983)
143774087,-15.7862973,-47.8808347,3,0.003968253968253968,0.02338537211291702,0.0018657893906402852,-0.001062526124366681,POINT (-47.8808347 -15.7862973)
206121789,-15.7896958,-47.8555924,3,0.005952380952380952,0.03281353151819473,0.039897782616470485,0.0007327786771536926,POINT (-47.8555924 -15.7896958)
206121790,-15.7938822,-47.8540796,3,0.011904761904761904,0.03225790591567024,0.07185046622883871,0.001226947014975918,POINT (-47.8540796 -15.7938822)
206121794,-15.7913657,-47.8550646,3,0.011904761904761904,0.03419502788346276,0.06225474858853206,0.001096703308046704,POINT (-47.8550646 -15.7913657)
206121795,-15.7909999,-47.8564835,3,0.011904761904761904,0.033190004046944555,0.06003676253427788,0.0004018004125405584,POINT (-47.8564835 -15.7909999)
206121797,-15.7910334,-47.8551921,3,0.011904761904761904,0.03527343497989291,0.08200195087975547,0.0031555521341601047,POINT (-47.8551921 -15.7910334)
206121798,-15.7906159,-47.8547817,3,0.011904761904761904,0.03299140141801177,0.003792956375674314,-0.00022848146275090514,POINT (-47.8547817 -15.7906159)
206121838,-15.7925697,-47.8538811,3,0.011904761904761904,0.03126369960926332,0.012086274815258207,-2.4206031844267643e-06,POINT (-47.8538811 -15.7925697)
206121841,-15.7940191,-47.8540289,3,0.011904761904761904,0.031341059128125265,0.08081467042167102,0.002392850234031136,POINT (-47.8540289 -15.7940191)
206121843,-15.7927536,-47.8530758,3,0.011904761904761904,0.030407660079344485,0.01445028110570551,-3.7158864774141516e-05,POINT (-47.8530758 -15.7927536)
206121844,-15.7944577,-47.8538402,3,0.011904761904761904,0.03044717107217107,0.07841962655403456,0.002882852161246838,POINT (-47.8538402 -15.7944577)
206121845,-15.7930201,-47.8527137,3,0.011904761904761904,0.028719380876507977,0.0038080334835517453,-0.000374738165784296,POINT (-47.8527137 -15.7930201)
206121846,-15.7932937,-47.852363,3,0.011904761904761904,0.027908698019465054,0.0011169284369369572,-0.0007073167036980211,POINT (-47.852363 -15.7932937)
206121847,-15.7928653,-47.8529088,3,0.011904761904761904,0.029513373458206257,0.0054297244300083895,-0.0004191301073654779,POINT (-47.8529088 -15.7928653)
206121848,-15.7922478,-47.8525052,3,0.011904761904761904,0.028707066287464448,0.004130300088479584,0.0017648791723344135,POINT (-47.8525052 -15.7922478)
206121849,-15.790965,-47.8536686,3,0.011904761904761904,0.031145268634469144,0.0039048729166948435,0.00012863586736385993,POINT (-47.8536686 -15.790965)
206121856,-15.7953521,-47.8534758,3,0.007936507936507936,0.02510810914239792,0.007542049291552273,0.004708155676963117,POINT (-47.8534758 -15.7953521)
206121858,-15.7962876,-47.8523268,3,0.007936507936507936,0.02447476797278343,0.00377891381867525,0.0016515551861763721,POINT (-47.8523268 -15.7962876)
206121869,-15.7947326,-47.8530416,3,0.011904761904761904,0.02873346763598143,0.011545194066139818,0.0009328595243902163,POINT (-47.8530416 -15.7947326)
206121871,-15.7948707,-47.8524984,3,0.007936507936507936,0.027908698019465054,0.002668559692487553,-0.0006206978569318909,POINT (-47.8524984 -15.7948707)
